,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,46,CADEB,CBEDA,C
1,47,BAECD,BDCEA,B
2,48,ACDBE,AEBDC,A
3,49,BCAED,BDEAC,B
4,50,ACBED,ADEBC,A
5,51,DCBAE,DEABC,D
6,52,BAECD,BDCEA,B
7,53,BEDAC,BCADE,B
8,54,CBAED,CDEAB,C
9,55,EADCB,EBCDA,E
10,56,EABCD,EDCBA,E
11,57,EABCD,EDCBA,E
12,58,BADCE,BECDA,B
13,59,CDEBA,CABED,C
14,60,BACDE,BEDCA,B
15,61,ABEDC,ACDEB,A
16,62,DACEB,DBECA,D
17,63,CDBEA,CAEBD,C
18,64,BAEDC,BCDEA,B
19,65,ECBAD,EDABC,E
20,66,EBDAC,ECADB,E
21,67,DAEBC,DCBEA,D
22,68,BDAEC,BCEAD,B
23,69,BCADE,BEDAC,B
24,70,EADBC,ECBDA,E
25,71,AECBD,ADBCE,A
26,72,DCEBA,DABEC,D
27,73,BDECA,BACED,B
28,74,BEADC,BCDAE,B
29,75,ACDBE,AEBDC,A
30,76,CBEAD,CDAEB,C
31,77,DCAEB,DBEAC,D
32,78,BEADC,BCDAE,B
33,79,BEACD,BDCAE,B
34,80,AECDB,ABDCE,A
35,81,CBEAD,CDAEB,C
36,82,CABDE,CEDBA,C
37,83,CEADB,CBDAE,C
38,84,CBEAD,CDAEB,C
39,85,ADEBC,ACBED,A
40,86,DBEAC,DCAEB,D
41,87,ACDEB,ABEDC,A
42,88,CAEDB,CBDEA,C
43,89,ABECD,ADCEB,A
44,90,CBEDA,CADEB,C
