,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,91,ABCDE,AEDCB,A
1,92,DBACE,DECAB,D
2,93,CEADB,CBDAE,C
3,94,DAEBC,DCBEA,D
4,95,CEDAB,CBADE,C
5,96,DCBEA,DAEBC,D
6,97,BCADE,BEDAC,B
7,98,BDAEC,BCEAD,B
8,99,BECDA,BADCE,B
9,100,ECBAD,EDABC,E
10,101,CDAEB,CBEAD,C
11,102,DBAEC,DCEAB,D
12,103,CDABE,CBEAD,C
13,104,CBEAD,CDAEB,C
14,105,DBACE,DECAB,D
15,106,CABED,CDEBA,C
16,107,BDAEC,BCEAD,B
17,108,CBEAD,CDAEB,C
18,109,BDECA,BACED,B
19,110,DAECB,DBCEA,D
20,111,ADCBE,AEBCD,A
21,112,BDCEA,BAECD,B
22,113,CDBAE,CEABD,C
23,114,AEDCB,ABCDE,A
24,115,ACDBE,ABEDC,A
25,116,DABCE,DECBA,D
26,117,CEDAB,CBADE,C
27,118,BCADE,BEDAC,B
28,119,ECBAD,EDABC,E
29,120,BCADE,BEDAC,B
30,121,ACEBD,ADBEC,A
31,122,BCEAD,BDAEC,B
32,123,EBACD,EDCAB,E
33,124,ECBDA,EADBC,E
34,125,BDCEA,BAECD,B
35,126,BADEC,BCEDA,B
36,127,BDCEA,BAECD,B
37,128,CDEAB,CBAED,C
38,129,ABCDE,AEDCB,A
39,130,BDCEA,BAECD,B
40,131,EDABC,ECBAD,E
41,132,DECAB,DBACE,D
42,133,EBADC,ECDAB,E
43,134,DCBEA,DAEBC,D
44,135,EDCAB,EBACD,E
