,CO_POSICAO,ORDERED_OPTIONS_HARD_TO_EASY,ORDER_OPTIONS_EASY_TO_HARD,CORRECT_OPTION
0,1,BCEAD,BDAEC,B
1,2,DEBAC,DCABE,D
2,3,ACBDE,AEDBC,A
3,4,CAEDB,CBDEA,C
4,5,ABEDC,ACDEB,A
5,6,CEABD,CDBAE,C
6,7,BCDEA,BAEDC,B
7,8,ABEDC,ACDEB,A
8,9,BDACE,BECAD,B
9,10,AEDBC,ACBDE,A
10,11,EBCAD,EDACB,E
11,12,CEABD,CDBAE,C
12,13,BCEDA,BADEC,B
13,14,BECAD,BDACE,B
14,15,CEDBA,CABDE,C
15,16,CBAED,CDEAB,C
16,17,ABEDC,ACDEB,A
17,18,DEBCA,DACBE,D
18,19,CEDBA,CABDE,C
19,20,EDCAB,EBACD,E
20,21,BEACD,BDCAE,B
21,22,DAECB,DBCEA,D
22,23,BADEC,BCEDA,B
23,24,BEADC,BCDAE,B
24,25,CDBEA,CAEBD,C
25,26,DCEBA,DABEC,D
26,27,DABCE,DECBA,D
27,28,ECABD,EDBAC,E
28,29,EBDCA,EACDB,E
29,30,ADBEC,ACEBD,A
30,31,ACBDE,AEDBC,A
31,32,ADCBE,AEBCD,A
32,33,DCEAB,DBAEC,D
33,34,DBCEA,DAECB,D
34,35,BDEAC,BCAED,B
35,36,ECADB,EBDAC,E
36,37,CBAED,CDEAB,C
37,38,DBAEC,DCEAB,D
38,39,EDCBA,EABCD,E
39,40,CEADB,CBDAE,C
40,41,ADBEC,ACEBD,A
41,42,ACEDB,ABDEC,A
42,43,EDABC,ECBAD,E
43,44,CEBDA,CADBE,C
44,45,DACEB,DBECA,D
