question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 91,"In order to be absorbed by the cells of the human intestine, ingested lipids must first be emulsified. At this stage of digestion, the action of bile acids becomes necessary, since lipids are apolar in nature and insoluble in water. These acids act in the process to",hydrolyze lipids.,act as detergents.,make lipids amphiphilic.,promote the secretion of lipases.,stimulate the intestinal transit of lipids.,2018,91,CN,B,english
QUESTION 92,"RFID tag communication technology (called a smart tag) has been used for years to track cattle, train carriages, airline baggage and cars at tollbooths. A cheaper model of these tags can work without batteries and consists of three components: a silicon microprocessor; a metal coil, made of copper or aluminum, which is wound in a circular pattern; and an encapsulator, which is a glass or polymer material surrounding the microprocessor and the coil. In the presence of a radio frequency field generated by the reader, the tag transmits signals. The reading distance is determined by the size of the coil and the power of the radio wave emitted by the reader. The tag works without batteries because the field",The electrical energy of the radio wave agitates electrons in the coil.,radio wave creates a voltage in the coil.,radio wave induces current in the coil.,The magnetic force of the radio wave heats up the coil wires.,The magnetic field of the radio wave reduces the resonance inside the coil.,2018,92,CN,C,english
QUESTION 93,"Ecological corridors aim to mitigate the effects of ecosystem fragmentation by promoting links between different areas, with the aim of providing animal displacement, seed dispersal and increased vegetation cover. They are established on the basis of information such as studies on the movement of species, their home range (the area required to meet their vital and reproductive needs) and the distribution of their populations. In this strategy, the recovery of biodiversity is effective because",promotes gene flow.,intensifies species management.,expands the process of human occupation.,increases the number of individuals in populations.,favors the formation of islands of integral protection.,2018,93,CN,A,english
QUESTION 94,"Identifying the risks of dangerous products for road transport is mandatory and is done by means of signs consisting of an orange safety panel and a risk label. The information on the safety sign and the risk label, as required by law, allows the product being transported and its associated dangers to be identified. The signage shown identifies a substance being transported in a truck. Description of sign: Panel containing two numbers. At the top is the number 268; at the bottom, the number 1005. On the right-hand side there is a rhombus with an illustration of a human skull with two crossed bones and the text information: ""Toxic gas 2"". The three digits at the top of the panel indicate the ""Risk number"". The number 268 indicates that it is a gas (2), toxic (6) and corrosive (8). The four digits at the bottom correspond to the ""UN Number"", which identifies the product being transported. Considering the identification shown on the truck, code 1005 corresponds to the substance",ethylene (C 2 H4).,nitrogen (N 2 ).,ammonia (NH3).,propane (C3H8).,carbon dioxide (CO 2 ).,2018,94,CN,C,english
QUESTION 95,"Fundamentals of cell biology Regulatory molecules act in the cell cycle. Among them, the p53 protein is activated in response to DNA mutations, preventing the cycle from progressing until the damage is repaired, or inducing the cell to self-destruct. The absence of this protein may favor","reduced DNA synthesis, accelerating the cell cycle.","immediate exit from the cell cycle, anticipating DNA protection.","activation of other regulatory proteins, inducing apoptosis.","maintenance of genetic stability, favoring longevity.","exaggerated cell proliferation, resulting in the formation of a tumor.",2018,95,CN,E,english
QUESTION 96,"Aquatic stratification is the phenomenon of lakes dividing into layers with different temperatures.  In summer, the water closest to the surface is heated by the sun, forming a warm layer, and the lower layer of the lake remains cooler. In winter, the upper layer cools down and a process of nutrient and oxygen exchange takes place between the layers. This process occurs due to",decrease in the rate of water evaporation.,approximation of the temperature between the layers.,lowering the temperature of the lower layers.,increased rate of condensation of moisture in the air.,increase in the density of the water in the upper layer.,2018,96,CN,E,english
QUESTION 97,"Graphene is an allotropic form of carbon made up of a planar sheet (two-dimensional arrangement) of compacted carbon atoms with a thickness of just one atom. Its structure is hexagonal, as shown in the figure.Description of the graphene structure: The structure is a flat network formed by several interconnected hexagons, each of which contains a carbon atom at its vertex. Each carbon atom is linked to three other carbon atoms at the vertices of these hexagons. In this arrangement, the carbon atoms have hybridization",sp de geometria linear.,sp two with trigonal planar geometry.,sp three alternated with carbons with sp hybridization of linear geometry.,sp three d planar geometry.,sp three d two with planar hexagonal geometry.,2018,97,CN,B,english
QUESTION 98,"A designer wants to build a toy that launches a small cube along a horizontal rail, and the device needs to offer the option of changing the launch speed. To do this, he uses a spring and a rail where friction can be neglected, as shown in the figure. Figure description: The figure illustrates the toy as a tube (horizontal rail) with the left end closed and the right end open. A spring is inside the tube, attached to the closed end and being compressed by a cube, which is to be launched from the open end. In order to increase the cube's launch speed fourfold, the designer must",keep the same spring and increase its deformation twice.,keep the same spring and increase its deformation fourfold.,keep the same spring and increase its deformation sixteenfold.,replace the spring with one with an elastic constant twice as high and maintain the deformation.,replace the spring with one with an elastic constant four times greater and maintain the defo rmation.,2018,98,CN,B,english
QUESTION 99,The release of polluting gases into the atmosphere from the decomposition of organic waste in landfills has become a major problem for the environment. One of the alternatives for minimizing this problem is to use these gases to generate electrical and thermal energy. The gas produced in large quantities and used for this purpose is,H 2 S.,CH4.,N 2 O.,NO 2 .,SO3.,2018,99,CN,B,english
QUESTÃO 100,"The flex-fuel car is a reality in Brazil. These vehicles are equipped with an engine that can run on more than one type of fuel. However, people who have this type of vehicle always have the question: alcohol or gasoline? In order to evaluate the consumption of these fuels, a flex-fuel vehicle was driven, consuming 40 liters of gasoline and ethanol on the return trip.  The same energy consumption was considered for both the outward and return journeys. The table summarizes some approximate data on these fuels: Table with two fuels and their density values in grams per milliliter and heat of combustion in kilocalories per gram. Ethanol: density: 0.8 heat of combustion: - 6 Petrol: density: 0.7 heat of combustion: - 10. The volume of ethanol fuel, in liters, consumed on the return journey is closest to",27.,32.,37.,58.,67.,2018,100,CN,D,english
