question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTION 136,"In a training activity carried out in the army of a certain country, three teams - Alpha, Beta and Gama - were assigned different routes, all with the same starting and finishing points. - Team Alpha completed its route in 90 minutes at an average speed of 6.0 kilometers per hour. - The Beta team also covered their route in 90 minutes, but their average speed was 5.0 kilometers per hour. - With an average speed of 6.5 kilometers per hour, the Gama team completed its journey in 60 minutes. Based on this data, the distances dBeta ; dAlpha and dGama covered by the three teams were compared. The order of the distances covered by teams Alpha, Beta and Gama is",dGamma less than dBeta less than dAlpha.,dAlpha equals dBeta less than dGama.,dGamma less than dBeta equal to dAlpha.,dBeta less than dAlpha less than dGama.,dGamma less than dAlpha less than dBeta.,2018,136,MT,A,english
QUESTION 137,"A person's total cholesterol is the sum of their ""good cholesterol"" and ""bad cholesterol"" levels. Periodic tests carried out on an adult patient showed a normal ""good cholesterol"" level, but a ""bad cholesterol"" level (also called LDL) of 280 milligrams per deciliter. The table shows a classification according to LDL levels in adults. Description of the table: Table entitled ""LDL rate (milligrams per deciliter)"" with the following information: Optimal: less than 100. Close to optimal: from 100 to 129.Limit: from 130 to 159. High: from 160 to 189. Very high: 190 or more. The patient, following his doctor's recommendations on lifestyle and diet, took the test after the first month and his LDL level dropped by 25 percent. The following month, he was tested again and found a further 20 percent reduction in his LDL level. According to the result of the second test, the classification of the patient's LDL level is",great.,close to great.,limite.,alta.,very high.,2018,137,MT,D,english
QUESTION 138,"A company wants to start an advertising campaign to publicize a promotion to its potential consumers. For this type of campaign, the most viable means are distributing flyers in the street and advertising on the local radio station. The population reached by distributing flyers is assumed to be equal to the number of flyers distributed, while the population reached by a radio ad is assumed to be equal to the number of listeners to that ad. The cost of each radio ad is R$120.00, and it is estimated that it will be heard by 1,500 people. The production and distribution of flyers costs R$180.00 per 1,000 units. Considering that each person will be reached by only one of these means of dissemination, the company intends to invest in both media. Consider X and Y the amounts (in reals) spent on radio ads and flyers, respectively. The number of people reached by the campaign will be given by the expression","fraction of numerator 50 times X and denominator 4, plus fraction of numerator 50 times Y and denominator 9.","fraction of numerator 50 times X and denominator 9, plus fraction of numerator 50 times Y and denominator 4.","fraction with numerator 4 times X and denominator 50, plus fraction with numerator 4 times Y and denominator 50.","fraction of numerator 50 and denominator 4 times X, plus fraction of numerator 50 and denominator 9 times Y .","fraction of numerator 50 and denominator 9 times X, plus fraction of numerator 50 times Y and denominator 4 times Y .",2018,138,MT,A,english
QUESTÃO 139,"Sliding seat rowing is a sport that makes use of a boat and two oars of the same size. The picture shows one of the positions of a technique called pushing off. Figure description: A picture of a boat with a person inside holding two oars of the same size with their hands together. A point A indicates where the ends of the two oars meet; a point B and a point C indicate the other ends of each oar. In this position, the two oars meet at point A and their other ends are indicated by points B and C. These three points form a triangle ABC whose angle BÂC has a measure of 170 degrees. The type of triangle with vertices at points A, B and C when the rower is in this position is",scalene rectangle.,scalene acutangle,isosceles acutangle.,obtusely scalene.,isosceles obtus angle.,2018,139,MT,E,english
QUESTION 140,"A boy studies at a school that is far from his home, so he has to use public transport. As he is very observant, every day he writes down the exact time (not counting the seconds) when the bus passes the waiting point. He has also noticed that he never manages to get to the bus stop before 6.15 in the morning. Analyzing the data collected during the month of February, which had 21 school days, he concluded that 6 hours and 21 minutes was the most repeated, and that the median of the data set is 6 hours and 22 minutes. The probability that, on one of the school days in February, this boy caught the bus before 6.21 a.m. is at most,",fraction with numerator 4 and denominator 21.,fraction with numerator 5 and denominator 21.,fraction with numerator 6 and denominator 21.,fraction with numerator 7 and denominator 21.,fraction with numerator 8 and denominator 21.,2018,140,MT,D,english
QUESTION 141,"A map is a reduced and simplified representation of a location. This reduction, which is made using a scale, maintains the proportion of the represented space in relation to the real space. A certain map has a scale of 1 to 58,000,000. Consider that, on this map, the line segment connecting the ship to the treasure mark measures 7.6 centimeters. The real measurement, in kilometers, of this line segment is",4 408.,7 632.,44 080.,76 316.,440 800.,2018,141,MT,A,english
QUESTION 142,"A corn producer uses an area of 160 hectares for his agricultural activities. This area is divided into two parts: one of 40 hectares, with higher productivity, and another of 120 hectares, with lower productivity.  Productivity is given by the ratio between production in tons and the area cultivated. It is known that the 40-hectare area has a productivity equal to 2.5 times that of the other. This farmer wants to increase his total production by 15 percent by increasing the size of his property. To do so, he wants to buy part of a neighboring farm, which has the same productivity as the 120-hectare part of his land. What is the minimum area, in hectares, that the farmer will need to buy?",36,33,27,24,21,2018,142,MT,B,english
QUESTION 143,"Rabies is an infectious viral disease transmitted by mammals. The national rabies vaccination campaign aims to control the circulation of the canine and feline rabies virus and prevent human rabies. The graph shows the coverage (percentage of people vaccinated) of the campaign, in dogs, in the years 2013, 2015 and 2017, in the municipality of Belo Horizonte, in Minas Gerais. The coverage figures for 2014 and 2016 are not shown in the graph and we wanted to estimate them. To do this, we took into account that the variation in vaccination coverage in the anti-rabies campaign between 2013 and 2015 and between 2015 and 2017 was linear. Description of the graph: 2013: 67 percent; a downward sloping line segment goes from 67 percent to 59 percent. 2014: not shown.2015: 59 percent; an upward sloping line segment goes from 59 percent to 61 percent. 2016: not shown.2017: 61 percent. What would have been the coverage of this campaign in 2014?",62.3 percent.,63.0 percent.,63.5 percent.,64.0 percent.,65.5 percent.,2018,143,MT,B,english
QUESTÃO 144,"A communications company has been given the task of drawing up advertising material for a shipyard to promote a new ship equipped with a 15-meter-high crane and a 90-meter-long conveyor belt. In the design of this ship, the crane must be between 0.5 centimeters and 1 centimeter high, while the conveyor belt must be over 4 centimeters long. The entire drawing must be done on a scale of 1 to X. The only possible values for X are,","X greater than 1,500.","X less than 3,000.","1,500 less than X less than 2,250.","1,500 less than X less than 3,000.","2,250 less than X less than 3,000.",2018,144,MT,C,english
QUESTION 145,"The world's largest Ferris wheel, the High Roller, opened in Las Vegas in 2014. The figure shows a sketch of this Ferris wheel, in which the dot represents one of its seats: Description of the figure: The figure represents a circle divided into twelve spokes. The center is marked with the letter O and the end of a horizontal spoke to the right is marked with the letter A, which represents a chair. A perpendicular segment runs from the center of the circle to the ground. An arrow indicates that the movement is counterclockwise. From the position indicated, where the segment OA is parallel to the ground plane, the High Roller is rotated counterclockwise around point O . Let t be the angle determined by the segment OA in relation to its initial position, and let f be the function that describes the height of point A , in relation to the ground, as a function of t . After two complete revolutions, f has the following graph: Description of the graph: On the horizontal axis, which represents time in radians, the points zero, pi over two, two pi and four pi are marked. On the vertical axis, which represents f in meters, the points 0, 88 and 168 are marked. A curve starts at the point (0 ; 88) and rises to the point (pi over 2 ; 168); from this point, it descends to near the horizontal axis and rises past the point (2pi ; 88), rises to the ordinate point 168, descends to near the horizontal axis and rises to the point (4pi ; 88). The expression for the height function is given by",f of t is equal to 80 times the sine of t plus 88.,f of t is equal to 80 times the cosine of t plus 88.,f of t is equal to 88 times the cosine of t plus 168.,f of t is equal to 168 times the sine of t plus 88 times the cosine of t .,f of t is equal to 88 times the sine of t plus 168 times the cosine of t .,2018,145,MT,A,english
QUESTION 146,"The songwriters Pedro, Ricardo and Carlos recorded an album with 18 unreleased songs. Pedro participated in the composition of six songs, Ricardo participated in the composition of eight songs and Carlos composed the rest of the songs on his own. Carlos was also a partner in a third of the songs written by Pedro and half of the songs written by Ricardo. The rational number that expresses Carlos' participation in the composition of the songs on this album is",fraction with numerator 5 and denominator 9.,fraction with numerator 5 and denominator 7.,fraction with numerator 1 and denominator 3.,fraction of numerator 2 and denominator 7.,fraction of numerator 2 and denominator 9.,2018,146,MT,A,english
QUESTION 147,"According to a recent report by the International Energy Agency (IEA), the electric vehicle market reached a new milestone in 2016, when more than 750,000 electric cars were sold. As a result, the total number of electric cars sold worldwide has reached the 2 million mark since the first models went on sale in 2011. In Brazil, sales are also booming. Brand A, for example, expanded its sales in 2016, surpassing 2015 sales by 360 units, as shown in the graph. Graph description: The horizontal axis represents the number of cars and the vertical axis, the year. 2014: drawing of one car. 2015: drawing of two cars.2016: drawing of five cars. The annual average number of cars sold by brand A in the years shown in the graph was",192.,240.,252.,320.,420.,2018,147,MT,D,english
QUESTÃO 148,"In order to extinguish spots A and B of a fire, which were 30 meters apart, the firefighters at a fire station decided to position themselves in such a way that the distance from one firefighter to spot A, which had a higher temperature, was always double the distance from that firefighter to spot B, which had a lower temperature. Under these conditions, the greatest distance, in meters, that two firefighters could have between them is",30.,40.,45.,60.,68.,2018,148,MT,B,english
QUESTION 149,"Tennis tournaments are usually played using a single-elimination system. In this system, matches are played between two competitors, with the loser being eliminated and the winner promoted to the next stage. Thus, if in the first phase the tournament has 2 n competitors, then in the second phase there will be n competitors left, and so on until the final match. In a tennis tournament played using this system, 128 tennis players take part. To determine the champion of this tournament, the number of matches required is given by",2 × 128,64 + 32 + 16 + 8 + 4 + 2,128 + 64 + 32 + 16 + 8 + 4 + 2 + 1,128 + 64 + 32 + 16 + 8 + 4 + 2,64 + 32 + 16 + 8 + 4 + 2 + 1,2018,149,MT,E,english
