question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTÃO 01,"If children live with criticism, they learn to condemn. If children live with fear, they learn to be apprehensive. If children live with pity, they learn to feel sorry for themselves. If children live with ridicule, they learn to feel shy. If children live with tolerance, they learn patience. If children live with praise, they learn appreciation. If children live with acceptance, they learn to love. If children live with approval, they learn to like themselves. If children live with recognition, they learn it is good to have a goal. If children live with sharing, they learn generosity. If children live with fairness, they learn justice. If children live with kindness and consideration, they learn respect. If children live with friendliness, they learn the world is a nice place in which to live. Valores culturais de um povo revelam sua forma de ser, agir e pensar. Na concepção da autora, as diferentes formas de educar crianças nos Estados Unidos confirmam que as crianças",aprendem com o que vivem.,amam aqueles que as aceitam.,ridicularizam quem as intimida.,temem quem as amedronta.,são gentis quando respeitadas.,2019,1,LC,A,english,"['B', 'C', 'E', 'A', 'D']"
QUESTÃO 02,"5 Ways Pets Can Improve Your Health A pet is certainly a great friend. After a difficult day, pet owners quite literally feel the love. In fact, for nearly 25 years, research has shown that living with pets provides certain health benefits. Pets help lower blood pressure and lessen anxiety. They boost our immunity. They can even help you get dates. Allergy Fighters : A growing number of studies have suggested that kids growing up in a home with “ furred animals ” will have less risk of allergies and asthma. Date Magnets : Dogs are great for making love connections. Forget Internet matchmaking — a dog is a natural conversation starter. Dogs for the Aged : Walking a dog or just caring for a pet — for elderly people who are able — can provide exercise and companionship. Good for Mind and Soul : Like any enj oyable activity, playing with a dog can elevate levels of serotonin and dopamine — nerve transmitters that are known to have pleasurable and calming properties. Good for the Heart : Heart attack patients who have pets survive longer than those without, according to several studies. Ao discutir sobre a influência de animais de estimação no bem-estar do ser humano, a autora, a fim de fortalecer seus argumentos, utiliza palavras e expressões como research , a growing number of research e several studies com o objetivo de",esclarecer sobre o modo como idosos devem se relacionar com animais de estimação.,mostrar que animais de estimação ajudam na cura de doenças como alergias e asma.,explicar como o contato com animais de estimação pode prevenir ataques cardíacos.,fornecer dados sobre os impactos de animais de estimação nas relações amorosas.,convencer sobre os benefícios da adoção de animais de estimação para a saúde.,2019,2,LC,E,english,"['E', 'A', 'D', 'C', 'B']"
QUESTÃO 03,"Descrição do cartum: Uma professora e seus alunos estão em uma sala de aula. Na lousa, está escrito: “Back to school! Miss Idler”. Dois meninos seguram um livro e, desconfiado, um deles olha para o colega e pergunta: “ Pssst . How do you turn this thing on?”. No cartum, o estudante faz uma pergunta usando turn this thing on por",desconhecer como usar um livro impresso.,entender como desligada a postura do colega.,duvidar que o colega possa se tornar um  bom aluno.,suspeitar que o colega está com seu material  por engano.,desconfiar que o livro levado é de outra matéria.,2019,3,LC,A,english,"['E', 'D', 'B', 'A', 'C']"
QUESTÃO 04,"LETTER TO THE EDITOR: Sugar fear-mongering unhelpful By The Washington Times Tuesday, June 25, 2013 In his recent piece “Is obesity a disease?”  (Web, June 19), Dr. Peter Lind refers to high-fructose corn syrup and other “manufactured sugars” as “poison” that will “guarantee storage of fat in the body.”  Current scientific research strongly indicates that obesity results from excessive calorie intake combined with a sedentary lifestyle. The fact is Americans are consuming more total calories now than ever before. According to the U.S. Department of Agriculture, our total per-capita daily caloric intake increased by 22 percent from 2,076 calories per day in 1970 to 2,534 calories per day in 2010 — an additional 458 calories, only 34 of which come from increased added sugar intake. A vast majority of these calories come from increased fats and flour/ cereals. Surprisingly, the amount of caloric sweeteners (i.e. sugar, high-fructose, corn syrup, honey, etc.). Americans consume has actually decreased over the past decade. We need to continue to study the obesity epidemic to see what more can be done, but demonizing one specific ingredient accomplishes nothing and raises unnecessary fears that get in the way of real solutions. JAMES M. RIPPE Shrewsbury, Mass. Ao abordar o assunto “obesidade”, em uma seção de jornal, o autor",defende o consumo liberado de açúcar.,indica a necessidade de mais pesquisas sobre o assunto.,enfatiza a redução de ingestão de calorias pelos americanos.,aponta a gordura como o grande vilão da saúde.,demonstra acreditar que a obesidade não é preocupante.,2019,4,LC,B,english,"['A', 'D', 'E', 'B', 'C']"
QUESTÃO 05,"In this life Madonna Sitting on a park bench Thinking about a friend of mine He was only twenty-three Gone before he had his time. It came without a warning Didnꞌt want his friends to see him cry He knew the day was dawning And I didnꞌt have a c hance to say goodbye. A canção, muitas vezes, é uma forma de manifestar sentimentos e emoções da vida cotidiana. Por exemplo, o sofrimento retratado nessa canção foi causado",pela mudança de um amigo para outro país.,pelo término de um relacionamento amoroso.,pela traição por parte de pessoa próxima.,pelo fim de uma amizade de mais de vinte anos.,pela morte precoce de um amigo jovem.,2019,5,LC,E,english,"['C', 'B', 'E', 'D', 'A']"
QUESTÃO 01,"Millennials : Así es la generación que ya no recuerda cómo era el mundo sin Internet Algunos los llaman generación Y, otros “Millennials”, generación del milenio o incluso “Echo Boomers”. Nacieron y crecieron en una era de rápido desarrollo de las nuevas tecnologías, y casi no recuerdan cómo era el mundo sin Internet. Son idealistas, impacientes y están bien preparados académicamente. Muchos de ellos han tenido oportunidad de viajar por el mundo a una edad temprana, de estudiar en las mejores universidades y de trabajar en empresas multinacionales y extranjeras. La generación Y se compone de este tipo de personas que quieren todo a la vez. No están dispuestos a soportar un trabajo poco interesante y rutinario, no quieren dejar las cosas buenas para luego. Lo que sí quieren es dejar su huella en la historia, vivir una vida interesante, formar parte de algo grande, crecer y desarrollarse, cambiar el mundo que les rodea, y no solo ganar dinero. O texto aponta características e interesses da “Geração Y”. Nele, a expressão dejar su huella refere-se a um dos desejos dessa geração, que é o de",fazer a diferença no mundo.,obter uma formação acadêmica de excelência.,conhecer diferentes lugares.,conquistar boas colocações no mundo do trabalho.,aproveitar todas as oportunidades.,2019,1,LC,A,spanish,"['B', 'D', 'A', 'E', 'C']"
QUESTÃO 02,"El Hombre Electrónico ¿Cuántas veces has cambiado de móvil? ¿Cuántos ordenadores has tenido ya? ¿Tienes cámara digital, IPOD, Nintendo Wii y televisión de pantalla de plasma? Ordenadores, teléfonos móviles, GPS, walkmans, televisiones, lavadoras, tostadores, aspiradores y un larguísimo etcétera. Todos usamos aparatos eléctricos que tarde o temprano se convertirán en residuos.  El Hombre Electrónico mide 7 metros de altura y pesa 3,3 toneladas. Es una escultura hecha con la cantidad de residuos eléctricos y electrónicos que un ciudadano medio (en el Reino Unido) tirará a la basura a lo largo de su vida, si se sigue consumiendo este tipo de productos al ritmo actual. El Hombre Electrónico ha sido diseñado por el escultor Paul Bomini con objetivo de aumentar la conciencia de los ciudadanos a la hora de consumir aparatos eléctricos. Esta campaña parte de la base de que todos compramos aparatos electrónicos como herramientas de trabajo u ocio, pero haciéndonos unas cuantas preguntas podemos inducir cambios en nuestro comportamiento que beneficiarán al medio ambiente, otras personas y a nosotros mismos: ¿Tienes algún aparato eléctrico o electrónico que no necesitas? ¿Podrías ser más responsable a la hora de comprar un nuevo producto electrónico? ¿Podrías reciclar o reparar estos productos una vez que se han quedado obsoletos o se han roto? ¿Intentas ahorrar energia en tu vida diaria? Considerando a necessidade de assumir uma conduta mais responsável com o meio ambiente, Paul Bomini criou a escultura O homem eletrônico para",divulgar o lançamento de produtos eletrônicos sustentáveis.,incentivar inovações em reciclagem para a construção de máquinas.,problematizar o descarte inconsequente de equipamentos.,propor a criação de objetos a partir de aparelhos descartados.,alertar sobre as escolhas tecnológicas da população.,2019,2,LC,C,spanish,"['C', 'A', 'D', 'B', 'E']"
QUESTÃO 03,"Adelfos Yo soy como las gentes que a mi tierra vinieron — soy de la raza mora, vieja amiga del sol —, que todo lo ganaron y todo lo perdieron. Tengo el alma de nardo del árabe español. Nessa estrofe, o poeta e dramaturgo espanhol Manuel Machado reflete acerca",da perda sofrida com o processo de migração.,de sua identificação com os ele m entos da natureza.,da dívida do povo espanhol para com o povo árabe.,de sua formação identitária plural.,da condição nômade de seus antepassados.,2019,3,LC,D,spanish,"['C', 'E', 'D', 'A', 'B']"
QUESTÃO 04,"Que hay de cierto en la fábula de la cigarra y la hormiga Cuenta una conocida fábula que, tras pasar todo un verano cantando y ociosa, una cigarra se encontró sin alimento y decidió pedir a su vecina, la hormiga algo que llevarse a la boca. Esta le ofreció granos de arroz acompañados de una moraleja: más vale prevenir que lamentar. ¿Merecen su fama de previsoras y afanosas las hormigas? Sin duda. Las hormigas cortadoras de hojas ( Atta cephalotes ), por ejemplo, son consideradas las primeras agricultoras del planeta, dedicadas a cortar, acarrear e integrar hojas en el jardín de hongos del que se alimentan. Otro dato curioso es que se ha comprobado que, prácticamente en todas las especies de hormigas, las más ancianas asumen trabajos de mayor riesgo. De acuerdo con Dawid Moron de la Universidad de Jagiellonian (Polonia), esto se debe a que es mejor para la colonia sacrificar una vida que está cerca de su fin que a un individuo joven. En cuanto a las cigarras, no se les puede acusar de perezosas. Lo que sí es cierto es que los machos pasan el verano “cantando” — un sonido que producen con unas membranas llamadas timbales — y encaramados a un árbol, de cuya savia se alimentan. A fábula é um gênero de ampla divulgação frequentemente revisitado com diversos objetivos.  No texto, a fábula A cigarra e a formiga é retomada para",descrever a relação social entre formigas e cigarras na natureza.,descrever o comportamento dos insetos na natureza.,reforçar o estereótipo associado às cigarras.,apresentar ao leitor um ensinamento moral.,expor a superioridade das formigas em relação às cigarras.,2019,4,LC,B,spanish,"['E', 'C', 'B', 'A', 'D']"
QUESTÃO 05,"Empanada Jano Antrix Overa e n bayo claro, vaquilla echada, eres del vino tinto la camarada. [...] Vienes llena de pino, cebolla y carne, con pasas, huevo duro, y aliño de hambre. Con el primer mordisco por una oreja, se abre tu boca ardiente como sorpresa. Te la lleno de pebre quedas picante si te beso muy fuerte, no me reclames. Busco, loco, en tu vientre, delicia oscura, la traición exquisita de tu aceituna. [...] Y repite el ataque por andanadas: Nadie queda con hambre si hay empanadas. A gastronomia é uma das formas de expressão cultural  de um povo. Nesse poema, ao personificar as empanadas, o escritor chileno Antrix",evidencia a relevância de alguns condimentos  na cozinha hispânica.,destaca a importância do vinho na alimentação hispânica.,descreve algumas etapas de preparação dessa receita.,resgata o papel histórico desse alimento em tempos de fome.,enaltece esse prato da culinária hispânica.,2019,5,LC,E,spanish,"['E', 'C', 'B', 'D', 'A']"
QUESTION 06,"Heart cries out for help Naiara Azevedo; Rafael Quadros; Waléria Leão A love like that It was 24 hours side by side A radar on my skin, that hallucinated feeling Heart beating fast Just one look for me to understand It was time to give myself to you Words were no longer needed Ah, just remembering your perfume What a chill, what a shiver My body feels Even if I don't want to, I'll erase you from my mind Ah, this love Has left its mark on my body Ah, this love Just thinking about it, I scream, I almost die These lyrics were composed especially for a campaign to combat violence against women, seeking to raise awareness about the boundaries between loving and abusive relationships. To this end, the strategy employed in the lyrics is to","revealing women's submission to violence, which often leads to their death.",naturalization of oppressive situations that are part of the lives of women living in a patriarchal society.,"exploitation of a double entendre situation, which shows that acts of domination and violence do not constitute love.","emphasis on the need to listen to the pleas of battered women, who continually ask for help.","publicizing the importance of reporting domestic violence, which affects a large number of women in the country.",2019,6,LC,C,english,"['A', 'E', 'C', 'B', 'D']"
QUESTION 07,"Description of poster: Poster with the message: ""Words have power. Words inform, liberate and destroy prejudices. Words misinform, imprison and create prejudice. Freedom of expression. The choice is yours. Responsibility too. Freedom of expression is an unquestionable achievement. What everyone needs to know is that freedom brings responsibility.  Publishing sensationalist information and messages, exploiting morbid images, disrespecting human rights and encouraging prejudice and violence are all acts of lawlessness. To promote freedom of expression with responsibility, the Pernambuco Public Prosecutor's Office is joining several partners in this educational action. Get involved. If you see a message that disrespects your rights, report it. 0800-281-9455 - Pernambuco Public Prosecutor's Office"". An analysis of the content shows that this advertising campaign has the following social functions",instructing people on the correct way to express themselves on social media.,publicize social policies that combat intolerance and prejudice.,spread the positive image of the Public Prosecutor's Office.,make the population aware that rights imply duties.,curbing human rights violations in the media.,2019,7,LC,D,english,"['E', 'D', 'A', 'B', 'C']"
QUESTION 08,"Media: allies or enemies of school physical education? In the case of sport, the mediation carried out by the TV camera has created a new form of consumption: TV spectacle sport, a textual reality that is relatively autonomous from the ""real"" practice of sport, constructed by the codification and mediation of sporting events through framing, image editing and commentary, interpreting for the viewer what they are seeing. This phenomenon tends to value form over content, and to this end makes privileged use of audiovisual language with an emphasis on the image, the possibilities of which are being taken further and further as a result of technological advances. On the other hand, sports narration proposes a hegemonic conception of sport: sport is maximum effort, the pursuit of victory, money? The price paid for its spectacularization is the fragmentation of the sporting phenomenon. The overall experience of being an athlete is modified: socializing in confrontation and playfulness are not privileged experiences in the media's focus, but any manifestations of violence, in soccer matches, for example, are shown and re-exhibited all over the world. The reflection brought about by the text, which deals with the spectacle of sport, is based on",equalizing form and content.,viewers' interpretation of the content being broadcast.,use of state-of-the-art audiovisual equipment.,valuing a broader vision of sport.,distortion of the experience of being an athlete for spectators.,2019,8,LC,E,english,"['E', 'B', 'C', 'D', 'A']"
QUESTION 09,"A study in red Arthur Conan Doyle My dear Sherlock Holmes, something horrible happened at three in the morning in Lauriston Gardens. Our man on the lookout saw a light at two in the morning coming from an empty house. When he approached, he found the door open and, in the front room, the body of a well-dressed gentleman. The cards in his pocket bore the name of Enoch J. Drebber, Cleveland, Ohio, USA. There was no robbery and our man couldn't find anything to indicate how he died. There were no blood marks or wounds on him. We don't know how he got into the empty house. In fact, the whole matter is an endless puzzle. If you can come to the house, that would be great; if not, I'll tell you the details and I'd love to hear from you. Sincerely, Tobias Gregson. Considering the purpose of Tobias Gregson's letter, the sequence of negative statements present in this text has the function of","restrict the investigation, leaving it to the author of the letter.","identify the crime scene, locating it in Jardim Lauriston.","introduce the watchman, including him among the suspects in the murder.","refute possible causes of the gentleman's death, assisting in the investigation.","introduce the recipient of the letter, characterizing their personality.",2019,9,LC,D,english,"['A', 'C', 'E', 'B', 'D']"
