question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 91,"Most people's vision blurs when they open their eyes underwater. But there is one exception: the Moken people, who inhabit the coast of Thailand.  This characteristic is mainly due to the adaptability of the eye and the plasticity of the brain, which means that you too, with some training, could see relatively well underwater. Studies have shown that the pupils of moken eyes are significantly reduced underwater, causing light rays to fall almost parallel to the optical axis of the pupil. The visual acuity associated with the reduction in pupils is physically explained by the decrease in",the diffraction of light beams passing through the pupil.,from the reflections of light beams inside the eye.,of the light intensity incident on the retina.,the intensity of light beams in one direction by polarization.,the deviation of refracted light beams inside the eye.,2019,91,CN,E,english,"['B', 'E', 'A', 'C', 'D']"
QUESTION 92,"The Kidney Project"" is a project carried out by scientists who intend to develop a bionic kidney that will perform most of the organ's biological functions. The bionic kidney will have two parts that incorporate recent advances in nanotechnology, membrane filtration and cell biology. This project will mean a major improvement in the quality of life for those people who depend on hemodialysis for survival. The device created will directly promote",ammonia transformation.,manufacture of aldosterone.,vasopressin synthesis.,removal of urea.,lipid excretion.,2019,92,CN,D,english,"['D', 'E', 'C', 'A', 'B']"
QUESTION 93,"A simple experiment, which can be carried out with materials found at home, is carried out as follows: a volume of ethanol is added to a glass beaker and then a sheet of paper. Over time, a peculiar behavior is observed: the ethanol moves over the surface of the paper, overcoming gravity which attracts it in the opposite direction, as shown in the image. For some students, this is due to the liquid being absorbed by the paper. Image description: A glass beaker containing about a quarter of its volume of ethanol, in which a rectangular piece of filter paper is vertically immersed, resting against the bottom of the beaker. It can be seen that the ethanol wets the filter paper above the level of the liquid, near the middle of the beaker. From a scientific point of view, what explains the movement of the liquid is",difference in densities.,capillarity in the pores of the paper.,resistance to liquid flow.,evaporation of the liquid.,chemical reaction with the paper.,2019,93,CN,B,english,"['B', 'D', 'E', 'A', 'C']"
QUESTION 94,"Treatise on light When one considers the extreme speed with which light spreads everywhere and that, when coming from different places, even totally opposite ones, [the luminous rays] pass through each other without getting in the way, one understands that, when we see a luminous object, this could not occur by the transport of a matter that comes from the object to us, as an arrow or bullet passes through the air; for surely this is quite repugnant to these two properties of light, especially the latter. What concept does the text challenge about the behavior of light?","The belief in the infinite speed of light, defended by most Greek philosophers.","The wave model for light, which considers the possibility of interference between light beams.","The understanding that light needs a means of propagation, spread by the defenders of the existence of the ether.",The idea defended by the Greeks that light was produced by the eyes.,"The corpuscular model defended by Newton, which describes light as a bundle of particles.",2019,94,CN,E,english,"['D', 'B', 'A', 'E', 'C']"
QUESTION 95,"One of the quality control parameters for fruit pulp intended for consumption as a drink is the total acidity expressed as citric acid, which corresponds to the mass of this substance in 100 grams of fruit pulp. Citric acid is an organic molecule with three ionizable hydrogens (triprotic acid) and a molar mass of 192 grams per mole. The table shows the minimum value of this quality parameter for commercial fruit pulps. Description of the table: Table showing the types of fruit pulp and their respective minimum values for total acidity expressed as citric acid, in grams per 100 grams. Acerola: 0.8 Cashew: 0.3 Cupuaçu: 1.5 Graviola: 0.6 Passion fruit: 2.5 The total acidity expressed as citric acid of a commercial sample of fruit pulp was determined.  In the procedure, distilled water was added to 2.2 grams of the sample and, after solubilizing the citric acid, the remaining solid was filtered. The solution obtained was titrated with a 0.01 mol per liter sodium hydroxide solution, in which 24 milliliters of the basic solution (titrant) were consumed. Among those listed, the sample analyzed could be which fruit pulp?",Cupuaçu or graviola.,Cashew or soursop.,Acerola or cupuaçu.,Passion fruit only.,Cashew only.,2019,95,CN,B,english,"['E', 'C', 'D', 'B', 'A']"
QUESTION 96,"A cook added too much salt to the beans she was cooking. To solve the problem, she added raw, unseasoned potatoes to the pot. When she finished cooking the beans, the potatoes were salty because they had absorbed some of the excess salt. Finally, she added water to complete the bean stock. The salt was absorbed by the potatoes by","osmosis, as it only involves the transport of the solvent.","phagocytosis, because the salt transported is a solid substance.","pinocytosis, because the salt was diluted in the water when it was transported.","diffusion, because the transport occurred in favor of the concentration gradient.","exocytosis, since the salt was transported from the water to the potato.",2019,96,CN,D,english,"['A', 'B', 'D', 'E', 'C']"
QUESTION 97,"Precision agriculture brings together agricultural techniques that take into account local particularities of the soil or crop in order to optimize the use of resources. One of the ways of acquiring information on these particularities is low-altitude aerial photography carried out by an unmanned aerial vehicle (UAV). During the acquisition phase, it is important to determine the level of overlap between the photographs. The figure illustrates how a sequence of images is collected by a UAV and how frontal overlaps are formed. Image description: Illustration of a UAV with a camera on a horizontal flight. There are 3 partially overlapping right-angled triangles with acute angles of 45 degrees, whose dashed sides form an angle of 90 degrees, opposite the base and with a UAV on each of them. At the bottom, there is an indication of 20 percent frontal overlap (the measure of the base of a triangle formed by the overlap of two triangles). Below the triangles are 3 overlapping squares (numbered 1 to 3, from left to right, and the same width as the base of the right-angled triangles). Between squares 1 and 2 and between squares 2 and 3 there is a gray area corresponding to the 20 percent frontal overlap. The UAV operator receives an order in which the images must have a frontal overlap of 20 percent on flat terrain. To acquire the images, he selects a fixed flight altitude of 1,000 meters at a constant speed of 50 meters per second. The aperture of the drone's camera is 90 degrees. Consider the 45 degree tangent to be equal to 1. At what time interval must the operator acquire two consecutive images?",40 seconds.,8 seconds.,32 seconds.,28 seconds.,16 seconds.,2019,97,CN,C,english,"['A', 'E', 'B', 'C', 'D']"
QUESTION 98,"One of the chemical recycling techniques for PET polymer [polyethylene terephthalate] generates methyl terephthalate and ethanediol, as shown in the reaction diagram, and takes place through a transesterification reaction. Description of the reaction scheme: The PET polymer reacts with 2 n of compound A under conditions of high temperature and pressure, forming two products. The PET reactant is a polymer of n monomers with the structure, in brackets, of an aromatic ring with a CO group attached to carbon 1 and COO attached to carbon 4. The oxygen of the COO group on carbon 4 is single bonded to the CH 2 CH 2 O group. One of the products formed has n molecules of a compound containing an aromatic ring with COOCH 3 groups attached to carbons 1 and 4. The other product formed has a further n molecules of the compound HOCH 2 CH 2 OH. Compound A, represented in the reaction diagram, is the",methane.,ethanoic anhydride.,methanol.,ethanoic acid.,methyl ether.,2019,98,CN,C,english,"['A', 'E', 'B', 'D', 'C']"
QUESTION 99,"During their evolution, plants have shown a great diversity of characteristics, which have allowed them to survive in different environments. In the image, five of these characteristics are indicated by numbers. Image description: The image represents a cladogram from an ancestral green alga, highlighting five evolutionary acquisitions. Evolutionary acquisition 1 (embryos protected in the gametophyte, between 500 and 450 million years ago): dashed line for liverworts, another for anthocera, another for mosses and a continuous line for evolutionary acquisition 2. Evolutionary acquisition 2 (true conductive tissues, between 450 and 400 million years ago): solid line for Lycophytes (lycopods, Isoetes and Selaginella ), solid line for Pteridophytes (ferns, horsetails, Psilotum ) and another solid line for evolutionary acquisition 3. Evolutionary acquisition 3 (pollen tube formation, around 300 million years ago): continuous line for evolutionary acquisition 4 (wind pollination, around 0 million years ago) - Gymnosperms; and for evolutionary acquisition 5 (fruit production, around 0 million years ago) - Angiosperms. The evolutionary acquisition that allowed plants to definitively conquer the terrestrial environment is indicated by the number",5 : Fruit production .,1 : Embryos protected in the gametophyte .,3 : Pollen tube formation .,2 : True conductive tissues .,4 : Wind pollination .,2019,99,CN,C,english,"['E', 'A', 'C', 'B', 'D']"
QUESTION 100,"In 1962, a jingle (musical vignette) created by Heitor Carillo was so successful that it went beyond radio and onto television, illustrated by a cartoon. In it, a person answered the ghost knocking on his door, personifying the ""cold"", who wouldn't let him in because he wouldn't open the door and would buy wool and blankets to warm his house. Although memorable, this television commercial contained inaccuracies regarding physical concepts relating to calorimetry. In order to correct these inaccuracies, the door and the blankets should be assigned the functions of:",To heat the house and reduce heat loss by the body.,Prevent the cold from entering the house and bodies.,To keep the cold out of the house and warm our bodies.,Minimize heat loss from the house and bodies.,Warming the house and our bodies.,2019,100,CN,D,english,"['E', 'B', 'D', 'C', 'A']"
