question,body,A,B,C,D,E,year,question_number,test,answer,language,answer_order
QUESTION 136,"The flu is a short-term acute respiratory infection caused by the influenza virus. When it enters the body through the nose, this virus multiplies and spreads to the throat and other parts of the respiratory tract, including the lungs. The influenza virus is a spherical particle with an internal diameter of 0.00011 millimeters. In scientific notation, the internal diameter of the influenza virus, in millimeters, is","1,1 × 10 - 5","1,1 × 10 - 1","1,1 × 10 - 2","1,1 × 10 - 3","1,1 × 10 - 4",2019,136,MT,E,english,"['E', 'A', 'B', 'C', 'D']"
QUESTION 137,"In an online game, each player seeks to level up and increase their experience, which are two important parameters in the game on which the participant's defense and attack strengths depend. Each player's defense strength is directly proportional to their level and the square of their experience, while their attack strength is directly proportional to their experience and the square of their level. No player knows the level or experience of the others. Players start the game at level 1 with experience 1 and have attack strength 2 and defense strength 1. In this game, each player moves around a city in search of treasures to increase their experience. When two of them meet, one of them can challenge the other to a confrontation, with the challenger being considered the attacker. The attacking force of the challenger is then compared to the defending force of the challenged and the one whose force is greater wins the match. The winner of the challenge increases their level by one unit. If the match is tied, both players increase their levels by one. During a game, player J 1 , level 4 and experience 5, attacks player J 2 , level 2 and experience 6. Player J 1 wins this match because the difference between his attack strength and his opponent's defense strength is",28.,60.,24.,88.,112.,2019,137,MT,D,english,"['D', 'C', 'E', 'B', 'A']"
QUESTION 138,"In a condominium, a paved area in the shape of a circle with a diameter of 6 meters is surrounded by grass. The condominium's management wants to enlarge this area, maintaining its circular shape, and increasing the diameter of this area by 8 meters, while maintaining the covering of the existing part. The condominium has enough material in stock to pave another 100 square meters.  The condominium manager will assess whether this available material will be sufficient to pave the area to be enlarged. Use 3 as an approximation for pi . The correct conclusion to reach, considering the new area to be paved, is that the material available in stock is","will be enough, as the area of the new area to be paved measures 24 square meters.","will not be enough, as the area of the new area to be paved measures 120 square meters.","will be enough, as the area of the new area to be paved measures 48 square meters.","will be enough, as the area of the new area to be paved measures 21 square meters.","will not be enough, as the area of the new area to be paved measures 108 square meters.",2019,138,MT,B,english,"['B', 'E', 'C', 'A', 'D']"
QUESTION 139,"Physical exercise is recommended for the proper functioning of the body, as it speeds up the metabolism and consequently increases calorie consumption. The graph shows the amount of calories, in kilocalories, spent on five different physical activities, according to the time spent on the activities, counted in minutes. Description of the graph: The graph shows the expenditure, from 0 to 140 kilocalories, as a function of time, from 5 to 30 minutes. Activity one: In 10 minutes you spend 20 kilocalories. Activity two: In 15 minutes you spend 100 kilocalories. Activity three: 120 kilocalories in 20 minutes. Activity four: In 25 minutes you spend 100 kilocalories. Activity five: In 30 minutes you burn 80 kilocalories. Which of these physical activities consumes the most kilocalories per minute?",Um,Three,Two,Four,Cinco,2019,139,MT,C,english,"['A', 'C', 'B', 'D', 'E']"
QUESTION 140,"During the five working days of a week, a teacher gives tests with four multiple-choice questions to five students. The results are represented in a matrix. Description of the matrix: A matrix made up of five rows and five columns. In the first row are the numbers: 3, 2, 0, 1, 2. In the second row are the numbers: 3, 2, 4, 1, 2. In the third row are the numbers: 2, 2, 2, 3, 2. In the fourth row are the numbers: 3, 2, 4, 1, 0. In the fifth row are the numbers: 0, 2, 0, 4, 4. In this matrix, the elements in rows 1 to 5 represent the number of questions got right by students Ana, Bruno, Carlos, Denis and Érica, respectively, while columns 1 to 5 indicate the days of the week, from Monday to Friday, respectively, on which the tests were administered. The test with the highest number of correct answers was the one administered on",Wednesday.,Tuesday.,Friday.,Thursday.,Monday.,2019,140,MT,E,english,"['C', 'B', 'E', 'D', 'A']"
QUESTION 141,"A cyclist wants to set up a gear system using two toothed disks on the back of his bike, called ratchets. The crown is the toothed disk that is moved by the bicycle pedals, and the chain transmits this movement to the ratchets, which are positioned on the rear wheel of the bicycle. The different gears are defined by the different diameters of the ratchets, which are measured as shown in the figure. Figure description: The figure represents the toothed disk. The diameter of the toothed disk shown in the figure is the diameter of the largest inner circle of the disk. The cyclist already has a ratchet with a diameter of 7 centimeters and wants to add a second ratchet so that, as the chain passes through it, the bicycle moves forward 50 percent more than it would if the chain passed through the first ratchet, with each complete turn of the pedals. The closest value to the diameter of the second ratchet, in centimeters and to one decimal place, is","10,5.","2,3.","4,7.","3,5.","5,3.",2019,141,MT,C,english,"['E', 'A', 'C', 'B', 'D']"
QUESTION 142,"A city's meteorological service issues daily weather reports. With this information, the town hall issues three types of alerts to the population: - Gray alert: should be issued whenever the weather forecast estimates that the temperature will be below 10 degrees Celsius , and the relative humidity is below 40 percent ; - Orange alert: should be issued whenever the weather forecast estimates that the temperature is expected to vary between 35 degrees Celsius and 40 degrees Celsius , and the relative humidity is expected to be below 30 percent ; - Red alert: should be issued whenever the weather forecast estimates that the temperature will be above 40 degrees Celsius , and the relative humidity is below 25 percent . A summary of the weather forecast in this city for a period of 15 days is shown in the graph. Graph description: The line graph shows the temperature and relative humidity on the following days: Day 1: Temperature less than 10 degrees Celsius and relative humidity less than 40 percent. Day 2: Temperature equal to 10 degrees Celsius and relative humidity less than 20 percent. Day 3: Temperature equal to 10 degrees Celsius and relative humidity less than 30 percent. Day 4: Temperature below 20 degrees Celsius and relative humidity below 30 percent. Day 5: Temperature below 20 degrees Celsius and relative humidity equal to 30 percent. Day 6: Temperature below 30 degrees Celsius and relative humidity below 30 percent. Day 7: Temperature equal to 20 degrees Celsius and relative humidity equal to 30 percent. Day 8: Temperature below 30 degrees Celsius and relative humidity below 35 percent. Day 9: Temperature below 30 degrees Celsius and relative humidity equal to 40 percent. Day 10: Temperature below 35 degrees Celsius and relative humidity above 40 percent. Day 11: Temperature below 35 degrees Celsius and relative humidity above 40 percent. Day 12: Temperature equal to 40 degrees Celsius and relative humidity equal to 20 percent. Day 13: Temperature above 40 degrees Celsius and relative humidity equal to 40 percent. Day 14: Temperature equal to 30 degrees Celsius and relative humidity less than 35 percent. Day 15: Temperature below 30 degrees Celsius and relative humidity equal to 40 percent. *LE0225LA18* MT - 2nd day | Notebook 11 - ORANGE - Page 19 After the 15 days of validity of this report, an employee noticed that the following alerts were issued during the period referred to in the graph: - Day 1: gray alert; - Day 12: orange alert; - Day 13: red alert. On which of these days were the warning(s) issued correctly?",1,1 e 13,12,"1, 12 e 13",1 e 12,2019,142,MT,A,english,"['A', 'D', 'B', 'E', 'C']"
QUESTION 143,"A municipal administration has commissioned the painting of ten signs to be placed in its parking lot. The professional hired for the initial job will paint the background of ten signs and will charge an amount according to the total area of these signs. The shape of each sign is a circle with a diameter of d = 40 centimeters, which tangles the sides of a rectangle, and the total length of the sign is h = 60 centimeters. Use 3.14 as an approximation for pi . What is the sum of the area measurements, in square centimeters, of the ten plates?",66 240,16 628,41 120,22 280,28 560,2019,143,MT,D,english,"['E', 'A', 'D', 'B', 'C']"
QUESTION 144,"The label on the packaging of a cosmetic tells you that dissolving its contents, according to its specifications, yields 2.7 liters of this product ready for use. A person is going to undergo a cosmetic treatment in which they have to take a bath with this product in a bathtub with a capacity of 0.3 cubic meters. To avoid overflowing, the tub will be filled to 80 percent of its capacity. For this bath, the minimum number of packets of this cosmetic is",134.,112.,9.,89.,12.,2019,144,MT,D,english,"['E', 'D', 'A', 'C', 'B']"
QUESTION 145,"The slogan ""If you drink, don't drive"", widely used in advertising campaigns in Brazil, draws attention to the serious problem of alcohol consumption by drivers and its consequences for traffic. The seriousness of this problem can be seen by looking at how the issue is dealt with in the Brazilian Traffic Code. In 2013, the maximum amount of alcohol allowed in a driver's blood, which was already low, was reduced, and the amount of the fine for drunk drivers was increased.  As a result of these changes, there was a drop in the number of accidents recorded on a supposed highway in the years following the changes implemented in 2013, according to the data in the table. Description of the table: The table shows the total number of accidents in the years: 2013: 1,050 accidents; 2014: 900 accidents and 2015: 850 accidents. Suppose that the downward trend in the number of accidents on this road for subsequent years is equal to the absolute reduction observed from 2014 to 2015. Based on the situation presented, the number of accidents expected on this highway in 2018 was",450.,800.,700.,150.,550.,2019,145,MT,C,english,"['B', 'E', 'D', 'A', 'C']"
