game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,0,0,0:12:00,0:00:00,0:00:00,2,ATL,jump ball,,Kristaps Porzingis,Clint Capela,,,,,,,Kristaps Porzingis,,Dwight Powell,,,,jump ball,,,,,,Jump Ball Capela vs. Porzingis: Tip to Powell
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,0,0:11:42,0:00:18,0:00:18,3,DAL,shot,Luka Doncic,,,,,,,,,Tim Hardaway Jr.,3,,,made,,3pt jump shot,24,-76,232,32.6,28.200000000000003,Hardaway Jr. 24' 3PT Jump Shot (3 PTS) (Doncic 1 AST)
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,2,0:11:17,0:00:43,0:00:25,4,ATL,shot,Bogdan Bogdanovic,,,,,,,,,John Collins,2,,,made,,jump shot,12,4,120,25.4,77.0,Collins 12' Pullup Jump Shot (2 PTS) (Bogdanovic 1 AST)
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,2,0:11:00,0:01:00,0:00:17,5,DAL,shot,,,,,,,,,,Dwight Powell,0,,,missed,,driving dunk,1,7,-4,24.3,4.6,MISS Powell 1' Driving Dunk
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,2,0:10:57,0:01:03,0:00:03,6,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound offensive,,,,,,Finney-Smith REBOUND (Off:1 Def:0)
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,2,0:10:56,0:01:04,0:00:01,7,DAL,shot,,,,,,,,,,Dorian Finney-Smith,0,,,missed,,3pt jump shot,25,208,142,4.199999999999999,19.200000000000003,MISS Finney-Smith 25' 3PT Jump Shot
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,2,0:10:53,0:01:07,0:00:03,8,ATL,rebound,,,,,,,,,,De'Andre Hunter,,,,,,rebound defensive,,,,,,Hunter REBOUND (Off:0 Def:1)
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,2,0:10:48,0:01:12,0:00:05,9,ATL,shot,,,,,,,,,,De'Andre Hunter,0,,,missed,,jump shot,22,50,212,30.0,67.8,MISS Hunter 22' Running Pull-Up Jump Shot
22100014,2021-22 Regular Season,2021-10-21,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,1,3,2,0:10:44,0:01:16,0:00:04,10,DAL,rebound,,,,,,,,,,Tim Hardaway Jr.,,,,,,rebound defensive,,,,,,Hardaway Jr. REBOUND (Off:0 Def:1)
