game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Joel Embiid,Derrick Favors,,,,,,,Joel Embiid,,Tyrese Maxey,,,,jump ball,,,,,,Jump Ball Favors vs. Embiid: Tip to Maxey
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,0,0,0:11:43,0:00:17,0:00:17,3,PHI,shot,,,,,,,,,,Joel Embiid,0,,,missed,,fadeaway jumper,12,-85,85,33.5,13.5,MISS Embiid 12' Fadeaway Jumper
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,0,0,0:11:38,0:00:22,0:00:05,4,OKC,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,0,0,0:11:35,0:00:25,0:00:03,5,PHI,foul,,,,,,,,Josh Giddey,,Seth Curry,,,p.foul,,,personal,,,,,,Curry P.FOUL (P1.T1) (P.Ransom)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,0,0,0:11:24,0:00:36,0:00:11,6,OKC,shot,,,,,,,,,,Derrick Favors,0,,,missed,,jump shot,16,164,-15,41.400000000000006,90.5,MISS Favors 16' Jump Shot
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,0,0,0:11:21,0:00:39,0:00:03,7,PHI,rebound,,,,,,,,,,Seth Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,2,0,0:11:07,0:00:53,0:00:14,8,PHI,shot,,,,,,,,,,Tobias Harris,2,,,made,,jump shot,6,43,41,20.7,9.100000000000001,Harris 6' Turnaround Fadeaway Bank Jump Shot (2 PTS)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,2,0,0:10:48,0:01:12,0:00:19,9,OKC,shot,,,,,,,,,,Luguentz Dort,0,,,missed,,3pt jump shot,25,-216,134,3.3999999999999986,75.6,MISS Dort 25' 3PT Jump Shot
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,2,0,0:10:44,0:01:16,0:00:04,10,OKC,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound offensive,,,,,,Favors REBOUND (Off:1 Def:1)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,2,0,0:10:41,0:01:19,0:00:03,11,OKC,turnover,,,,,,,,,,Josh Giddey,,,bad pass,,Joel Embiid,bad pass,,,,,,Giddey Bad Pass Turnover (P1.T1): Embiid STEAL (1 STL)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,2,0,0:10:36,0:01:24,0:00:05,12,OKC,foul,,,,,,,,Seth Curry,,Luguentz Dort,,,s.foul,,,shooting,,,,,,Dort S.FOUL (P1.T1) (R.Mott)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,2,0,0:10:36,0:01:24,0:00:00,13,PHI,free throw,,,,,,,1,,2,Seth Curry,0,,,missed,,free throw 1/2,,,,,,MISS Curry Free Throw 1 of 2
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,2,0,0:10:36,0:01:24,0:00:00,14,PHI,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ers Rebound
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,3,0,0:10:36,0:01:24,0:00:00,15,PHI,free throw,,,,,,,2,,2,Seth Curry,1,,,made,,free throw 2/2,,,,,,Curry Free Throw 2 of 2 (1 PTS)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,3,0,0:10:20,0:01:40,0:00:16,16,OKC,shot,,,,Joel Embiid,,,,,,Derrick Favors,0,,,missed,,layup,8,77,17,32.7,87.3,MISS Favors 8' Layup: Embiid BLOCK (1 BLK)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,3,0,0:10:15,0:01:45,0:00:05,17,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,6,0,0:10:10,0:01:50,0:00:05,18,PHI,shot,Joel Embiid,,,,,,,,,Seth Curry,3,,,made,,3pt jump shot,23,222,62,2.799999999999997,11.2,Curry 3PT Jump Shot (4 PTS) (Embiid 1 AST)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,6,0,0:09:50,0:02:10,0:00:20,19,OKC,shot,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,turnaround fadeaway,11,112,1,36.2,88.9,MISS Gilgeous-Alexander 11' Turnaround Fadeaway Shot
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,6,0,0:09:47,0:02:13,0:00:03,20,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:2)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,6,0,0:09:36,0:02:24,0:00:11,21,PHI,turnover,,,,,,,,,,Danny Green,,,,,,step out of bounds,,,,,,Green Step Out of Bounds Turnover (P1.T1)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,6,2,0:09:23,0:02:37,0:00:13,22,OKC,shot,Luguentz Dort,,,,,,,,,Derrick Favors,2,,,made,,jump shot,13,72,111,32.2,77.9,Favors 13' Jump Shot (2 PTS) (Dort 1 AST)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,2,0:09:00,0:03:00,0:00:23,23,PHI,shot,Joel Embiid,,,,,,,,,Seth Curry,2,,,made,,driving layup,3,27,15,22.3,6.5,Curry 3' Driving Layup (6 PTS) (Embiid 2 AST)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,2,0:08:50,0:03:10,0:00:10,24,OKC,shot,,,,,,,,,,Darius Bazley,0,,,missed,,3pt jump shot,26,-126,225,12.399999999999999,66.5,MISS Bazley 26' 3PT Jump Shot
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,2,0:08:46,0:03:14,0:00:04,25,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:3)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,2,0:08:41,0:03:19,0:00:05,26,PHI,shot,,,,Darius Bazley,,,,,,Tyrese Maxey,0,,,missed,,3pt jump shot,23,229,-5,2.099999999999998,4.5,Bazley BLOCK (1 BLK): MISS Maxey 3PT Jump Shot
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,2,0:08:36,0:03:24,0:00:05,27,OKC,rebound,,,,,,,,,,Darius Bazley,,,,,,rebound defensive,,,,,,Bazley REBOUND (Off:0 Def:1)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,2,0:08:34,0:03:26,0:00:02,28,OKC,shot,,,,Joel Embiid,,,,,,Darius Bazley,0,,,missed,,dunk,4,-38,-13,21.2,90.3,MISS Bazley 4' Running Dunk: Embiid BLOCK (2 BLK)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,2,0:08:30,0:03:30,0:00:04,29,OKC,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound offensive,,,,,,Favors REBOUND (Off:2 Def:1)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,5,0:08:27,0:03:33,0:00:03,30,OKC,shot,Derrick Favors,,,,,,,,,Luguentz Dort,3,,,made,,3pt jump shot,28,112,251,36.2,63.9,Dort 27' 3PT Jump Shot (3 PTS) (Favors 1 AST)
22100038,2021-22 Regular Season,2021-10-24,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,1,8,5,0:08:06,0:03:54,0:00:21,31,OKC,foul,,,,,,,,Joel Embiid,,Derrick Favors,,,s.foul,,,shooting,,,,,,Favors S.FOUL (P1.T2) (R.Mott)
