game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Kevon Looney,Richaun Holmes,,,,,,,Richaun Holmes,,Maurice Harkless,,,,jump ball,,,,,,Jump Ball Holmes vs. Looney: Tip to Harkless
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,2,0:11:46,0:00:14,0:00:14,3,SAC,shot,Tyrese Haliburton,,,,,,,,,Richaun Holmes,2,,,made,,dunk,1,-1,14,24.9,87.6,Holmes 1' Alley Oop Dunk (2 PTS) (Haliburton 1 AST)
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,2,0:11:22,0:00:38,0:00:24,4,GSW,shot,,,,,,,,,,Draymond Green,0,,,missed,,jump shot,15,1,152,24.9,20.200000000000003,MISS Green 15' Jump Shot
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,2,0:11:18,0:00:42,0:00:04,5,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:1)
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,5,0:11:06,0:00:54,0:00:12,6,SAC,shot,,,,,,,,,,Harrison Barnes,3,,,made,,3pt step back jump shot,25,-170,182,8.0,70.8,Barnes 25' 3PT Step Back Jump Shot (3 PTS)
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,5,0:10:46,0:01:14,0:00:20,7,GSW,shot,,,,,,,,,,Andrew Wiggins,0,,,missed,,hook shot,8,-44,63,29.4,11.3,MISS Wiggins 8' Driving Hook Shot
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,5,0:10:42,0:01:18,0:00:04,8,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound offensive,,,,,,Green REBOUND (Off:1 Def:0)
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,5,0:10:42,0:01:18,0:00:00,9,GSW,shot,,,,,,,,,,Draymond Green,0,,,missed,,layup,0,0,0,25.0,5.0,MISS Green Tip Layup Shot
22100039,2021-22 Regular Season,2021-10-24,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,1,0,5,0:10:41,0:01:19,0:00:01,10,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,rebound offensive,,,,,,Curry REBOUND (Off:1 Def:0)
