game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Jonas Valanciunas,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Towns vs. Valanciunas: Tip to Russell
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:43,0:00:17,0:00:17,3,MIN,shot,,,,Herbert Jones,,,,,,D'Angelo Russell,0,,,missed,,3pt jump shot,25,-125,212,12.5,67.8,MISS Russell 25' 3PT Jump Shot: Jones BLOCK (1 BLK)
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:41,0:00:19,0:00:02,4,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound offensive,,,,,,Towns REBOUND (Off:1 Def:0)
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:41,0:00:19,0:00:00,5,MIN,turnover,,,,,,,,,,D'Angelo Russell,,,bad pass,,,bad pass,,,,,,Russell Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:20,0:00:40,0:00:21,6,NOP,shot,,,,,,,,,,Jonas Valanciunas,0,,,missed,,layup,3,25,19,22.5,6.9,MISS Valanciunas 3' Layup
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:18,0:00:42,0:00:02,7,MIN,rebound,,,,,,,,,,Anthony Edwards,,,,,,rebound defensive,,,,,,Edwards REBOUND (Off:0 Def:1)
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:11,0:00:49,0:00:07,8,MIN,shot,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,driving floating jump shot,12,-45,111,20.5,77.9,MISS Towns 12' Driving Floating Jump Shot
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:09,0:00:51,0:00:02,9,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound offensive,,,,,,Towns REBOUND (Off:2 Def:0)
22100047,2021-22 Regular Season,2021-10-25,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,1,0,0,0:11:08,0:00:52,0:00:01,10,MIN,shot,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,hook shot,8,-77,21,17.3,86.9,MISS Towns 8' Turnaround Hook Shot
