game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,DeAndre Jordan,Jakob Poeltl,,,,,,,Jakob Poeltl,,Dejounte Murray,,,,jump ball,,,,,,Jump Ball Poeltl vs. Jordan: Tip to Murray
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:47,0:00:13,0:00:13,3,SAS,shot,,,,,,,,,,Doug McDermott,0,,,missed,,jump shot,15,147,1,39.7,88.9,MISS McDermott 15' Jump Shot
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:43,0:00:17,0:00:04,4,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:24,0:00:36,0:00:19,5,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,jump shot,15,-96,117,34.6,16.700000000000003,MISS Davis 15' Jump Shot
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:20,0:00:40,0:00:04,6,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:14,0:00:46,0:00:06,7,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,3pt jump shot,26,210,155,46.0,73.5,MISS Johnson 26' 3PT Jump Shot
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:11,0:00:49,0:00:03,8,LAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:06,0:00:54,0:00:05,9,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,layup,3,-26,15,27.6,6.5,MISS Davis 3' Alley Oop Layup
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:03,0:00:57,0:00:03,10,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound offensive,,,,,,Davis REBOUND (Off:1 Def:1)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:11:00,0:01:00,0:00:03,11,LAL,shot,,,,,,,,,,Russell Westbrook,0,,,missed,,layup,3,18,25,23.2,7.5,MISS Westbrook 3' Layup
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:10:58,0:01:02,0:00:02,12,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound defensive,,,,,,White REBOUND (Off:0 Def:1)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:10:55,0:01:05,0:00:03,13,SAS,shot,,,,,,,,,,Doug McDermott,0,,,missed,,3pt running jump shot,29,-211,195,3.8999999999999986,69.5,MISS McDermott 29' 3PT Running Jump Shot
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:10:52,0:01:08,0:00:03,14,SAS,rebound,,,,,,,,,,Keldon Johnson,,,,,,rebound offensive,,,,,,Johnson REBOUND (Off:1 Def:0)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:10:50,0:01:10,0:00:02,15,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,layup,4,-36,5,21.4,88.5,MISS Johnson 4' Layup
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,0,0,0:10:47,0:01:13,0:00:03,16,LAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:2)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,2,0,0:10:45,0:01:15,0:00:02,17,LAL,shot,Malik Monk,,,,,,,,,Russell Westbrook,2,,,made,,layup,2,-13,11,26.3,6.1,Westbrook 2' Running Layup (2 PTS) (Monk 1 AST)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,2,0,0:10:29,0:01:31,0:00:16,18,LAL,foul,,,,,,,,Keldon Johnson,,DeAndre Jordan,,,s.foul,,,shooting,,,,,,Jordan S.FOUL (P1.T1) (B.Forte)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,2,1,0:10:29,0:01:31,0:00:00,19,SAS,free throw,,,,,,,1,,2,Keldon Johnson,1,,,made,,free throw 1/2,,,,,,Johnson Free Throw 1 of 2 (1 PTS)
22100053,2021-22 Regular Season,2021-10-26,DeAndre Jordan,Anthony Davis,Russell Westbrook,Malik Monk,Kent Bazemore,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,1,2,2,0:10:29,0:01:31,0:00:00,20,SAS,free throw,,,,,,,2,,2,Keldon Johnson,1,,,made,,free throw 2/2,,,,,,Johnson Free Throw 2 of 2 (2 PTS)
