game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,0,0,0:12:00,0:00:00,0:00:00,2,CHI,jump ball,,Mitchell Robinson,Nikola Vucevic,,,,,,,Nikola Vucevic,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Vucevic vs. Robinson: Tip to Ball
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,0,3,0:11:42,0:00:18,0:00:18,3,CHI,shot,Nikola Vucevic,,,,,,,,,Zach LaVine,3,,,made,,3pt jump shot,26,-192,176,5.799999999999997,71.4,LaVine 26' 3PT Jump Shot (3 PTS) (Vucevic 1 AST)
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,2,3,0:11:20,0:00:40,0:00:22,4,NYK,shot,RJ Barrett,,,,,,,,,Mitchell Robinson,2,,,made,,dunk,1,2,7,24.8,5.7,Robinson 1' Alley Oop Dunk (2 PTS) (Barrett 1 AST)
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,2,3,0:11:07,0:00:53,0:00:13,5,CHI,turnover,,,,,,,,,,Lonzo Ball,,,bad pass,,Kemba Walker,bad pass,,,,,,Ball Bad Pass Turnover (P1.T1): Walker STEAL (1 STL)
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,2,3,0:11:00,0:01:00,0:00:07,6,NYK,shot,,,,,,,,,,Evan Fournier,0,,,missed,,3pt pullup jump shot,26,-167,197,41.7,24.700000000000003,MISS Fournier 26' 3PT Pullup Jump Shot
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,2,3,0:10:57,0:01:03,0:00:03,7,CHI,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,2,6,0:10:48,0:01:12,0:00:09,8,CHI,shot,DeMar DeRozan,,,,,,,,,Nikola Vucevic,3,,,made,,3pt jump shot,24,67,234,31.7,65.6,Vucevic 24' 3PT Jump Shot (3 PTS) (DeRozan 1 AST)
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,2,6,0:10:27,0:01:33,0:00:21,9,NYK,shot,,,,,,,,,,Julius Randle,0,,,missed,,driving layup,2,17,1,23.3,5.1,MISS Randle 2' Driving Layup
22100067,2021-22 Regular Season,2021-10-28,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,1,2,6,0:10:24,0:01:36,0:00:03,10,NYK,rebound,,,,,,,,,,Julius Randle,,,,,,rebound offensive,,,,,,Randle REBOUND (Off:1 Def:0)
