game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,,Isaiah Stewart,,,,,,,,,,,,,jump ball,,,,,, 
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,0,0,0:12:00,0:00:00,0:00:00,3,MIL,,,,,,,,,,,Giannis Antetokounmpo,,,,,,unknown,,,,,,Jump Ball
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,0,0,0:11:42,0:00:18,0:00:18,4,DET,turnover,,,,,,,,,,Isaiah Stewart,,,bad pass,,Pat Connaughton,bad pass,,,,,,Stewart Bad Pass Turnover (P1.T1): Connaughton STEAL (1 STL)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,2,0,0:11:37,0:00:23,0:00:05,5,MIL,shot,Pat Connaughton,,,,,,,,,Thanasis Antetokounmpo,2,,,made,,dunk,2,15,8,23.5,5.8,Antetokounmpo 2' Running Dunk (2 PTS) (Connaughton 1 AST)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,2,0,0:11:24,0:00:36,0:00:13,6,DET,shot,,,,Grayson Allen,,,,,,Isaiah Stewart,0,,,missed,,cutting layup shot,2,-21,10,22.9,88.0,MISS Stewart 2' Cutting Layup Shot: Allen BLOCK (1 BLK)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,2,0,0:11:22,0:00:38,0:00:02,7,MIL,rebound,,,,,,,,,,George Hill,,,,,,rebound defensive,,,,,,G. Hill REBOUND (Off:0 Def:1)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,2,0,0:11:16,0:00:44,0:00:06,8,DET,violation,,,,,,,,,,Isaiah Stewart,,,,,,kicked ball,,,,,,Stewart Violation:Kicked Ball (M.Kogut)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,2,0,0:11:13,0:00:47,0:00:03,9,DET,foul,,,,,,,,Thanasis Antetokounmpo,,Isaiah Stewart,,,p.foul,,,personal,,,,,,Stewart P.FOUL (P1.T1) (B.Forte)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,2,0,0:11:02,0:00:58,0:00:11,10,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,bad pass,,,bad pass,,,,,,Antetokounmpo Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,2,3,0:10:48,0:01:12,0:00:14,11,DET,shot,Saddiq Bey,,,,,,,,,Jerami Grant,3,,,made,,3pt jump shot,26,-174,198,7.599999999999998,69.2,Grant 26' 3PT Jump Shot (3 PTS) (Bey 1 AST)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,4,3,0:10:31,0:01:29,0:00:17,12,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,turnaround fadeaway,13,-131,11,38.1,6.1,Antetokounmpo 13' Turnaround Fadeaway (2 PTS)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,4,6,0:10:15,0:01:45,0:00:16,13,DET,shot,Cade Cunningham,,,,,,,,,Jerami Grant,3,,,made,,3pt jump shot,26,156,206,40.6,68.4,Grant 26' 3PT Jump Shot (6 PTS) (Cunningham 1 AST)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,4,6,0:09:58,0:02:02,0:00:17,14,MIL,shot,,,,,,,,,,George Hill,0,,,missed,,jump shot,20,-115,169,36.5,21.900000000000002,MISS G. Hill 20' Pullup Jump Shot
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,4,6,0:09:58,0:02:02,0:00:00,15,DET,rebound,,,,,,,,,,Isaiah Stewart,,,,,,rebound defensive,,,,,,Stewart REBOUND (Off:0 Def:1)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,4,6,0:09:50,0:02:10,0:00:08,16,DET,turnover,,,,,,,,,,Cade Cunningham,,,bad pass,,,bad pass,,,,,,Cunningham Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
22100103,2021-22 Regular Season,2021-11-02,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,1,7,6,0:09:37,0:02:23,0:00:13,17,MIL,shot,George Hill,,,,,,,,,Giannis Antetokounmpo,3,,,made,,3pt jump shot,26,-184,184,43.400000000000006,23.400000000000002,Antetokounmpo 26' 3PT Jump Shot (5 PTS) (G. Hill 1 AST)
