game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,Dwight Powell,Drew Eubanks,,,,,,,Drew Eubanks,,Dejounte Murray,,,,jump ball,,,,,,Jump Ball Eubanks vs. Powell: Tip to Murray
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:45,0:00:15,0:00:15,3,SAS,shot,,,,,,,,,,Drew Eubanks,0,,,missed,,cutting layup shot,3,-26,15,22.4,87.5,MISS Eubanks 3' Cutting Layup Shot
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:42,0:00:18,0:00:03,4,DAL,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:0 Def:1)
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:32,0:00:28,0:00:10,5,SAS,foul,,,,,,,,Luka Doncic,,Keldon Johnson,,,s.foul,,,shooting,,,,,,Johnson S.FOUL (P1.T1) (G.Petraitis)
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:32,0:00:28,0:00:00,6,DAL,free throw,,,,,,,1,,2,Luka Doncic,0,,,missed,,free throw 1/2,,,,,,MISS Doncic Free Throw 1 of 2
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:32,0:00:28,0:00:00,7,DAL,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Mavericks Rebound
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:32,0:00:28,0:00:00,8,DAL,free throw,,,,,,,2,,2,Luka Doncic,0,,,missed,,free throw 2/2,,,,,,MISS Doncic Free Throw 2 of 2
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:30,0:00:30,0:00:02,9,SAS,rebound,,,,,,,,,,Drew Eubanks,,,,,,rebound defensive,,,,,,Eubanks REBOUND (Off:0 Def:1)
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,0,0:11:22,0:00:38,0:00:08,10,DAL,foul,,,,,,,,Keldon Johnson,,Luka Doncic,,,s.foul,,,shooting,,,,,,Doncic S.FOUL (P1.T1) (E.Lewis)
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,1,0:11:22,0:00:38,0:00:00,11,SAS,free throw,,,,,,,1,,2,Keldon Johnson,1,,,made,,free throw 1/2,,,,,,Johnson Free Throw 1 of 2 (1 PTS)
22100116,2021-22 Regular Season,2021-11-03,Dwight Powell,Jalen Brunson,Luka Doncic,Dorian Finney-Smith,Tim Hardaway Jr.,Drew Eubanks,Dejounte Murray,Keldon Johnson,Derrick White,Doug McDermott,1,0,2,0:11:22,0:00:38,0:00:00,12,SAS,free throw,,,,,,,2,,2,Keldon Johnson,1,,,made,,free throw 2/2,,,,,,Johnson Free Throw 2 of 2 (2 PTS)
