game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Mason Plumlee,Richaun Holmes,,,,,,,Mason Plumlee,,LaMelo Ball,,,,jump ball,,,,,,Jump Ball Holmes vs. Plumlee: Tip to Ball
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,0,0,0:11:35,0:00:25,0:00:25,3,CHA,shot,,,,,,,,,,Miles Bridges,0,,,missed,,hook shot,8,-65,49,31.5,9.9,MISS Bridges 8' Hook Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,0,0,0:11:32,0:00:28,0:00:03,4,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:1)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,0,2,0:11:31,0:00:29,0:00:01,5,SAC,shot,De'Aaron Fox,,,,,,,,,Tyrese Haliburton,2,,,made,,dunk,1,0,10,25.0,88.0,Haliburton 1' Running Dunk (2 PTS) (Fox 1 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,0,2,0:11:19,0:00:41,0:00:12,6,CHA,shot,,,,,,,,,,LaMelo Ball,0,,,missed,,3pt jump shot,24,234,18,1.5999999999999979,6.8,MISS Ball 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,0,2,0:11:16,0:00:44,0:00:03,7,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound offensive,,,,,,Plumlee REBOUND (Off:1 Def:0)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,3,2,0:11:11,0:00:49,0:00:05,8,CHA,shot,Mason Plumlee,,,,,,,,,LaMelo Ball,3,,,made,,3pt jump shot,25,221,113,2.8999999999999986,16.3,Ball 25' 3PT Jump Shot (3 PTS) (Plumlee 1 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,3,5,0:10:51,0:01:09,0:00:20,9,SAC,shot,Maurice Harkless,,,,,,,,,Harrison Barnes,3,,,made,,3pt jump shot,23,228,36,47.8,85.4,Barnes 3PT Jump Shot (3 PTS) (Harkless 1 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,6,5,0:10:44,0:01:16,0:00:07,10,CHA,shot,LaMelo Ball,,,,,,,,,Gordon Hayward,3,,,made,,3pt running jump shot,25,233,96,1.6999999999999993,14.600000000000001,Hayward 25' 3PT Running Jump Shot (3 PTS) (Ball 1 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,6,5,0:10:33,0:01:27,0:00:11,11,SAC,shot,,,,,,,,,,Maurice Harkless,0,,,missed,,3pt jump shot,25,-20,253,23.0,63.7,MISS Harkless 25' 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,6,5,0:10:28,0:01:32,0:00:05,12,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:1 Def:1)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,5,0:10:15,0:01:45,0:00:13,13,CHA,shot,Miles Bridges,,,,,,,,,Gordon Hayward,2,,,made,,hook shot,5,22,48,22.8,9.8,Hayward 5' Hook Shot (5 PTS) (Bridges 1 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,7,0:10:06,0:01:54,0:00:09,14,SAC,shot,Harrison Barnes,,,,,,,,,Richaun Holmes,2,,,made,,floating jump shot,9,4,89,25.4,80.1,Holmes 9' Floating Jump Shot (2 PTS) (Barnes 1 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,7,0:09:46,0:02:14,0:00:20,15,CHA,shot,,,,,,,,,,Gordon Hayward,0,,,missed,,3pt jump shot,26,82,241,16.799999999999997,29.1,MISS Hayward 25' 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,7,0:09:43,0:02:17,0:00:03,16,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:2)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,10,0:09:33,0:02:27,0:00:10,17,SAC,shot,De'Aaron Fox,,,,,,,,,Maurice Harkless,3,,,made,,3pt jump shot,23,-234,3,1.5999999999999979,88.7,Harkless 3PT Jump Shot (3 PTS) (Fox 2 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,10,0:09:17,0:02:43,0:00:16,18,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,driving layup,3,-25,7,27.5,5.7,MISS Rozier 3' Driving Layup
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,10,0:09:15,0:02:45,0:00:02,19,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:3)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,13,0:09:05,0:02:55,0:00:10,20,SAC,shot,De'Aaron Fox,,,,,,,,,Maurice Harkless,3,,,made,,3pt jump shot,24,-235,8,1.5,88.2,Harkless 24' 3PT Jump Shot (6 PTS) (Fox 3 AST)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,13,0:08:53,0:03:07,0:00:12,21,CHA,shot,,,,,,,,,,Gordon Hayward,0,,,missed,,3pt jump shot,26,165,194,8.5,24.400000000000002,MISS Hayward 25' 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,13,0:08:49,0:03:11,0:00:04,22,SAC,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:1)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,13,0:08:36,0:03:24,0:00:13,23,CHA,foul,,,,,,,,Maurice Harkless,,Gordon Hayward,,,s.foul,,,shooting,,,,,,Hayward S.FOUL (P1.T1) (R.Mott)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,13,0:08:36,0:03:24,0:00:00,24,SAC,free throw,,,,,,,1,,2,Maurice Harkless,0,,,missed,,free throw 1/2,,,,,,MISS Harkless Free Throw 1 of 2
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,13,0:08:36,0:03:24,0:00:00,25,SAC,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KINGS Rebound
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,8,14,0:08:36,0:03:24,0:00:00,26,SAC,free throw,,,,,,,2,,2,Maurice Harkless,1,,,made,,free throw 2/2,,,,,,Harkless Free Throw 2 of 2 (7 PTS)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:08:17,0:03:43,0:00:19,27,CHA,shot,,,,,,,,,,Terry Rozier,2,,,made,,layup,2,20,5,23.0,5.5,Rozier 2' Layup (2 PTS)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:08:08,0:03:52,0:00:09,28,SAC,turnover,,,,,,,,,,Richaun Holmes,,,bad pass,,,bad pass,,,,,,Holmes Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:07:53,0:04:07,0:00:15,29,CHA,shot,,,,,,,,,,Gordon Hayward,0,,,missed,,floating jump shot,8,-2,85,25.2,13.5,MISS Hayward 9' Floating Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:07:50,0:04:10,0:00:03,30,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:4)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:07:45,0:04:15,0:00:05,31,SAC,shot,,,,,,,,,,De'Aaron Fox,0,,,missed,,driving layup,2,5,22,25.5,86.8,MISS Fox 2' Driving Layup
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:07:42,0:04:18,0:00:03,32,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound offensive,,,,,,Holmes REBOUND (Off:1 Def:4)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:07:38,0:04:22,0:00:04,33,SAC,shot,,,,,,,,,,De'Aaron Fox,0,,,missed,,3pt jump shot,23,230,14,48.0,87.6,MISS Fox 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,14,0:07:28,0:04:32,0:00:10,34,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound offensive,,,,,,Holmes REBOUND (Off:2 Def:4)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:28,0:04:32,0:00:00,35,SAC,shot,,,,,,,,,,Richaun Holmes,2,,,made,,dunk,0,0,0,25.0,89.0,Holmes Tip Dunk Shot (4 PTS)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:23,0:04:37,0:00:05,36,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,3pt jump shot,24,-235,27,48.5,7.7,MISS Rozier 24' 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:19,0:04:41,0:00:04,37,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:2 Def:5)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:11,0:04:49,0:00:08,38,SAC,turnover,,,,,,,,,,Tyrese Haliburton,,,bad pass,,Miles Bridges,bad pass,,,,,,Haliburton Bad Pass Turnover (P1.T2): Bridges STEAL (1 STL)
22100132,2021-22 Regular Season,2021-11-05,Mason Plumlee,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:10,0:04:50,0:00:01,39,SAC,foul,,,,,,,,Miles Bridges,,De'Aaron Fox,,,p.foul,,,personal,,,,,,Fox P.FOUL (P1.T1) (R.Mott)
22100132,2021-22 Regular Season,2021-11-05,Nick Richards,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:10,0:04:50,0:00:00,40,CHA,substitution,,,,,Nick Richards,Mason Plumlee,,,,Mason Plumlee,,,,,,sub,,,,,,SUB: Richards FOR Plumlee
22100132,2021-22 Regular Season,2021-11-05,Nick Richards,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:10,0:04:50,0:00:00,41,,,,,,,,,,,,,,,,,,unknown,,,,,,
22100132,2021-22 Regular Season,2021-11-05,Nick Richards,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:05,0:04:55,0:00:05,42,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,3pt jump shot,26,186,180,6.399999999999999,23.0,MISS Rozier 26' 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Nick Richards,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,16,0:07:01,0:04:59,0:00:04,43,SAC,rebound,,,,,,,,,,Maurice Harkless,,,,,,rebound defensive,,,,,,Harkless REBOUND (Off:0 Def:1)
22100132,2021-22 Regular Season,2021-11-05,Nick Richards,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,19,0:06:49,0:05:11,0:00:12,44,SAC,shot,De'Aaron Fox,,,,,,,,,Tyrese Haliburton,3,,,made,,3pt jump shot,30,190,236,44.0,65.4,Haliburton 30' 3PT Jump Shot (5 PTS) (Fox 4 AST)
22100132,2021-22 Regular Season,2021-11-05,Nick Richards,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,19,0:06:35,0:05:25,0:00:14,45,CHA,shot,,,,,,,,,,LaMelo Ball,0,,,missed,,3pt jump shot,32,-183,264,43.3,31.400000000000002,MISS Ball 32' 3PT Jump Shot
22100132,2021-22 Regular Season,2021-11-05,Nick Richards,LaMelo Ball,Miles Bridges,Gordon Hayward,Terry Rozier,Richaun Holmes,Tyrese Haliburton,De'Aaron Fox,Harrison Barnes,Maurice Harkless,1,10,19,0:06:31,0:05:29,0:00:04,46,SAC,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:2)
