game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,,Steven Adams,,,,,,,,,,,,,jump ball,,,,,, 
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,0,2,0:11:39,0:00:21,0:00:21,3,MEM,shot,Ja Morant,,,,,,,,,Desmond Bane,2,,,made,,jump shot,13,-48,124,20.2,76.6,Bane 13' Pullup Jump Shot (2 PTS) (Morant 1 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,3,2,0:11:25,0:00:35,0:00:14,4,CHA,shot,LaMelo Ball,,,,,,,,,Gordon Hayward,3,,,made,,3pt jump shot,26,-124,230,37.4,28.0,Hayward 26' 3PT Jump Shot (3 PTS) (Ball 1 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,3,4,0:11:07,0:00:53,0:00:18,5,MEM,shot,Steven Adams,,,,,,,,,Jaren Jackson Jr.,2,,,made,,driving floating jump shot,8,2,78,25.2,81.2,Jackson Jr. 8' Driving Floating Jump Shot (2 PTS) (Adams 1 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,3,4,0:10:50,0:01:10,0:00:17,6,CHA,shot,,,,,,,,,,Gordon Hayward,0,,,missed,,turnaround fadeaway,7,33,59,21.7,10.9,MISS Hayward 7' Turnaround Fadeaway Shot
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,3,4,0:10:47,0:01:13,0:00:03,7,MEM,rebound,,,,,,,,,,Ja Morant,,,,,,rebound defensive,,,,,,Morant REBOUND (Off:0 Def:1)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,3,6,0:10:40,0:01:20,0:00:07,8,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,driving floating jump shot,8,59,56,30.9,83.4,Morant 8' Driving Floating Jump Shot (2 PTS)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,3,6,0:10:32,0:01:28,0:00:08,9,CHA,shot,,,,,,,,,,Miles Bridges,0,,,missed,,driving floating jump shot,5,-22,48,27.2,9.8,MISS Bridges 5' Driving Floating Jump Shot
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,3,6,0:10:30,0:01:30,0:00:02,10,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound offensive,,,,,,Bridges REBOUND (Off:1 Def:0)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,6,0:10:27,0:01:33,0:00:03,11,CHA,shot,Terry Rozier,,,,,,,,,LaMelo Ball,3,,,made,,3pt jump shot,23,-233,-17,48.3,3.3,Ball 3PT Jump Shot (3 PTS) (Rozier 1 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,6,0:10:10,0:01:50,0:00:17,12,MEM,shot,,,,,,,,,,Desmond Bane,0,,,missed,,jump shot,13,-36,124,21.4,76.6,MISS Bane 13' Turnaround Jump Shot
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,6,0:10:08,0:01:52,0:00:02,13,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,8,0:10:02,0:01:58,0:00:06,14,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,driving floating jump shot,10,48,82,29.8,80.8,Morant 10' Driving Floating Jump Shot (4 PTS)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,8,0:09:51,0:02:09,0:00:11,15,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,driving layup,3,5,34,24.5,8.4,MISS Rozier 3' Driving Layup
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,8,0:09:49,0:02:11,0:00:02,16,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:1 Def:1)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,10,0:09:44,0:02:16,0:00:05,17,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,driving floating jump shot,7,-5,72,24.5,81.8,Morant 7' Driving Floating Jump Shot (6 PTS)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,10,0:09:32,0:02:28,0:00:12,18,MEM,technical foul,,,,,,,,,,Steven Adams,,,,,,defensive 3 seconds,,,,,,GRIZZLIES T.Foul (Def. 3 Sec Adams ) (T.Brothers)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,10,0:09:32,0:02:28,0:00:00,19,CHA,free throw,,,,,,,1,,1,LaMelo Ball,0,,,missed,,free throw technical,,,,,,MISS Ball Free Throw Technical
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,10,0:09:32,0:02:28,0:00:00,20,CHA,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Hornets Rebound
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,10,0:09:26,0:02:34,0:00:06,21,CHA,shot,,,,,,,,,,LaMelo Ball,0,,,missed,,3pt jump shot,27,-142,230,39.2,28.0,MISS Ball 27' 3PT Jump Shot
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,10,0:09:23,0:02:37,0:00:03,22,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:1 Def:2)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,6,13,0:09:08,0:02:52,0:00:15,23,MEM,shot,,,,,,,,,,Ja Morant,3,,,made,,3pt pullup jump shot,26,87,247,33.7,64.3,Morant 26' 3PT Pullup Jump Shot (9 PTS)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,9,13,0:08:53,0:03:07,0:00:15,24,CHA,shot,Mason Plumlee,,,,,,,,,Miles Bridges,3,,,made,,3pt step back jump shot,26,100,237,15.0,28.700000000000003,Bridges 26' 3PT Step Back Jump Shot (3 PTS) (Plumlee 1 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,9,16,0:08:40,0:03:20,0:00:13,25,MEM,shot,Ja Morant,,,,,,,,,Jaren Jackson Jr.,3,,,made,,3pt jump shot,24,-235,-22,1.5,91.2,Jackson Jr. 24' 3PT Jump Shot (5 PTS) (Morant 2 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,9,16,0:08:26,0:03:34,0:00:14,26,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,cutting layup shot,1,-5,10,25.5,6.0,MISS Rozier 1' Cutting Layup Shot
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,9,16,0:08:23,0:03:37,0:00:03,27,MEM,rebound,,,,,,,,,,De'Anthony Melton,,,,,,rebound defensive,,,,,,Melton REBOUND (Off:0 Def:1)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,9,16,0:08:20,0:03:40,0:00:03,28,MEM,shot,,,,,,,,,,De'Anthony Melton,0,,,missed,,3pt running pull-up jump shot,26,56,252,30.6,63.8,MISS Melton 26' 3PT Running Pull-Up Jump Shot
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,9,16,0:08:17,0:03:43,0:00:03,29,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:1 Def:1)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,12,16,0:08:05,0:03:55,0:00:12,30,CHA,shot,Gordon Hayward,,,,,,,,,Terry Rozier,3,,,made,,3pt step back jump shot,25,143,204,10.7,25.400000000000002,Rozier 25' 3PT Step Back Jump Shot (3 PTS) (Hayward 1 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,12,18,0:07:45,0:04:15,0:00:20,31,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,driving floating jump shot,8,36,71,28.6,81.9,Morant 8' Driving Floating Jump Shot (11 PTS)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,14,18,0:07:33,0:04:27,0:00:12,32,CHA,shot,Mason Plumlee,,,,,,,,,Gordon Hayward,2,,,made,,cutting finger roll layup shot,0,-2,2,25.2,5.2,Hayward Cutting Finger Roll Layup Shot (5 PTS) (Plumlee 2 AST)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,14,20,0:07:16,0:04:44,0:00:17,33,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,floating jump shot,10,-49,83,20.1,80.7,Morant 10' Floating Jump Shot (13 PTS)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Jaren Jackson Jr.,De'Anthony Melton,1,14,20,0:07:15,0:04:45,0:00:01,34,CHA,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,Hornets Timeout: Regular (Reg.1 Short 0)
22100164,2021-22 Regular Season,2021-11-10,Gordon Hayward,LaMelo Ball,Miles Bridges,Terry Rozier,Mason Plumlee,Steven Adams,Desmond Bane,Ja Morant,Kyle Anderson,De'Anthony Melton,1,14,20,0:07:15,0:04:45,0:00:00,35,MEM,substitution,,,,,Kyle Anderson,Jaren Jackson Jr.,,,,Jaren Jackson Jr.,,,,,,sub,,,,,,SUB: Anderson FOR Jackson Jr.
