game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,0,0,0:12:00,0:00:00,0:00:00,2,NOP,jump ball,,Derrick Favors,Jonas Valanciunas,,,,,,,Derrick Favors,,Josh Giddey,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Favors: Tip to Giddey
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,3,0,0:11:38,0:00:22,0:00:22,3,OKC,shot,Josh Giddey,,,,,,,,,Darius Bazley,3,,,made,,3pt jump shot,23,228,30,2.1999999999999993,8.0,Bazley 3PT Jump Shot (3 PTS) (Giddey 1 AST)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,3,0,0:11:23,0:00:37,0:00:15,4,NOP,shot,,,,,,,,,,Nickeil Alexander-Walker,0,,,missed,,3pt jump shot,28,-74,265,17.6,62.5,MISS Alexander-Walker 28' 3PT Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,3,0,0:11:20,0:00:40,0:00:03,5,OKC,rebound,,,,,,,,,,Luguentz Dort,,,,,,rebound defensive,,,,,,Dort REBOUND (Off:0 Def:1)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,3,0,0:11:02,0:00:58,0:00:18,6,OKC,turnover,,,,,,,,,,Darius Bazley,,,,,Josh Hart,lost ball,,,,,,Hart STEAL (1 STL): Bazley Lost Ball Turnover (P1.T1)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,3,0,0:10:56,0:01:04,0:00:06,7,NOP,shot,,,,,,,,,,Jonas Valanciunas,0,,,missed,,3pt jump shot,26,-39,259,21.1,63.099999999999994,MISS Valanciunas 26' 3PT Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,3,0,0:10:52,0:01:08,0:00:04,8,OKC,rebound,,,,,,,,,,Darius Bazley,,,,,,rebound defensive,,,,,,Bazley REBOUND (Off:0 Def:1)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,5,0,0:10:43,0:01:17,0:00:09,9,OKC,shot,Shai Gilgeous-Alexander,,,,,,,,,Derrick Favors,2,,,made,,jump shot,12,-47,116,29.7,16.6,Favors 13' Pullup Jump Shot (2 PTS) (Gilgeous-Alexander 1 AST)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,5,0,0:10:31,0:01:29,0:00:12,10,NOP,shot,,,,,,,,,,Nickeil Alexander-Walker,0,,,missed,,floating jump shot,10,-49,86,20.1,80.4,MISS Alexander-Walker 10' Floating Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,5,0,0:10:29,0:01:31,0:00:02,11,OKC,rebound,,,,,,,,,,Darius Bazley,,,,,,rebound defensive,,,,,,Bazley REBOUND (Off:0 Def:2)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,5,0,0:10:18,0:01:42,0:00:11,12,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,3pt jump shot,25,-170,180,42.0,23.0,MISS Giddey 25' 3PT Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,5,0,0:10:15,0:01:45,0:00:03,13,NOP,rebound,,,,,,,,,,Jonas Valanciunas,,,,,,rebound defensive,,,,,,Valanciunas REBOUND (Off:0 Def:1)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,5,0,0:10:05,0:01:55,0:00:10,14,NOP,shot,,,,,,,,,,Josh Hart,0,,,missed,,floating jump shot,5,-7,48,24.3,84.2,MISS Hart 5' Floating Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,5,0,0:10:05,0:01:55,0:00:00,15,OKC,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Thunder Rebound
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,8,0,0:09:51,0:02:09,0:00:14,16,OKC,shot,Derrick Favors,,,,,,,,,Luguentz Dort,3,,,made,,3pt pullup jump shot,26,-138,219,38.8,26.900000000000002,Dort 26' 3PT Pullup Jump Shot (3 PTS) (Favors 1 AST)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,8,3,0:09:37,0:02:23,0:00:14,17,NOP,shot,Devonte' Graham,,,,,,,,,Jonas Valanciunas,3,,,made,,3pt jump shot,26,75,254,32.5,63.599999999999994,Valanciunas 26' 3PT Jump Shot (3 PTS) (Graham 1 AST)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,8,3,0:09:25,0:02:35,0:00:12,18,NOP,foul,,,,,,,,Darius Bazley,,Josh Hart,,,s.foul,,,shooting,,,,,,Hart S.FOUL (P1.T1) (J.Schroeder)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,9,3,0:09:25,0:02:35,0:00:00,19,OKC,free throw,,,,,,,1,,2,Darius Bazley,1,,,made,,free throw 1/2,,,,,,Bazley Free Throw 1 of 2 (4 PTS)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:09:25,0:02:35,0:00:00,20,OKC,free throw,,,,,,,2,,2,Darius Bazley,1,,,made,,free throw 2/2,,,,,,Bazley Free Throw 2 of 2 (5 PTS)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:09:17,0:02:43,0:00:08,21,NOP,shot,,,,,,,,,,Josh Hart,0,,,missed,,3pt jump shot,28,-99,258,15.1,63.2,MISS Hart 28' 3PT Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:09:12,0:02:48,0:00:05,22,OKC,rebound,,,,,,,,,,Josh Giddey,,,,,,rebound defensive,,,,,,Giddey REBOUND (Off:0 Def:1)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:09:10,0:02:50,0:00:02,23,OKC,turnover,,,,,,,,,,Luguentz Dort,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Dort Out of Bounds Lost Ball Turnover (P1.T2)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:58,0:03:02,0:00:12,24,NOP,shot,,,,,,,,,,Nickeil Alexander-Walker,0,,,missed,,3pt jump shot,26,190,180,44.0,71.0,MISS Alexander-Walker 26' 3PT Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:56,0:03:04,0:00:02,25,OKC,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Thunder Rebound
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:39,0:03:21,0:00:17,26,OKC,shot,,,,,,,,,,Derrick Favors,0,,,missed,,3pt jump shot,22,223,15,2.6999999999999993,6.5,MISS Favors 3PT Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:36,0:03:24,0:00:03,27,NOP,rebound,,,,,,,,,,Nickeil Alexander-Walker,,,,,,rebound defensive,,,,,,Alexander-Walker REBOUND (Off:0 Def:1)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:28,0:03:32,0:00:08,28,NOP,shot,,,,,,,,,,Jonas Valanciunas,0,,,missed,,jump shot,6,-27,50,22.3,84.0,MISS Valanciunas 6' Turnaround Jump Shot
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:26,0:03:34,0:00:02,29,OKC,rebound,,,,,,,,,,Luguentz Dort,,,,,,rebound defensive,,,,,,Dort REBOUND (Off:0 Def:2)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:20,0:03:40,0:00:06,30,NOP,foul,,,,,,,,Derrick Favors,,Jonas Valanciunas,,,s.foul,,,shooting,,,,,,Valanciunas S.FOUL (P1.T2) (S.Foster)
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:20,0:03:40,0:00:00,31,OKC,free throw,,,,,,,1,,2,Derrick Favors,0,,,missed,,free throw 1/2,,,,,,MISS Favors Free Throw 1 of 2
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,10,3,0:08:20,0:03:40,0:00:00,32,OKC,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Thunder Rebound
22100165,2021-22 Regular Season,2021-11-10,Derrick Favors,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,Jonas Valanciunas,Nickeil Alexander-Walker,Josh Hart,Devonte' Graham,Garrett Temple,1,11,3,0:08:20,0:03:40,0:00:00,33,OKC,free throw,,,,,,,2,,2,Derrick Favors,1,,,made,,free throw 2/2,,,,,,Favors Free Throw 2 of 2 (3 PTS)
