game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,0,0,0:12:00,0:00:00,0:00:00,2,GSW,jump ball,,Tony Bradley,Kevon Looney,,,,,,,Tony Bradley,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Looney vs. Bradley: Tip to Ball
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,0,0:11:35,0:00:25,0:00:25,3,CHI,shot,DeMar DeRozan,,,,,,,,,Javonte Green,2,,,made,,driving layup,2,23,10,22.7,6.0,Green 3' Driving Layup (2 PTS) (DeRozan 1 AST)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,2,0:11:17,0:00:43,0:00:18,4,GSW,shot,Draymond Green,,,,,,,,,Kevon Looney,2,,,made,,cutting layup shot,3,27,-4,27.7,89.4,Looney 3' Cutting Layup Shot (2 PTS) (Green 1 AST)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,2,0:11:01,0:00:59,0:00:16,5,CHI,shot,,,,,,,,,,DeMar DeRozan,0,,,missed,,jump shot,19,-115,154,36.5,20.4,MISS DeRozan 19' Pullup Jump Shot
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,2,0:10:59,0:01:01,0:00:02,6,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,5,0:10:53,0:01:07,0:00:06,7,GSW,shot,,,,,,,,,,Stephen Curry,3,,,made,,3pt jump shot,27,4,267,25.4,62.3,Curry 27' 3PT Jump Shot (3 PTS)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,5,0:10:35,0:01:25,0:00:18,8,CHI,turnover,,,,,,,,,,Tony Bradley,,,bad pass,,,bad pass,,,,,,Bradley Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,5,0:10:23,0:01:37,0:00:12,9,GSW,shot,,,,,,,,,,Stephen Curry,0,,,missed,,3pt pullup jump shot,26,-185,177,6.5,71.3,MISS Curry 26' 3PT Pullup Jump Shot
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,2,5,0:10:21,0:01:39,0:00:02,10,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound defensive,,,,,,LaVine REBOUND (Off:0 Def:1)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,4,5,0:10:12,0:01:48,0:00:09,11,CHI,shot,,,,,,,,,,Zach LaVine,2,,,made,,jump shot,19,-12,189,26.2,23.900000000000002,LaVine 19' Pullup Jump Shot (2 PTS)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,4,5,0:09:51,0:02:09,0:00:21,12,GSW,turnover,,,,,,,,,,Stephen Curry,,,traveling,,,traveling,,,,,,Curry Traveling Turnover (P1.T1)
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,4,5,0:09:38,0:02:22,0:00:13,13,CHI,shot,,,,Stephen Curry,,,,,,Javonte Green,0,,,missed,,jump shot,10,6,101,24.4,15.100000000000001,Curry BLOCK (1 BLK): MISS Green 10' Pullup Jump Shot
22100183,2021-22 Regular Season,2021-11-12,Tony Bradley,Lonzo Ball,Javonte Green,DeMar DeRozan,Zach LaVine,Kevon Looney,Draymond Green,Stephen Curry,Jordan Poole,Andrew Wiggins,1,4,5,0:09:36,0:02:24,0:00:02,14,GSW,rebound,,,,,,,,,,Kevon Looney,,,,,,rebound defensive,,,,,,Looney REBOUND (Off:0 Def:1)
