game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,0,0,0:12:00,0:00:00,0:00:00,2,LAL,jump ball,,Karl-Anthony Towns,Anthony Davis,,,,,,,Anthony Davis,,Wayne Ellington,,,,jump ball,,,,,,Jump Ball Davis vs. Towns: Tip to Ellington
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,0,0,0:11:40,0:00:20,0:00:20,3,LAL,turnover,,,,,,,,,,Anthony Davis,,,bad pass,,Karl-Anthony Towns,bad pass,,,,,,Davis Bad Pass Turnover (P1.T1): Towns STEAL (1 STL)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,0,0,0:11:34,0:00:26,0:00:06,4,MIN,shot,,,,,,,,,,Anthony Edwards,0,,,missed,,3pt jump shot,26,-208,147,45.8,19.700000000000003,MISS Edwards 25' 3PT Jump Shot
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,0,0,0:11:29,0:00:31,0:00:05,5,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound offensive,,,,,,Towns REBOUND (Off:1 Def:0)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,0,0,0:11:27,0:00:33,0:00:02,6,LAL,foul,,,,,,,,D'Angelo Russell,,Kent Bazemore,,,s.foul,,,shooting,,,,,,Bazemore S.FOUL (P1.T1) (D.Richardson)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:11:27,0:00:33,0:00:00,7,MIN,free throw,,,,,,,1,,2,D'Angelo Russell,1,,,made,,free throw 1/2,,,,,,Russell Free Throw 1 of 2 (1 PTS)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:11:27,0:00:33,0:00:00,8,MIN,free throw,,,,,,,2,,2,D'Angelo Russell,0,,,missed,,free throw 2/2,,,,,,MISS Russell Free Throw 2 of 2
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:11:24,0:00:36,0:00:03,9,LAL,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:11:17,0:00:43,0:00:07,10,LAL,shot,,,,,,,,,,Kent Bazemore,0,,,missed,,3pt jump shot,27,69,257,31.9,63.3,MISS Bazemore 27' 3PT Jump Shot
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:11:13,0:00:47,0:00:04,11,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:1 Def:1)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:11:12,0:00:48,0:00:01,12,MIN,turnover,,,,,,,,,,Patrick Beverley,,,bad pass,,,bad pass,,,,,,Beverley Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:10:59,0:01:01,0:00:13,13,MIN,foul,,,,,,,,Anthony Davis,,Karl-Anthony Towns,,,p.foul,,,personal,,,,,,Towns P.FOUL (P1.T1) (D.Richardson)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:10:56,0:01:04,0:00:03,14,LAL,shot,,,,,,,,,,Wayne Ellington,0,,,missed,,3pt jump shot,26,-89,245,16.1,64.5,MISS Ellington 26' 3PT Jump Shot
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,1,0,0:10:53,0:01:07,0:00:03,15,MIN,rebound,,,,,,,,,,Jarred Vanderbilt,,,,,,rebound defensive,,,,,,Vanderbilt REBOUND (Off:0 Def:1)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,3,0,0:10:40,0:01:20,0:00:13,16,MIN,shot,D'Angelo Russell,,,,,,,,,Karl-Anthony Towns,2,,,made,,cutting dunk shot,1,2,-9,24.8,4.1,Towns 1' Cutting Dunk Shot (2 PTS) (Russell 1 AST)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,3,0,0:10:19,0:01:41,0:00:21,17,MIN,foul,,,,,,,,Anthony Davis,,Jarred Vanderbilt,,,p.foul,,,personal,,,,,,Vanderbilt P.FOUL (P1.T2) (B.Nansel)
22100184,2021-22 Regular Season,2021-11-12,Karl-Anthony Towns,Anthony Edwards,D'Angelo Russell,Patrick Beverley,Jarred Vanderbilt,Anthony Davis,Wayne Ellington,Kent Bazemore,Russell Westbrook,Avery Bradley,1,3,2,0:10:10,0:01:50,0:00:09,18,LAL,shot,,,,,,,,,,Russell Westbrook,2,,,made,,driving layup,4,-28,35,22.2,85.5,Westbrook 4' Driving Layup (2 PTS)
