game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:12:00,0:00:00,0:00:00,2,CLE,jump ball,,Robert Williams III,Jarrett Allen,,,,,,,Jarrett Allen,,Darius Garland,,,,jump ball,,,,,,Jump Ball Allen vs. Williams III: Tip to Garland
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:11:45,0:00:15,0:00:15,3,CLE,shot,,,,,,,,,,Isaac Okoro,0,,,missed,,driving floating jump shot,8,76,36,32.6,85.4,MISS Okoro 8' Driving Floating Jump Shot
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:11:43,0:00:17,0:00:02,4,BOS,rebound,,,,,,,,,,Robert Williams III,,,,,,rebound defensive,,,,,,Williams III REBOUND (Off:0 Def:1)
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:11:23,0:00:37,0:00:20,5,BOS,shot,,,,,,,,,,Marcus Smart,0,,,missed,,3pt jump shot,26,94,248,15.6,29.8,MISS Smart 27' 3PT Jump Shot
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:11:20,0:00:40,0:00:03,6,CLE,rebound,,,,,,,,,,Isaac Okoro,,,,,,rebound defensive,,,,,,Okoro REBOUND (Off:0 Def:1)
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:11:08,0:00:52,0:00:12,7,CLE,shot,,,,,,,,,,Evan Mobley,0,,,missed,,3pt jump shot,25,199,157,44.900000000000006,73.3,MISS Mobley 25' 3PT Jump Shot
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:11:06,0:00:54,0:00:02,8,BOS,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Celtics Rebound
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:10:48,0:01:12,0:00:18,9,BOS,shot,,,,,,,,,,Dennis Schroder,0,,,missed,,3pt jump shot,24,-208,113,45.8,16.3,MISS Schroder 24' 3PT Jump Shot
22100190,2021-22 Regular Season,2021-11-13,Robert Williams III,Marcus Smart,Dennis Schroder,Grant Williams,Jayson Tatum,Jarrett Allen,Darius Garland,Isaac Okoro,Evan Mobley,Dean Wade,1,0,0,0:10:41,0:01:19,0:00:07,10,CLE,rebound,,,,,,,,,,Isaac Okoro,,,,,,rebound defensive,,,,,,Okoro REBOUND (Off:0 Def:2)
