game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,0,0,0:12:00,0:00:00,0:00:00,2,LAL,jump ball,,Drew Eubanks,Anthony Davis,,,,,,,Anthony Davis,,Carmelo Anthony,,,,jump ball,,,,,,Jump Ball Davis vs. Eubanks: Tip to Anthony
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,0,2,0:11:36,0:00:24,0:00:24,3,LAL,shot,,,,,,,,,,Anthony Davis,2,,,made,,fadeaway jumper,12,-116,-12,13.399999999999999,90.2,Davis 12' Fadeaway Jumper (2 PTS)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,2,0:11:20,0:00:40,0:00:16,4,SAS,shot,Dejounte Murray,,,,,,,,,Keldon Johnson,2,,,made,,jump shot,21,-163,128,41.3,17.8,Johnson 21' Pullup Jump Shot (2 PTS) (Murray 1 AST)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,2,0:10:55,0:01:05,0:00:25,5,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,driving layup,3,-10,32,24.0,85.8,MISS Davis 3' Driving Layup
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,2,0:10:50,0:01:10,0:00:05,6,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound offensive,,,,,,Davis REBOUND (Off:1 Def:0)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,4,0:10:50,0:01:10,0:00:00,7,LAL,shot,,,,,,,,,,Anthony Davis,2,,,made,,dunk,0,0,0,25.0,89.0,Davis Tip Dunk Shot (4 PTS)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,4,0:10:36,0:01:24,0:00:14,8,SAS,shot,,,,,,,,,,Dejounte Murray,0,,,missed,,jump shot,14,-31,131,28.1,18.1,MISS Murray 13' Pullup Jump Shot
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,4,0:10:31,0:01:29,0:00:05,9,LAL,rebound,,,,,,,,,,Carmelo Anthony,,,,,,rebound defensive,,,,,,Anthony REBOUND (Off:0 Def:1)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,4,0:10:24,0:01:36,0:00:07,10,LAL,shot,,,,,,,,,,Avery Bradley,0,,,missed,,hook shot,13,16,131,26.6,75.9,MISS Bradley 13' Driving Hook Shot
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,2,4,0:10:21,0:01:39,0:00:03,11,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,4,0:10:14,0:01:46,0:00:07,12,SAS,shot,,,,,,,,,,Dejounte Murray,2,,,made,,jump shot,11,-45,105,29.5,15.5,Murray 11' Pullup Jump Shot (2 PTS)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,4,0:09:54,0:02:06,0:00:20,13,LAL,shot,,,,,,,,,,Avery Bradley,0,,,missed,,3pt jump shot,25,-237,66,1.2999999999999972,82.4,MISS Bradley 25' 3PT Jump Shot
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,4,0:09:52,0:02:08,0:00:02,14,SAS,rebound,,,,,,,,,,Keldon Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,4,0:09:47,0:02:13,0:00:05,15,SAS,shot,,,,,,,,,,Drew Eubanks,0,,,missed,,jump shot,11,113,8,13.7,5.8,MISS Eubanks 11' Jump Shot
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,4,0:09:43,0:02:17,0:00:04,16,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:1 Def:1)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,4,0:09:25,0:02:35,0:00:18,17,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,floating jump shot,4,-6,37,24.4,85.3,MISS Davis 4' Floating Jump Shot
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,4,0:09:20,0:02:40,0:00:05,18,LAL,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound offensive,,,,,,Davis REBOUND (Off:2 Def:1)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,4,6,0:09:20,0:02:40,0:00:00,19,LAL,shot,,,,,,,,,,Anthony Davis,2,,,made,,dunk,0,0,0,25.0,89.0,Davis Tip Dunk Shot (6 PTS)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,6,6,0:09:10,0:02:50,0:00:10,20,SAS,shot,,,,,,,,,,Derrick White,2,,,made,,jump shot,12,108,60,14.2,11.0,White 12' Pullup Jump Shot (2 PTS)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,6,8,0:08:59,0:03:01,0:00:11,21,LAL,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,jump shot,19,-135,136,11.5,75.4,Anthony 19' Pullup Jump Shot (2 PTS)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,8,8,0:08:44,0:03:16,0:00:15,22,SAS,shot,,,,,,,,,,Dejounte Murray,2,,,made,,driving layup,1,-7,11,25.7,6.1,Murray 1' Driving Layup (4 PTS)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,8,8,0:08:34,0:03:26,0:00:10,23,LAL,shot,,,,,,,,,,Russell Westbrook,0,,,missed,,hook shot,6,5,57,25.5,83.3,MISS Westbrook 6' Turnaround Hook Shot
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,8,8,0:08:32,0:03:28,0:00:02,24,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:2)
22100192,2021-22 Regular Season,2021-11-14,Drew Eubanks,Keldon Johnson,Dejounte Murray,Derrick White,Doug McDermott,Anthony Davis,Carmelo Anthony,Avery Bradley,Russell Westbrook,Talen Horton-Tucker,1,8,8,0:08:22,0:03:38,0:00:10,25,SAS,shot,,,,,,,,,,Doug McDermott,0,,,missed,,3pt pullup jump shot,26,-44,254,29.4,30.400000000000002,MISS McDermott 26' 3PT Pullup Jump Shot
