game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,0,0,0:12:00,0:00:00,0:00:00,2,CHA,jump ball,,Kevon Looney,Mason Plumlee,,,,,,,Kevon Looney,,Stephen Curry,,,,jump ball,,,,,,Jump Ball Plumlee vs. Looney: Tip to Curry
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,3,0,0:11:40,0:00:20,0:00:20,3,GSW,shot,Draymond Green,,,,,,,,,Jordan Poole,3,,,made,,3pt jump shot,24,234,62,1.5999999999999979,11.2,Poole 24' 3PT Jump Shot (3 PTS) (Green 1 AST)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,3,0,0:11:24,0:00:36,0:00:16,4,CHA,shot,,,,,,,,,,Miles Bridges,0,,,missed,,3pt jump shot,25,134,212,38.4,67.8,MISS Bridges 25' 3PT Jump Shot
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,3,0,0:11:21,0:00:39,0:00:03,5,GSW,rebound,,,,,,,,,,Kevon Looney,,,,,,rebound defensive,,,,,,Looney REBOUND (Off:0 Def:1)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,3,0,0:11:12,0:00:48,0:00:09,6,GSW,shot,,,,,,,,,,Kevon Looney,0,,,missed,,layup,1,-4,11,25.4,6.1,MISS Looney 1' Layup
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,3,0,0:11:08,0:00:52,0:00:04,7,GSW,rebound,,,,,,,,,,Kevon Looney,,,,,,rebound offensive,,,,,,Looney REBOUND (Off:1 Def:1)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,0,0:11:08,0:00:52,0:00:00,8,GSW,shot,,,,,,,,,,Kevon Looney,2,,,made,,layup,0,0,0,25.0,5.0,Looney Tip Layup Shot (2 PTS)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,3,0:10:50,0:01:10,0:00:18,9,CHA,shot,Gordon Hayward,,,,,,,,,LaMelo Ball,3,,,made,,3pt jump shot,24,234,20,48.400000000000006,87.0,Ball 3PT Jump Shot (3 PTS) (Hayward 1 AST)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,3,0:10:29,0:01:31,0:00:21,10,GSW,shot,,,,,,,,,,Andrew Wiggins,0,,,missed,,jump shot,15,-151,30,40.1,8.0,MISS Wiggins 15' Pullup Jump Shot
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,3,0:10:25,0:01:35,0:00:04,11,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,3,0:10:11,0:01:49,0:00:14,12,CHA,shot,,,,Draymond Green,,,,,,Miles Bridges,0,,,missed,,3pt jump shot,23,-233,-6,1.6999999999999993,89.6,MISS Bridges 3PT Jump Shot: Green BLOCK (1 BLK)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,3,0:10:06,0:01:54,0:00:05,13,GSW,rebound,,,,,,,,,,Jordan Poole,,,,,,rebound defensive,,,,,,Poole REBOUND (Off:0 Def:1)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,3,0:10:05,0:01:55,0:00:01,14,CHA,foul,,,,,,,,Andrew Wiggins,,Mason Plumlee,,,s.foul,,,shooting,,,,,,Plumlee S.FOUL (P1.T1) (M.Lindsay)
22100194,2021-22 Regular Season,2021-11-14,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,Mason Plumlee,Miles Bridges,LaMelo Ball,Gordon Hayward,Terry Rozier,1,5,3,0:10:05,0:01:55,0:00:00,15,GSW,free throw,,,,,,,1,,2,Andrew Wiggins,0,,,missed,,free throw 1/2,,,,,,MISS Wiggins Free Throw 1 of 2
