game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Blake Griffin,Jeremiah Robinson-Earl,,,,,,,Jeremiah Robinson-Earl,,Josh Giddey,,,,jump ball,,,,,,Jump Ball Robinson-Earl vs. Griffin: Tip to Giddey
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,0,0,0:11:41,0:00:19,0:00:19,3,OKC,shot,,,,,,,,,,Jeremiah Robinson-Earl,0,,,missed,,3pt jump shot,26,219,137,46.900000000000006,75.3,MISS Robinson-Earl 26' 3PT Jump Shot
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,0,0,0:11:38,0:00:22,0:00:03,4,OKC,rebound,,,,,,,,,,Darius Bazley,,,,,,rebound offensive,,,,,,Bazley REBOUND (Off:1 Def:0)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,0,0,0:11:31,0:00:29,0:00:07,5,OKC,shot,,,,,,,,,,Luguentz Dort,0,,,missed,,3pt jump shot,25,-191,156,5.899999999999999,73.4,MISS Dort 25' 3PT Jump Shot
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,0,0,0:11:29,0:00:31,0:00:02,6,BKN,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Nets Rebound
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:11:20,0:00:40,0:00:09,7,BKN,shot,Joe Harris,,,,,,,,,Kevin Durant,2,,,made,,jump shot,18,176,-6,7.399999999999999,4.4,Durant 18' Jump Shot (2 PTS) (Harris 1 AST)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:11:10,0:00:50,0:00:10,8,OKC,shot,,,,,,,,,,Darius Bazley,0,,,missed,,layup,1,-2,9,24.8,88.1,MISS Bazley 1' Layup
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:11:07,0:00:53,0:00:03,9,OKC,rebound,,,,,,,,,,Darius Bazley,,,,,,rebound offensive,,,,,,Bazley REBOUND (Off:2 Def:0)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:11:07,0:00:53,0:00:00,10,OKC,shot,,,,,,,,,,Darius Bazley,0,,,missed,,layup,0,0,0,25.0,89.0,MISS Bazley Tip Layup Shot
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:11:07,0:00:53,0:00:00,11,BKN,rebound,,,,,,,,,,James Harden,,,,,,rebound defensive,,,,,,Harden REBOUND (Off:0 Def:1)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:10:58,0:01:02,0:00:09,12,BKN,shot,,,,,,,,,,Kevin Durant,0,,,missed,,3pt pullup jump shot,25,-175,175,42.5,22.5,MISS Durant 25' 3PT Pullup Jump Shot
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:10:56,0:01:04,0:00:02,13,OKC,rebound,,,,,,,,,,Luguentz Dort,,,,,,rebound defensive,,,,,,Dort REBOUND (Off:0 Def:1)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:10:44,0:01:16,0:00:12,14,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,driving layup,1,-7,8,24.3,88.2,MISS Giddey 1' Driving Layup
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:10:43,0:01:17,0:00:01,15,BKN,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:1)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,0,0:10:27,0:01:33,0:00:16,16,BKN,turnover,,,,,,,,,,James Harden,,,bad pass,,Luguentz Dort,bad pass,,,,,,Dort STEAL (1 STL): Harden Bad Pass Turnover (P1.T1)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,2,2,0:10:22,0:01:38,0:00:05,17,OKC,shot,,,,,,,,,,Luguentz Dort,2,,,made,,dunk,1,7,-4,25.7,89.4,Dort 1' Running Dunk (2 PTS)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,4,2,0:10:09,0:01:51,0:00:13,18,BKN,shot,Blake Griffin,,,,,,,,,Kevin Durant,2,,,made,,driving dunk,1,10,6,24.0,5.6,Durant 1' Driving Dunk (4 PTS) (Griffin 1 AST)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,4,2,0:09:57,0:02:03,0:00:12,19,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,driving layup,5,48,11,29.8,87.9,MISS Giddey 5' Driving Layup
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,4,2,0:09:55,0:02:05,0:00:02,20,BKN,rebound,,,,,,,,,,Kevin Durant,,,,,,rebound defensive,,,,,,Durant REBOUND (Off:0 Def:2)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,7,2,0:09:51,0:02:09,0:00:04,21,BKN,shot,James Harden,,,,,,,,,Joe Harris,3,,,made,,3pt jump shot,23,-229,44,47.900000000000006,9.4,Harris 3PT Jump Shot (3 PTS) (Harden 1 AST)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,7,4,0:09:31,0:02:29,0:00:20,22,OKC,shot,,,,,,,,,,Shai Gilgeous-Alexander,2,,,made,,turnaround fadeaway,18,165,82,41.5,80.8,Gilgeous-Alexander 18' Turnaround Fadeaway (2 PTS)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,7,4,0:09:19,0:02:41,0:00:12,23,BKN,shot,,,,,,,,,,Blake Griffin,0,,,missed,,driving layup,6,48,38,20.2,8.8,MISS Griffin 6' Driving Layup
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,7,4,0:09:17,0:02:43,0:00:02,24,OKC,rebound,,,,,,,,,,Josh Giddey,,,,,,rebound defensive,,,,,,Giddey REBOUND (Off:0 Def:1)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,7,7,0:09:06,0:02:54,0:00:11,25,OKC,shot,,,,,,,,,,Shai Gilgeous-Alexander,3,,,made,,3pt step back jump shot,26,161,208,41.1,68.2,Gilgeous-Alexander 26' 3PT Step Back Jump Shot (5 PTS)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,10,7,0:08:40,0:03:20,0:00:26,26,BKN,shot,James Harden,,,,,,,,,Kevin Durant,3,,,made,,3pt jump shot,24,235,-10,1.5,4.0,Durant 24' 3PT Jump Shot (7 PTS) (Harden 2 AST)
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,10,7,0:08:15,0:03:45,0:00:25,27,OKC,shot,,,,,,,,,,Darius Bazley,0,,,missed,,driving layup,2,20,-11,27.0,90.1,MISS Bazley 2' Driving Layup
22100196,2021-22 Regular Season,2021-11-14,Blake Griffin,Kevin Durant,Joe Harris,James Harden,Bruce Brown,Jeremiah Robinson-Earl,Josh Giddey,Darius Bazley,Luguentz Dort,Shai Gilgeous-Alexander,1,10,7,0:08:13,0:03:47,0:00:02,28,BKN,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound defensive,,,,,,Griffin REBOUND (Off:0 Def:1)
