game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Andre Drummond,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Nurkic vs. Drummond: Tip to Lillard
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,2,0:11:38,0:00:22,0:00:22,3,POR,shot,,,,,,,,,,Jusuf Nurkic,2,,,made,,driving reverse layup,1,10,1,26.0,88.9,Nurkic 1' Driving Reverse Layup (2 PTS)
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,2,0:11:21,0:00:39,0:00:17,4,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,3pt jump shot,25,-219,116,46.900000000000006,16.6,MISS Harris 25' 3PT Jump Shot
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,2,0:11:18,0:00:42,0:00:03,5,POR,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:1)
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,2,0:11:07,0:00:53,0:00:11,6,POR,shot,,,,Georges Niang,,,,,,Norman Powell,0,,,missed,,driving layup,4,21,28,27.1,86.2,MISS Powell 4' Driving Layup: Niang BLOCK (1 BLK)
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,2,0:11:07,0:00:53,0:00:00,7,POR,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,TRAIL BLAZERS Rebound
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,2,0:11:02,0:00:58,0:00:05,8,PHI,foul,,,,,,,,Norman Powell,,Georges Niang,,,s.foul,,,shooting,,,,,,Niang S.FOUL (P1.T1) (B.Nansel)
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,3,0:11:02,0:00:58,0:00:00,9,POR,free throw,,,,,,,1,,2,Norman Powell,1,,,made,,free throw 1/2,,,,,,Powell Free Throw 1 of 2 (1 PTS)
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,4,0:11:02,0:00:58,0:00:00,10,POR,free throw,,,,,,,2,,2,Norman Powell,1,,,made,,free throw 2/2,,,,,,Powell Free Throw 2 of 2 (2 PTS)
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,4,0:10:48,0:01:12,0:00:14,11,PHI,shot,,,,,,,,,,Seth Curry,0,,,missed,,hook shot,7,54,49,19.6,9.9,MISS Curry 7' Driving Bank Hook Shot
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,4,0:10:48,0:01:12,0:00:00,12,POR,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,TRAIL BLAZERS Rebound
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,4,0:10:31,0:01:29,0:00:17,13,POR,shot,,,,,,,,,,Damian Lillard,0,,,missed,,3pt jump shot,32,-170,267,8.0,62.3,MISS Lillard 32' 3PT Jump Shot
22100246,2021-22 Regular Season,2021-11-20,Andre Drummond,Tobias Harris,Georges Niang,Seth Curry,Tyrese Maxey,Jusuf Nurkic,Damian Lillard,CJ McCollum,Norman Powell,Robert Covington,1,0,4,0:10:29,0:01:31,0:00:02,14,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
