game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,DeAndre Jordan,Isaiah Stewart,,,,,,,DeAndre Jordan,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Stewart vs. Jordan: Tip to Westbrook
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:11:40,0:00:20,0:00:20,3,DET,foul,,,,,,,,DeAndre Jordan,,Isaiah Stewart,,,p.foul,,,personal,,,,,,Stewart P.FOUL (P1.T1) (P.Ransom)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:11:35,0:00:25,0:00:05,4,LAL,foul,,,,,,,,Jerami Grant,,DeAndre Jordan,,,,,,offensive,,,,,,Jordan OFF.Foul (P1) (S.Foster)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:11:35,0:00:25,0:00:00,5,LAL,turnover,,,,,,,,,,DeAndre Jordan,,,offensive foul turnover,,,offensive foul,,,,,,Jordan Offensive Foul Turnover (P1.T1)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:11:17,0:00:43,0:00:18,6,DET,turnover,,,,,,,,,,Jerami Grant,,,bad pass,,Anthony Davis,bad pass,,,,,,Grant Bad Pass Turnover (P1.T1): Davis STEAL (1 STL)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:11:07,0:00:53,0:00:10,7,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,jump shot,19,-66,180,31.6,23.0,MISS Davis 19' Pullup Jump Shot
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:11:05,0:00:55,0:00:02,8,DET,rebound,,,,,,,,,,Cade Cunningham,,,,,,rebound defensive,,,,,,Cunningham REBOUND (Off:0 Def:1)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:11:00,0:01:00,0:00:05,9,DET,shot,,,,,,,,,,Cory Joseph,0,,,missed,,3pt jump shot,26,181,181,43.1,70.9,MISS Joseph 26' 3PT Jump Shot
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,0,0,0:10:57,0:01:03,0:00:03,10,LAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,2,0,0:10:51,0:01:09,0:00:06,11,LAL,shot,,,,,,,,,,LeBron James,2,,,made,,fadeaway jumper,7,-42,51,29.2,10.100000000000001,James 7' Fadeaway Jumper (2 PTS)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,2,2,0:10:35,0:01:25,0:00:16,12,DET,shot,Jerami Grant,,,,,,,,,Isaiah Stewart,2,,,made,,layup,1,-12,4,23.8,88.6,Stewart 1' Layup (2 PTS) (Grant 1 AST)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,4,2,0:10:26,0:01:34,0:00:09,13,LAL,shot,,,,,,,,,,Russell Westbrook,2,,,made,,jump shot,20,145,130,10.5,18.0,Westbrook 19' Pullup Jump Shot (2 PTS)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,4,4,0:10:14,0:01:46,0:00:12,14,DET,shot,,,,,,,,,,Cade Cunningham,2,,,made,,driving layup,3,-26,-3,22.4,89.3,Cunningham 3' Driving Layup (2 PTS)
22100249,2021-22 Regular Season,2021-11-21,DeAndre Jordan,Russell Westbrook,Anthony Davis,LeBron James,Avery Bradley,Isaiah Stewart,Jerami Grant,Cade Cunningham,Cory Joseph,Saddiq Bey,1,6,4,0:10:08,0:01:52,0:00:06,15,LAL,shot,Russell Westbrook,,,,,,,,,Anthony Davis,2,,,made,,dunk,3,-4,27,25.4,7.7,Davis 3' Running Dunk (2 PTS) (Westbrook 1 AST)
