game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,0,0:12:00,0:00:00,0:00:00,2,CLE,jump ball,,Deandre Ayton,Jarrett Allen,,,,,,,Jarrett Allen,,Darius Garland,,,,jump ball,,,,,,Jump Ball Allen vs. Ayton: Tip to Garland
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,2,0:11:42,0:00:18,0:00:18,3,CLE,shot,Darius Garland,,,,,,,,,Jarrett Allen,2,,,made,,hook shot,4,-25,27,22.5,86.3,Allen 4' Turnaround Hook Shot (2 PTS) (Garland 1 AST)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,2,0:11:27,0:00:33,0:00:15,4,PHX,shot,,,,,,,,,,Jae Crowder,0,,,missed,,3pt jump shot,27,-159,217,40.9,26.700000000000003,MISS Crowder 27' 3PT Jump Shot
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,2,0:11:23,0:00:37,0:00:04,5,CLE,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,2,0:11:13,0:00:47,0:00:10,6,PHX,foul,,,,,,,,Jarrett Allen,,Deandre Ayton,,,s.foul,,,shooting,,,,,,Ayton S.FOUL (P1.T1) (R.Acosta)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,3,0:11:13,0:00:47,0:00:00,7,CLE,free throw,,,,,,,1,,2,Jarrett Allen,1,,,made,,free throw 1/2,,,,,,Allen Free Throw 1 of 2 (3 PTS)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,0,4,0:11:13,0:00:47,0:00:00,8,CLE,free throw,,,,,,,2,,2,Jarrett Allen,1,,,made,,free throw 2/2,,,,,,Allen Free Throw 2 of 2 (4 PTS)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,2,4,0:11:03,0:00:57,0:00:10,9,PHX,shot,Chris Paul,,,,,,,,,Devin Booker,2,,,made,,jump shot,13,-110,74,36.0,12.4,Booker 13' Step Back Jump Shot (2 PTS) (Paul 1 AST)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,2,6,0:10:49,0:01:11,0:00:14,10,CLE,shot,,,,,,,,,,Darius Garland,2,,,made,,driving floating jump shot,9,-66,58,18.4,83.2,Garland 9' Driving Floating Jump Shot (2 PTS)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,2,6,0:10:28,0:01:32,0:00:21,11,CLE,foul,,,,,,,,Jae Crowder,,Darius Garland,,,s.foul,,,shooting,,,,,,Garland S.FOUL (P1.T1) (S.Corbin)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,3,6,0:10:28,0:01:32,0:00:00,12,PHX,free throw,,,,,,,1,,2,Jae Crowder,1,,,made,,free throw 1/2,,,,,,Crowder Free Throw 1 of 2 (1 PTS)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,4,6,0:10:28,0:01:32,0:00:00,13,PHX,free throw,,,,,,,2,,2,Jae Crowder,1,,,made,,free throw 2/2,,,,,,Crowder Free Throw 2 of 2 (2 PTS)
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,4,6,0:10:16,0:01:44,0:00:12,14,CLE,shot,,,,,,,,,,Darius Garland,0,,,missed,,jump shot,16,-81,142,16.9,74.8,MISS Garland 16' Jump Shot
22100267,2021-22 Regular Season,2021-11-24,Deandre Ayton,Jae Crowder,Devin Booker,Chris Paul,Mikal Bridges,Jarrett Allen,Darius Garland,Lauri Markkanen,Dean Wade,Isaac Okoro,1,4,6,0:10:13,0:01:47,0:00:03,15,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
