game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,DeAndre Jordan,Myles Turner,,,,,,,DeAndre Jordan,,LeBron James,,,,jump ball,,,,,,Jump Ball Turner vs. Jordan: Tip to James
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:11:44,0:00:16,0:00:16,3,LAL,turnover,,,,,,,,,,LeBron James,,,bad pass,,Myles Turner,bad pass,,,,,,Turner STEAL (1 STL): James Bad Pass Turnover (P1.T1)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:11:24,0:00:36,0:00:20,4,IND,turnover,,,,,,,,,,Justin Holiday,,,bad pass,,,bad pass,,,,,,Holiday Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:11:18,0:00:42,0:00:06,5,LAL,shot,,,,,,,,,,Russell Westbrook,0,,,missed,,fadeaway jumper,11,66,85,18.4,13.5,MISS Westbrook 11' Fadeaway Jumper
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:11:14,0:00:46,0:00:04,6,LAL,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound offensive,,,,,,Jordan REBOUND (Off:1 Def:0)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:11:14,0:00:46,0:00:00,7,IND,foul,,,,,,,,DeAndre Jordan,,Justin Holiday,,,p.foul,,,personal,,,,,,Holiday P.FOUL (P1.T1) (R.Mott)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:11:03,0:00:57,0:00:11,8,LAL,shot,,,,,,,,,,LeBron James,0,,,missed,,driving floating jump shot,10,-96,4,34.6,5.4,MISS James 10' Driving Floating Jump Shot
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,0,0:11:01,0:00:59,0:00:02,9,IND,rebound,,,,,,,,,,Malcolm Brogdon,,,,,,rebound defensive,,,,,,Brogdon REBOUND (Off:0 Def:1)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,2,0:10:54,0:01:06,0:00:07,10,IND,shot,,,,,,,,,,Domantas Sabonis,2,,,made,,layup,3,-15,23,23.5,86.7,Sabonis 3' Layup (2 PTS)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,0,2,0:10:35,0:01:25,0:00:19,11,IND,foul,,,,,,,,Russell Westbrook,,Domantas Sabonis,,,s.foul,,,shooting,,,,,,Sabonis S.FOUL (P1.T2) (K.Lane)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,1,2,0:10:35,0:01:25,0:00:00,12,LAL,free throw,,,,,,,1,,2,Russell Westbrook,1,,,made,,free throw 1/2,,,,,,Westbrook Free Throw 1 of 2 (1 PTS)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,1,2,0:10:35,0:01:25,0:00:00,13,LAL,free throw,,,,,,,2,,2,Russell Westbrook,0,,,missed,,free throw 2/2,,,,,,MISS Westbrook Free Throw 2 of 2
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,1,2,0:10:33,0:01:27,0:00:02,14,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:0 Def:1)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,1,2,0:10:25,0:01:35,0:00:08,15,IND,shot,,,,,,,,,,Caris LeVert,0,,,missed,,jump shot,11,48,100,29.8,79.0,MISS LeVert 11' Pullup Jump Shot
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,1,2,0:10:22,0:01:38,0:00:03,16,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound offensive,,,,,,Sabonis REBOUND (Off:1 Def:1)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,1,5,0:10:20,0:01:40,0:00:02,17,IND,shot,Caris LeVert,,,,,,,,,Myles Turner,3,,,made,,3pt jump shot,26,200,172,45.0,71.8,Turner 26' 3PT Jump Shot (3 PTS) (LeVert 1 AST)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,5,0:10:06,0:01:54,0:00:14,18,LAL,shot,LeBron James,,,,,,,,,Russell Westbrook,3,,,made,,3pt jump shot,24,237,30,1.2999999999999972,8.0,Westbrook 24' 3PT Jump Shot (4 PTS) (James 1 AST)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,5,0:09:52,0:02:08,0:00:14,19,IND,shot,,,,,,,,,,Malcolm Brogdon,0,,,missed,,jump shot,14,137,7,38.7,88.3,MISS Brogdon 14' Step Back Jump Shot
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,5,0:09:51,0:02:09,0:00:01,20,LAL,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,5,0:09:45,0:02:15,0:00:06,21,LAL,shot,,,,,,,,,,Avery Bradley,0,,,missed,,3pt jump shot,26,196,169,5.399999999999999,21.900000000000002,MISS Bradley 26' 3PT Jump Shot
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,5,0:09:43,0:02:17,0:00:02,22,IND,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,7,0:09:35,0:02:25,0:00:08,23,IND,shot,Domantas Sabonis,,,,,,,,,Caris LeVert,2,,,made,,cutting layup shot,2,20,11,27.0,87.9,LeVert 2' Cutting Layup Shot (2 PTS) (Sabonis 1 AST)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,7,0:09:23,0:02:37,0:00:12,24,LAL,foul,,,,,,,,Caris LeVert,,DeAndre Jordan,,,,,,offensive,,,,,,Jordan OFF.Foul (P1) (K.Lane)
22100268,2021-22 Regular Season,2021-11-24,DeAndre Jordan,LeBron James,Russell Westbrook,Avery Bradley,Talen Horton-Tucker,Myles Turner,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,1,4,7,0:09:23,0:02:37,0:00:00,25,LAL,turnover,,,,,,,,,,DeAndre Jordan,,,offensive foul turnover,,,offensive foul,,,,,,Jordan Offensive Foul Turnover (P1.T2)
