game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,0,0,0:12:00,0:00:00,0:00:00,2,DAL,jump ball,,Jarrett Allen,Moses Brown,,,,,,,Jarrett Allen,,Darius Garland,,,,jump ball,,,,,,Jump Ball Brown vs. Allen: Tip to Garland
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,0,0,0:11:41,0:00:19,0:00:19,3,CLE,shot,,,,,,,,,,Jarrett Allen,0,,,missed,,hook shot,6,38,41,21.2,9.100000000000001,MISS Allen 6' Turnaround Hook Shot
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,0,0,0:11:39,0:00:21,0:00:02,4,DAL,rebound,,,,,,,,,,Kristaps Porzingis,,,,,,rebound defensive,,,,,,Porzingis REBOUND (Off:0 Def:1)
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,0,2,0:11:22,0:00:38,0:00:17,5,DAL,shot,Luka Doncic,,,,,,,,,Tim Hardaway Jr.,2,,,made,,jump shot,16,-4,157,24.6,73.3,Hardaway Jr. 16' Jump Shot (2 PTS) (Doncic 1 AST)
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,2,2,0:11:07,0:00:53,0:00:15,6,CLE,shot,Darius Garland,,,,,,,,,Jarrett Allen,2,,,made,,dunk,1,-11,-2,26.1,4.8,Allen 1' Alley Oop Dunk (2 PTS) (Garland 1 AST)
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,2,5,0:10:50,0:01:10,0:00:17,7,DAL,shot,,,,,,,,,,Luka Doncic,3,,,made,,3pt step back jump shot,26,58,256,30.8,63.4,Doncic 26' 3PT Step Back Jump Shot (3 PTS)
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,2,5,0:10:39,0:01:21,0:00:11,8,CLE,shot,,,,,,,,,,Evan Mobley,0,,,missed,,3pt jump shot,24,-33,241,28.3,29.1,MISS Mobley 24' 3PT Jump Shot
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,2,5,0:10:37,0:01:23,0:00:02,9,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
22100310,2021-22 Regular Season,2021-11-29,Jarrett Allen,Darius Garland,Evan Mobley,Isaac Okoro,Lauri Markkanen,Moses Brown,Kristaps Porzingis,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,1,2,5,0:10:33,0:01:27,0:00:04,10,DAL,shot,,,,Evan Mobley,,,,,,Kristaps Porzingis,0,,,missed,,dunk,2,16,8,26.6,88.2,MISS Porzingis 2' Running Dunk: Mobley BLOCK (1 BLK)
