game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Jusuf Nurkic,Rudy Gobert,,,,,,,Jusuf Nurkic,,Robert Covington,,,,jump ball,,,,,,Jump Ball Gobert vs. Nurkic: Tip to Covington
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:11:42,0:00:18,0:00:18,3,POR,turnover,,,,,,,,,,Robert Covington,,,bad pass,,,bad pass,,,,,,Covington Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:11:23,0:00:37,0:00:19,4,UTA,shot,,,,,,,,,,Rudy Gobert,0,,,missed,,turnaround fadeaway,9,-56,76,19.4,81.4,MISS Gobert 9' Turnaround Fadeaway Shot
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:11:21,0:00:39,0:00:02,5,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:11:02,0:00:58,0:00:19,6,POR,shot,,,,,,,,,,Tony Snell,0,,,missed,,floating jump shot,9,-92,8,34.2,5.8,MISS Snell 9' Floating Jump Shot
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:11:00,0:01:00,0:00:02,7,UTA,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:10:53,0:01:07,0:00:07,8,UTA,shot,,,,,,,,,,Joe Ingles,0,,,missed,,3pt step back jump shot,26,143,216,39.3,67.4,MISS Ingles 26' 3PT Step Back Jump Shot
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:10:50,0:01:10,0:00:03,9,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
22100312,2021-22 Regular Season,2021-11-29,Jusuf Nurkic,Robert Covington,Tony Snell,Damian Lillard,CJ McCollum,Rudy Gobert,Bojan Bogdanovic,Joe Ingles,Donovan Mitchell,Mike Conley,1,0,0,0:10:38,0:01:22,0:00:12,10,POR,turnover,,,,,,,,,,Damian Lillard,,,bad pass,,Donovan Mitchell,bad pass,,,,,,Mitchell STEAL (1 STL): Lillard Bad Pass Turnover (P1.T2)
