game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,0,0,0:12:00,0:00:00,0:00:00,2,MIA,jump ball,,Jarrett Allen,Dewayne Dedmon,,,,,,,Jarrett Allen,,Darius Garland,,,,jump ball,,,,,,Jump Ball Dedmon vs. Allen: Tip to Garland
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,0,0,0:11:41,0:00:19,0:00:19,3,MIA,foul,,,,,,,,Lauri Markkanen,,Duncan Robinson,,,s.foul,,,shooting,,,,,,Robinson S.FOUL (P1.T1) (J.Sterling)
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,1,0,0:11:41,0:00:19,0:00:00,4,CLE,free throw,,,,,,,1,,2,Lauri Markkanen,1,,,made,,free throw 1/2,,,,,,Markkanen Free Throw 1 of 2 (1 PTS)
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,1,0,0:11:41,0:00:19,0:00:00,5,CLE,free throw,,,,,,,2,,2,Lauri Markkanen,0,,,missed,,free throw 2/2,,,,,,MISS Markkanen Free Throw 2 of 2
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,1,0,0:11:37,0:00:23,0:00:04,6,MIA,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,1,0,0:11:25,0:00:35,0:00:12,7,MIA,shot,,,,,,,,,,Kyle Lowry,0,,,missed,,driving layup,2,16,11,26.6,87.9,MISS Lowry 2' Driving Layup
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,1,0,0:11:21,0:00:39,0:00:04,8,CLE,rebound,,,,,,,,,,Evan Mobley,,,,,,rebound defensive,,,,,,Mobley REBOUND (Off:0 Def:1)
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,1,0,0:11:15,0:00:45,0:00:06,9,CLE,shot,,,,,,,,,,Darius Garland,0,,,missed,,3pt jump shot,24,-237,60,48.7,11.0,MISS Garland 24' 3PT Jump Shot
22100323,2021-22 Regular Season,2021-12-01,Jarrett Allen,Darius Garland,Lauri Markkanen,Evan Mobley,Isaac Okoro,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,P.J. Tucker,Tyler Herro,1,1,0,0:11:12,0:00:48,0:00:03,10,MIA,rebound,,,,,,,,,,Kyle Lowry,,,,,,rebound defensive,,,,,,Lowry REBOUND (Off:0 Def:1)
