game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,0,0:12:00,0:00:00,0:00:00,2,TOR,jump ball,,Bobby Portis,Precious Achiuwa,,,,,,,Precious Achiuwa,,Fred VanVleet,,,,jump ball,,,,,,Jump Ball Achiuwa vs. Portis: Tip to VanVleet
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,3,0:11:34,0:00:26,0:00:26,3,TOR,shot,Pascal Siakam,,,,,,,,,Gary Trent Jr.,3,,,made,,3pt pullup jump shot,26,96,247,34.6,64.3,Trent Jr. 27' 3PT Pullup Jump Shot (3 PTS) (Siakam 1 AST)
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,3,0:11:10,0:00:50,0:00:24,4,MIL,shot,,,,,,,,,,Bobby Portis,0,,,missed,,turnaround fadeaway,12,-116,23,36.6,7.300000000000001,MISS Portis 12' Turnaround Fadeaway Shot
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,3,0:11:06,0:00:54,0:00:04,5,MIL,rebound,,,,,,,,,,Grayson Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:1 Def:0)
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,3,0:11:04,0:00:56,0:00:02,6,MIL,shot,,,,,,,,,,Grayson Allen,0,,,missed,,3pt jump shot,26,85,247,16.5,29.700000000000003,MISS Allen 26' 3PT Jump Shot
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,3,0:11:02,0:00:58,0:00:02,7,TOR,rebound,,,,,,,,,,Gary Trent Jr.,,,,,,rebound defensive,,,,,,Trent Jr. REBOUND (Off:0 Def:1)
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,5,0:10:50,0:01:10,0:00:12,8,TOR,shot,,,,,,,,,,Pascal Siakam,2,,,made,,jump shot,18,15,178,26.5,71.2,Siakam 18' Step Back Jump Shot (2 PTS)
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,5,0:10:27,0:01:33,0:00:23,9,MIL,shot,,,,,,,,,,Pat Connaughton,0,,,missed,,hook shot,7,-51,49,30.1,9.9,MISS Connaughton 7' Turnaround Hook Shot
22100329,2021-22 Regular Season,2021-12-02,Bobby Portis,Grayson Allen,Pat Connaughton,Jrue Holiday,Khris Middleton,Precious Achiuwa,Fred VanVleet,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,1,0,5,0:10:25,0:01:35,0:00:02,10,TOR,rebound,,,,,,,,,,Pascal Siakam,,,,,,rebound defensive,,,,,,Siakam REBOUND (Off:0 Def:1)
