game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,0,0:12:00,0:00:00,0:00:00,2,ATL,jump ball,,Joel Embiid,Clint Capela,,,,,,,Joel Embiid,,Danny Green,,,,jump ball,,,,,,Jump Ball Capela vs. Embiid: Tip to Green
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,0,0:11:44,0:00:16,0:00:16,3,ATL,foul,,,,,,,,Joel Embiid,,Timothe Luwawu-Cabarrot,,,p.foul,,,personal,,,,,,Luwawu-Cabarrot P.FOUL (P1.T1) (T.Ford)
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,0,0:11:36,0:00:24,0:00:08,4,PHI,shot,,,,,,,,,,Joel Embiid,0,,,missed,,jump shot,16,-54,156,30.4,20.6,MISS Embiid 17' Jump Shot
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,0,0:11:32,0:00:28,0:00:04,5,ATL,rebound,,,,,,,,,,Timothe Luwawu-Cabarrot,,,,,,rebound defensive,,,,,,Luwawu-Cabarrot REBOUND (Off:0 Def:1)
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,2,0:11:15,0:00:45,0:00:17,6,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,floating jump shot,9,-50,70,20.0,82.0,Young 9' Floating Jump Shot (2 PTS)
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,2,0:10:57,0:01:03,0:00:18,7,PHI,shot,,,,,,,,,,Tyrese Maxey,0,,,missed,,driving floating jump shot,12,-28,115,27.8,16.5,MISS Maxey 12' Driving Floating Jump Shot
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,2,0:10:54,0:01:06,0:00:03,8,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound offensive,,,,,,Embiid REBOUND (Off:1 Def:0)
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,2,0:10:51,0:01:09,0:00:03,9,PHI,shot,,,,,,,,,,Georges Niang,0,,,missed,,3pt jump shot,23,230,1,2.0,5.1,MISS Niang 3PT Jump Shot
22100335,2021-22 Regular Season,2021-12-03,Joel Embiid,Danny Green,Tyrese Maxey,Georges Niang,Seth Curry,Clint Capela,Timothe Luwawu-Cabarrot,Trae Young,Kevin Huerter,John Collins,1,0,2,0:10:48,0:01:12,0:00:03,10,ATL,rebound,,,,,,,,,,Trae Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
