game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Ivica Zubac,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Dennis Smith Jr.,,,,jump ball,,,,,,Jump Ball Nurkic vs. Zubac: Tip to Smith Jr.
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,0,2,0:11:57,0:00:03,0:00:03,3,POR,shot,,,,,,,,,,Jusuf Nurkic,2,,,made,,hook shot,5,-9,50,24.1,84.0,Nurkic 5' Driving Hook Shot (2 PTS)
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,0,2,0:11:39,0:00:21,0:00:18,4,LAC,shot,,,,,,,,,,Luke Kennard,0,,,missed,,3pt jump shot,25,-195,163,44.5,21.3,MISS Kennard 25' 3PT Jump Shot
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,0,2,0:11:36,0:00:24,0:00:03,5,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,0,4,0:11:26,0:00:34,0:00:10,6,POR,shot,Tony Snell,,,,,,,,,Jusuf Nurkic,2,,,made,,jump shot,10,67,77,31.7,81.3,Nurkic 10' Pullup Jump Shot (4 PTS) (Snell 1 AST)
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,2,4,0:11:02,0:00:58,0:00:24,7,LAC,shot,,,,,,,,,,Marcus Morris Sr.,2,,,made,,turnaround fadeaway,11,-97,57,34.7,10.7,Morris Sr. 11' Turnaround Fadeaway (2 PTS)
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,2,4,0:10:43,0:01:17,0:00:19,8,POR,shot,,,,,,,,,,Norman Powell,0,,,missed,,driving layup,7,5,67,25.5,82.3,MISS Powell 7' Driving Layup
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,2,4,0:10:43,0:01:17,0:00:00,9,LAC,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Clippers Rebound
22100362,2021-22 Regular Season,2021-12-06,Ivica Zubac,Luke Kennard,Marcus Morris Sr.,Paul George,Reggie Jackson,Jusuf Nurkic,Dennis Smith Jr.,Tony Snell,Norman Powell,Robert Covington,1,4,4,0:10:24,0:01:36,0:00:19,10,LAC,shot,,,,,,,,,,Marcus Morris Sr.,2,,,made,,layup,7,-64,34,31.4,8.4,Morris Sr. 7' Layup (4 PTS)
