game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,0,0:12:00,0:00:00,0:00:00,2,HOU,jump ball,,Nic Claxton,Christian Wood,,,,,,,Christian Wood,,Eric Gordon,,,,jump ball,,,,,,Jump Ball Wood vs. Claxton: Tip to Gordon
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:11:47,0:00:13,0:00:13,3,HOU,shot,,,,,,,,,,Eric Gordon,2,,,made,,driving layup,2,13,8,26.3,88.2,Gordon 2' Driving Layup (2 PTS)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:11:25,0:00:35,0:00:22,4,BKN,shot,,,,,,,,,,James Harden,0,,,missed,,3pt step back jump shot,27,178,200,7.199999999999999,25.0,MISS Harden 27' 3PT Step Back Jump Shot
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:11:22,0:00:38,0:00:03,5,HOU,rebound,,,,,,,,,,Eric Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:11:16,0:00:44,0:00:06,6,HOU,turnover,,,,,,,,,,Jae'Sean Tate,,,bad pass,,James Harden,bad pass,,,,,,Tate Bad Pass Turnover (P1.T1): Harden STEAL (1 STL)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:11:09,0:00:51,0:00:07,7,BKN,shot,,,,Eric Gordon,,,,,,DeAndre' Bembry,0,,,missed,,jump shot,8,-59,52,30.9,10.2,Gordon BLOCK (1 BLK): MISS Bembry 8' Jump Shot
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:11:08,0:00:52,0:00:01,8,BKN,rebound,,,,,,,,,,DeAndre' Bembry,,,,,,rebound offensive,,,,,,Bembry REBOUND (Off:1 Def:0)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:11:07,0:00:53,0:00:01,9,BKN,turnover,,,,,,,,,,DeAndre' Bembry,,,traveling,,,traveling,,,,,,Bembry Traveling Turnover (P1.T1)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:10:51,0:01:09,0:00:16,10,HOU,shot,,,,,,,,,,Christian Wood,0,,,missed,,driving floating jump shot,13,-70,109,18.0,78.1,MISS Wood 13' Driving Floating Jump Shot
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,0,2,0:10:50,0:01:10,0:00:01,11,BKN,rebound,,,,,,,,,,James Harden,,,,,,rebound defensive,,,,,,Harden REBOUND (Off:0 Def:1)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,2,2,0:10:42,0:01:18,0:00:08,12,BKN,shot,,,,,,,,,,James Johnson,2,,,made,,driving layup,2,15,5,23.5,5.5,Johnson 2' Driving Layup (2 PTS)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,2,4,0:10:28,0:01:32,0:00:14,13,HOU,shot,,,,,,,,,,Eric Gordon,2,,,made,,driving floating bank jump shot,2,-13,15,23.7,87.5,Gordon 2' Driving Floating Bank Jump Shot (4 PTS)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,2,4,0:10:28,0:01:32,0:00:00,14,BKN,foul,,,,,,,,Eric Gordon,,James Johnson,,,s.foul,,,shooting,,,,,,Johnson S.FOUL (P1.T1) (B.Schwab)
22100372,2021-22 Regular Season,2021-12-08,Nic Claxton,James Harden,DeAndre' Bembry,James Johnson,Patty Mills,Christian Wood,Eric Gordon,Jae'Sean Tate,Armoni Brooks,Garrison Mathews,1,2,5,0:10:28,0:01:32,0:00:00,15,HOU,free throw,,,,,,,1,,1,Eric Gordon,1,,,made,,free throw 1/1,,,,,,Gordon Free Throw 1 of 1 (5 PTS)
