game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Kristaps Porzingis,Steven Adams,,,,,,,Steven Adams,,Tyus Jones,,,,jump ball,,,,,,Jump Ball Adams vs. Porzingis: Tip to Jones
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:11:45,0:00:15,0:00:15,3,MEM,shot,,,,,,,,,,Desmond Bane,0,,,missed,,driving floating bank jump shot,12,102,53,35.2,83.7,MISS Bane 11' Driving Floating Bank Jump Shot
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:11:42,0:00:18,0:00:03,4,DAL,rebound,,,,,,,,,,Dwight Powell,,,,,,rebound defensive,,,,,,Powell REBOUND (Off:0 Def:1)
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:11:21,0:00:39,0:00:21,5,DAL,shot,,,,,,,,,,Dwight Powell,0,,,missed,,jump shot,18,-42,180,29.2,23.0,MISS Powell 18' Step Back Jump Shot
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:11:19,0:00:41,0:00:02,6,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1)
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,2,0:11:09,0:00:51,0:00:10,7,MEM,shot,Tyus Jones,,,,,,,,,Jaren Jackson Jr.,2,,,made,,driving floating bank jump shot,9,-45,78,20.5,81.2,Jackson Jr. 9' Driving Floating Bank Jump Shot (2 PTS) (Jones 1 AST)
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,0,2,0:11:02,0:00:58,0:00:07,8,MEM,foul,,,,,,,,Luka Doncic,,Dillon Brooks,,,p.foul,,,personal,,,,,,Brooks P.FOUL (P1.T1) (M.Boland)
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,2,2,0:10:52,0:01:08,0:00:10,9,DAL,shot,Luka Doncic,,,,,,,,,Kristaps Porzingis,2,,,made,,jump shot,15,-7,152,25.7,20.200000000000003,Porzingis 15' Pullup Jump Shot (2 PTS) (Doncic 1 AST)
22100373,2021-22 Regular Season,2021-12-08,Kristaps Porzingis,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,Steven Adams,Tyus Jones,Desmond Bane,Jaren Jackson Jr.,Dillon Brooks,1,2,2,0:10:52,0:01:08,0:00:00,10,MEM,foul,,,,,,,,Kristaps Porzingis,,Jaren Jackson Jr.,,,s.foul,,,shooting,,,,,,Jackson Jr. S.FOUL (P1.T2) (S.Corbin)
