game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Rudy Gobert,Karl-Anthony Towns,,,,,,,Rudy Gobert,,Royce O'Neale,,,,jump ball,,,,,,Jump Ball Towns vs. Gobert: Tip to O'Neale
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,0,0,0:11:44,0:00:16,0:00:16,3,UTA,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,3pt jump shot,24,-200,134,45.0,18.4,MISS Mitchell 24' 3PT Jump Shot
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,0,0,0:11:41,0:00:19,0:00:03,4,MIN,rebound,,,,,,,,,,Taurean Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,0,2,0:11:35,0:00:25,0:00:06,5,MIN,shot,Taurean Prince,,,,,,,,,Jarred Vanderbilt,2,,,made,,layup,4,-27,25,22.3,86.5,Vanderbilt 4' Running Layup (2 PTS) (Prince 1 AST)
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,0,2,0:11:26,0:00:34,0:00:09,6,UTA,turnover,,,,,,,,,,Mike Conley,,,bad pass,,Anthony Edwards,bad pass,,,,,,Edwards STEAL (1 STL): Conley Bad Pass Turnover (P1.T1)
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,0,4,0:11:22,0:00:38,0:00:04,7,MIN,shot,,,,,,,,,,Anthony Edwards,2,,,made,,dunk,1,5,11,25.5,87.9,Edwards 1' Running Dunk (2 PTS)
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,2,4,0:11:08,0:00:52,0:00:14,8,UTA,shot,,,,,,,,,,Mike Conley,2,,,made,,driving layup,3,-26,5,27.6,5.5,Conley 3' Driving Layup (2 PTS)
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,2,4,0:10:46,0:01:14,0:00:22,9,MIN,shot,,,,,,,,,,Anthony Edwards,0,,,missed,,jump shot,19,-178,64,7.199999999999999,82.6,MISS Edwards 19' Jump Shot
22100374,2021-22 Regular Season,2021-12-08,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Mike Conley,Bojan Bogdanovic,Karl-Anthony Towns,Taurean Prince,Jarred Vanderbilt,Anthony Edwards,Patrick Beverley,1,2,4,0:10:45,0:01:15,0:00:01,10,MIN,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,TIMBERWOLVES Rebound
