game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Mo Bamba,Richaun Holmes,,,,,,,Richaun Holmes,,De'Aaron Fox,,,,jump ball,,,,,,Jump Ball Holmes vs. Bamba: Tip to Fox
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,0,2,0:11:43,0:00:17,0:00:17,3,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,jump shot,16,-70,139,18.0,75.1,Fox 16' Pullup Jump Shot (2 PTS)
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,0,2,0:11:30,0:00:30,0:00:13,4,ORL,turnover,,,,,,,,,,Franz Wagner,,,bad pass,,De'Aaron Fox,bad pass,,,,,,Fox STEAL (1 STL): Wagner Bad Pass Turnover (P1.T1)
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,0,4,0:11:22,0:00:38,0:00:08,5,SAC,shot,,,,,,,,,,Terence Davis,2,,,made,,driving layup,2,18,8,26.8,88.2,Davis 2' Driving Layup (2 PTS)
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,2,4,0:11:03,0:00:57,0:00:19,6,ORL,shot,Franz Wagner,,,,,,,,,Wendell Carter Jr.,2,,,made,,floating jump shot,12,-107,43,35.7,9.3,Carter Jr. 12' Floating Jump Shot (2 PTS) (Wagner 1 AST)
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,2,4,0:10:48,0:01:12,0:00:15,7,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Fox Out of Bounds Lost Ball Turnover (P1.T1)
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,2,4,0:10:25,0:01:35,0:00:23,8,ORL,turnover,,,,,,,,,,Cole Anthony,,,bad pass,,Tyrese Haliburton,bad pass,,,,,,Haliburton STEAL (1 STL): Anthony Bad Pass Turnover (P1.T2)
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,2,4,0:10:20,0:01:40,0:00:05,9,SAC,shot,,,,,,,,,,De'Aaron Fox,0,,,missed,,layup,2,16,5,26.6,88.5,MISS Fox 2' Running Layup
22100377,2021-22 Regular Season,2021-12-08,Mo Bamba,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Gary Harris,Richaun Holmes,De'Aaron Fox,Terence Davis,Tyrese Haliburton,Harrison Barnes,1,2,4,0:10:17,0:01:43,0:00:03,10,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:1)
