game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Andre Drummond,Steven Adams,,,,,,,Andre Drummond,,Tyrese Maxey,,,,jump ball,,,,,,Jump Ball Adams vs. Drummond: Tip to Maxey
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,2,0,0:11:42,0:00:18,0:00:18,3,PHI,shot,Tyrese Maxey,,,,,,,,,Furkan Korkmaz,2,,,made,,driving floating jump shot,8,-78,10,32.8,6.0,Korkmaz 8' Driving Floating Jump Shot (2 PTS) (Maxey 1 AST)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,2,0,0:11:23,0:00:37,0:00:19,4,MEM,shot,,,,,,,,,,Desmond Bane,0,,,missed,,3pt jump shot,25,-129,219,12.1,67.1,MISS Bane 25' 3PT Jump Shot
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,2,0,0:11:19,0:00:41,0:00:04,5,MEM,rebound,,,,,,,,,,Tyus Jones,,,,,,rebound offensive,,,,,,Jones REBOUND (Off:1 Def:0)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,2,3,0:11:16,0:00:44,0:00:03,6,MEM,shot,Desmond Bane,,,,,,,,,Jaren Jackson Jr.,3,,,made,,3pt jump shot,25,87,235,33.7,65.5,Jackson Jr. 25' 3PT Jump Shot (3 PTS) (Bane 1 AST)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,4,3,0:11:01,0:00:59,0:00:15,7,PHI,shot,Andre Drummond,,,,,,,,,Tobias Harris,2,,,made,,driving floating jump shot,13,-29,127,27.9,17.700000000000003,Harris 13' Driving Floating Jump Shot (2 PTS) (Drummond 1 AST)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,4,3,0:11:01,0:00:59,0:00:00,8,MEM,foul,,,,,,,,Tobias Harris,,Dillon Brooks,,,s.foul,,,shooting,,,,,,Brooks S.FOUL (P1.T1) (M.Lindsay)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,5,3,0:11:01,0:00:59,0:00:00,9,PHI,free throw,,,,,,,1,,1,Tobias Harris,1,,,made,,free throw 1/1,,,,,,Harris Free Throw 1 of 1 (3 PTS)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,5,3,0:10:50,0:01:10,0:00:11,10,PHI,foul,,,,,,,,Jaren Jackson Jr.,,Tobias Harris,,,p.foul,,,personal,,,,,,Harris P.FOUL (P1.T1) (E.Lewis)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,5,5,0:10:42,0:01:18,0:00:08,11,MEM,shot,Tyus Jones,,,,,,,,,Jaren Jackson Jr.,2,,,made,,driving dunk,1,4,13,25.4,87.7,Jackson Jr. 1' Driving Dunk (5 PTS) (Jones 1 AST)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,5,5,0:10:24,0:01:36,0:00:18,12,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,jump shot,19,-165,92,41.5,14.200000000000001,MISS Harris 19' Pullup Jump Shot
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,5,5,0:10:22,0:01:38,0:00:02,13,MEM,rebound,,,,,,,,,,Desmond Bane,,,,,,rebound defensive,,,,,,Bane REBOUND (Off:0 Def:1)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,5,5,0:10:17,0:01:43,0:00:05,14,MEM,foul,,,,,,,,Andre Drummond,,Steven Adams,,,,,,offensive,,,,,,Adams OFF.Foul (P1) (A.Nagy)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,5,5,0:10:17,0:01:43,0:00:00,15,MEM,turnover,,,,,,,,,,Steven Adams,,,offensive foul turnover,,,offensive foul,,,,,,Adams Offensive Foul Turnover (P1.T1)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,7,5,0:10:09,0:01:51,0:00:08,16,PHI,shot,,,,,,,,,,Tyrese Maxey,2,,,made,,layup,4,18,37,23.2,8.7,Maxey 4' Driving Finger Roll Layup (2 PTS)
22100409,2021-22 Regular Season,2021-12-13,Andre Drummond,Tyrese Maxey,Furkan Korkmaz,Tobias Harris,Matisse Thybulle,Steven Adams,Desmond Bane,Tyus Jones,Jaren Jackson Jr.,Dillon Brooks,1,7,5,0:09:54,0:02:06,0:00:15,17,MEM,shot,,,,Andre Drummond,,,,,,Desmond Bane,0,,,missed,,driving layup,3,28,6,27.8,88.4,MISS Bane 3' Driving Layup: Drummond BLOCK (1 BLK)
