game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,0,0:12:00,0:00:00,0:00:00,2,PHI,jump ball,,Dewayne Dedmon,Joel Embiid,,,,,,,Dewayne Dedmon,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Embiid vs. Dedmon: Tip to Lowry
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,0,0:11:42,0:00:18,0:00:18,3,MIA,turnover,,,,,,,,,,Kyle Lowry,,,bad pass,,Matisse Thybulle,bad pass,,,,,,Thybulle STEAL (1 STL): Lowry Bad Pass Turnover (P1.T1)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,0,0:11:20,0:00:40,0:00:22,4,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,fadeaway jumper,7,38,59,28.8,83.1,MISS Harris 7' Fadeaway Jumper
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,0,0:11:17,0:00:43,0:00:03,5,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound offensive,,,,,,Embiid REBOUND (Off:1 Def:0)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,2,0:11:15,0:00:45,0:00:02,6,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,layup,0,0,0,25.0,89.0,Embiid Putback Layup (2 PTS)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,2,0:11:00,0:01:00,0:00:15,7,MIA,shot,,,,Matisse Thybulle,,,,,,Gabe Vincent,0,,,missed,,floating jump shot,13,-132,16,38.2,6.6,Thybulle BLOCK (1 BLK): MISS Vincent 13' Floating Jump Shot
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,0,2,0:11:00,0:01:00,0:00:00,8,MIA,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Heat Rebound
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,2,0:10:52,0:01:08,0:00:08,9,MIA,shot,Kyle Lowry,,,,,,,,,Dewayne Dedmon,2,,,made,,fadeaway jumper,12,115,15,13.5,6.5,Dedmon 12' Fadeaway Jumper (2 PTS) (Lowry 1 AST)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,2,0:10:38,0:01:22,0:00:14,10,PHI,foul,,,,,,,,Dewayne Dedmon,,Matisse Thybulle,,,offensive charge foul,,,offensive charge,,,,,,Thybulle Offensive Charge Foul (P1) (C.Blair)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,2,0:10:38,0:01:22,0:00:00,11,PHI,turnover,,,,,,,,,,Matisse Thybulle,,,offensive foul turnover,,,offensive foul,,,,,,Thybulle Offensive Foul Turnover (P1.T1)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,2,0:10:21,0:01:39,0:00:17,12,MIA,shot,,,,,,,,,,Kyle Lowry,0,,,missed,,3pt jump shot,24,-235,70,48.5,12.0,MISS Lowry 25' 3PT Jump Shot
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,2,0:10:19,0:01:41,0:00:02,13,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,4,0:10:10,0:01:50,0:00:09,14,PHI,shot,Joel Embiid,,,,,,,,,Tobias Harris,2,,,made,,hook shot,2,16,8,26.6,88.2,Harris 2' Driving Hook Shot (2 PTS) (Embiid 1 AST)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,4,0:09:59,0:02:01,0:00:11,15,MIA,shot,,,,,,,,,,Gabe Vincent,0,,,missed,,3pt step back jump shot,26,197,172,5.299999999999997,22.2,MISS Vincent 26' 3PT Step Back Jump Shot
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,2,4,0:09:57,0:02:03,0:00:02,16,MIA,rebound,,,,,,,,,,P.J. Tucker,,,,,,rebound offensive,,,,,,Tucker REBOUND (Off:1 Def:0)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,5,4,0:09:53,0:02:07,0:00:04,17,MIA,shot,P.J. Tucker,,,,,,,,,Gabe Vincent,3,,,made,,3pt jump shot,26,206,158,4.399999999999999,20.8,Vincent 26' 3PT Jump Shot (3 PTS) (Tucker 1 AST)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,5,4,0:09:41,0:02:19,0:00:12,18,MIA,foul,,,,,,,,Joel Embiid,,Gabe Vincent,,,s.foul,,,shooting,,,,,,Vincent S.FOUL (P1.T1) (J.Van Duyne)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,5,5,0:09:41,0:02:19,0:00:00,19,PHI,free throw,,,,,,,1,,2,Joel Embiid,1,,,made,,free throw 1/2,,,,,,Embiid Free Throw 1 of 2 (3 PTS)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,5,6,0:09:41,0:02:19,0:00:00,20,PHI,free throw,,,,,,,2,,2,Joel Embiid,1,,,made,,free throw 2/2,,,,,,Embiid Free Throw 2 of 2 (4 PTS)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,5,6,0:09:30,0:02:30,0:00:11,21,PHI,foul,,,,,,,,Gabe Vincent,,Seth Curry,,,s.foul,,,shooting,,,,,,Curry S.FOUL (P1.T1) (J.Van Duyne)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,6,0:09:30,0:02:30,0:00:00,22,MIA,free throw,,,,,,,1,,2,Gabe Vincent,1,,,made,,free throw 1/2,,,,,,Vincent Free Throw 1 of 2 (4 PTS)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,6,0:09:30,0:02:30,0:00:00,23,MIA,free throw,,,,,,,2,,2,Gabe Vincent,0,,,missed,,free throw 2/2,,,,,,MISS Vincent Free Throw 2 of 2
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,6,0:09:28,0:02:32,0:00:02,24,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:1 Def:1)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,9,0:09:11,0:02:49,0:00:17,25,PHI,shot,Seth Curry,,,,,,,,,Tobias Harris,3,,,made,,3pt jump shot,25,-159,195,9.1,69.5,Harris 25' 3PT Jump Shot (5 PTS) (Curry 1 AST)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,9,0:09:00,0:03:00,0:00:11,26,MIA,shot,,,,,,,,,,Duncan Robinson,0,,,missed,,3pt jump shot,26,67,246,18.3,29.6,MISS Robinson 25' 3PT Jump Shot
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,9,0:08:58,0:03:02,0:00:02,27,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:1 Def:2)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,9,0:08:53,0:03:07,0:00:05,28,PHI,shot,,,,,,,,,,Joel Embiid,0,,,missed,,3pt pullup jump shot,24,32,243,28.2,64.7,MISS Embiid 25' 3PT Pullup Jump Shot
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,6,9,0:08:50,0:03:10,0:00:03,29,MIA,rebound,,,,,,,,,,Kyle Lowry,,,,,,rebound defensive,,,,,,Lowry REBOUND (Off:0 Def:1)
22100419,2021-22 Regular Season,2021-12-15,Dewayne Dedmon,Kyle Lowry,Gabe Vincent,P.J. Tucker,Duncan Robinson,Joel Embiid,Matisse Thybulle,Tobias Harris,Seth Curry,Tyrese Maxey,1,9,9,0:08:45,0:03:15,0:00:05,30,MIA,shot,Kyle Lowry,,,,,,,,,Duncan Robinson,3,,,made,,3pt jump shot,25,51,244,19.9,29.400000000000002,Robinson 25' 3PT Jump Shot (3 PTS) (Lowry 2 AST)
