game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Derrick Favors,Steven Adams,,,,,,,Steven Adams,,Ja Morant,,,,jump ball,,,,,,Jump Ball Adams vs. Favors: Tip to Morant
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:46,0:00:14,0:00:14,3,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,driving floating jump shot,8,50,62,30.0,82.8,MISS Jackson Jr. 8' Driving Floating Jump Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:44,0:00:16,0:00:02,4,MEM,rebound,,,,,,,,,,Jaren Jackson Jr.,,,,,,rebound offensive,,,,,,Jackson Jr. REBOUND (Off:1 Def:0)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:43,0:00:17,0:00:01,5,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,floating jump shot,3,-4,29,24.6,86.1,MISS Jackson Jr. 3' Floating Jump Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:41,0:00:19,0:00:02,6,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:2 Def:0)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:40,0:00:20,0:00:01,7,MEM,shot,,,,,,,,,,Steven Adams,0,,,missed,,layup,1,10,-2,26.0,89.2,MISS Adams 1' Tip Layup Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:40,0:00:20,0:00:00,8,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:2 Def:0)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:38,0:00:22,0:00:02,9,MEM,shot,,,,,,,,,,Steven Adams,0,,,missed,,hook shot,5,-1,50,24.9,84.0,MISS Adams 5' Turnaround Hook Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:38,0:00:22,0:00:00,10,OKC,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:24,0:00:36,0:00:14,11,OKC,shot,,,,,,,,,,Jeremiah Robinson-Earl,0,,,missed,,jump shot,12,116,10,13.399999999999999,6.0,MISS Robinson-Earl 12' Jump Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,0,0:11:20,0:00:40,0:00:04,12,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:2 Def:1)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,2,0:11:10,0:00:50,0:00:10,13,MEM,shot,,,,,,,,,,Dillon Brooks,2,,,made,,layup,3,-7,25,24.3,86.5,Brooks 3' Driving Finger Roll Layup (2 PTS)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,2,0:10:54,0:01:06,0:00:16,14,OKC,shot,,,,,,,,,,Derrick Favors,0,,,missed,,jump shot,13,-126,15,37.6,6.5,MISS Favors 13' Jump Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,2,0:10:52,0:01:08,0:00:02,15,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:2 Def:2)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:49,0:01:11,0:00:03,16,MEM,shot,Ja Morant,,,,,,,,,Desmond Bane,3,,,made,,3pt running jump shot,27,185,193,43.5,69.7,Bane 27' 3PT Running Jump Shot (3 PTS) (Morant 1 AST)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:33,0:01:27,0:00:16,17,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,3pt pullup jump shot,25,23,253,22.7,30.3,MISS Giddey 25' 3PT Pullup Jump Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:30,0:01:30,0:00:03,18,OKC,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound offensive,,,,,,Favors REBOUND (Off:1 Def:1)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:23,0:01:37,0:00:07,19,OKC,shot,,,,,,,,,,Luguentz Dort,0,,,missed,,driving floating jump shot,7,-66,20,31.6,7.0,MISS Dort 7' Driving Floating Jump Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:18,0:01:42,0:00:05,20,OKC,rebound,,,,,,,,,,Josh Giddey,,,,,,rebound offensive,,,,,,Giddey REBOUND (Off:1 Def:0)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:18,0:01:42,0:00:00,21,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,dunk,0,0,0,25.0,5.0,MISS Giddey Tip Dunk Shot
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:18,0:01:42,0:00:00,22,MEM,rebound,,,,,,,,,,Desmond Bane,,,,,,rebound defensive,,,,,,Bane REBOUND (Off:0 Def:1)
22100460,2021-22 Regular Season,2021-12-20,Derrick Favors,Jeremiah Robinson-Earl,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Steven Adams,Ja Morant,Jaren Jackson Jr.,Dillon Brooks,Desmond Bane,1,0,5,0:10:01,0:01:59,0:00:17,23,MEM,shot,,,,Derrick Favors,,,,,,Steven Adams,0,,,missed,,driving layup,2,-16,10,23.4,88.0,MISS Adams 2' Driving Layup: Favors BLOCK (1 BLK)
