game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,0,0:12:00,0:00:00,0:00:00,2,GSW,jump ball,,Tristan Thompson,Kevon Looney,,,,,,,Tristan Thompson,,Tyrese Haliburton,,,,jump ball,,,,,,Jump Ball Looney vs. Thompson: Tip to Haliburton
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,0,0:11:45,0:00:15,0:00:15,3,SAC,turnover,,,,,,,,,,Tyrese Haliburton,,,bad pass,,Jonathan Kuminga,bad pass,,,,,,Kuminga STEAL (1 STL): Haliburton Bad Pass Turnover (P1.T1)
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,0,0:11:23,0:00:37,0:00:22,4,SAC,foul,,,,,,,,Draymond Green,,Chimezie Metu,,,s.foul,,,shooting,,,,,,Metu S.FOUL (P1.T1) (B.Taylor)
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,0,0:11:23,0:00:37,0:00:00,5,GSW,free throw,,,,,,,1,,2,Draymond Green,0,,,missed,,free throw 1/2,,,,,,MISS Green Free Throw 1 of 2
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,0,0:11:23,0:00:37,0:00:00,6,GSW,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,WARRIORS Rebound
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,1,0:11:23,0:00:37,0:00:00,7,GSW,free throw,,,,,,,2,,2,Draymond Green,1,,,made,,free throw 2/2,,,,,,Green Free Throw 2 of 2 (1 PTS)
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,1,0:11:05,0:00:55,0:00:18,8,SAC,shot,,,,,,,,,,Tristan Thompson,0,,,missed,,hook shot,6,29,57,22.1,10.7,MISS Thompson 6' Driving Hook Shot
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,1,0:11:03,0:00:57,0:00:02,9,GSW,rebound,,,,,,,,,,Jonathan Kuminga,,,,,,rebound defensive,,,,,,Kuminga REBOUND (Off:0 Def:1)
22100462,2021-22 Regular Season,2021-12-20,Tristan Thompson,Tyrese Haliburton,Chimezie Metu,Buddy Hield,Harrison Barnes,Kevon Looney,Jonathan Kuminga,Draymond Green,Damion Lee,Stephen Curry,1,0,4,0:10:50,0:01:10,0:00:13,10,GSW,shot,Draymond Green,,,,,,,,,Damion Lee,3,,,made,,3pt jump shot,28,-40,273,21.0,61.7,Lee 28' 3PT Jump Shot (3 PTS) (Green 1 AST)
