game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,0,0,0:12:00,0:00:00,0:00:00,2,CHI,jump ball,,Myles Turner,Nikola Vucevic,,,,,,,Nikola Vucevic,,Coby White,,,,jump ball,,,,,,Jump Ball Vucevic vs. Turner: Tip to White
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,0,2,0:11:37,0:00:23,0:00:23,3,CHI,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,jump shot,13,15,133,26.5,75.7,DeRozan 13' Turnaround Jump Shot (2 PTS)
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:11:10,0:00:50,0:00:27,4,IND,shot,Caris LeVert,,,,,,,,,Justin Holiday,3,,,made,,3pt jump shot,26,168,201,8.2,25.1,Holiday 26' 3PT Jump Shot (3 PTS) (LeVert 1 AST)
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:10:57,0:01:03,0:00:13,5,CHI,turnover,,,,,,,,,,Nikola Vucevic,,,bad pass,,Domantas Sabonis,bad pass,,,,,,Vucevic Bad Pass Turnover (P1.T1): Sabonis STEAL (1 STL)
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:10:49,0:01:11,0:00:08,6,IND,shot,,,,,,,,,,Caris LeVert,0,,,missed,,layup,2,17,7,23.3,5.7,MISS LeVert 2' Layup
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:10:45,0:01:15,0:00:04,7,CHI,rebound,,,,,,,,,,Javonte Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:10:38,0:01:22,0:00:07,8,CHI,shot,,,,,,,,,,Coby White,0,,,missed,,driving layup,2,-25,-1,22.5,89.1,MISS White 3' Driving Layup
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:10:36,0:01:24,0:00:02,9,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:10:29,0:01:31,0:00:07,10,IND,shot,,,,,,,,,,Chris Duarte,0,,,missed,,jump shot,9,87,1,16.299999999999997,5.1,MISS Duarte 9' Pullup Jump Shot
22100499,2021-22 Regular Season,2021-12-26,Myles Turner,Justin Holiday,Caris LeVert,Domantas Sabonis,Chris Duarte,Nikola Vucevic,Coby White,DeMar DeRozan,Javonte Green,Zach LaVine,1,3,2,0:10:25,0:01:35,0:00:04,11,CHI,rebound,,,,,,,,,,Coby White,,,,,,rebound defensive,,,,,,White REBOUND (Off:0 Def:1)
