game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,0,0:12:00,0:00:00,0:00:00,2,CHA,jump ball,,Christian Wood,Mason Plumlee,,,,,,,Mason Plumlee,,LaMelo Ball,,,,jump ball,,,,,,Jump Ball Plumlee vs. Wood: Tip to Ball
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:11:44,0:00:16,0:00:16,3,CHA,shot,Mason Plumlee,,,,,,,,,Gordon Hayward,3,,,made,,3pt jump shot,25,-92,233,15.799999999999999,65.7,Hayward 25' 3PT Jump Shot (3 PTS) (Plumlee 1 AST)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:11:30,0:00:30,0:00:14,4,HOU,shot,,,,Mason Plumlee,,,,,,David Nwaba,0,,,missed,,driving layup,2,-23,6,27.3,5.6,Plumlee BLOCK (1 BLK): MISS Nwaba 2' Driving Layup
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:11:27,0:00:33,0:00:03,5,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:11:24,0:00:36,0:00:03,6,CHA,shot,,,,,,,,,,Gordon Hayward,0,,,missed,,3pt jump shot,27,-167,209,8.3,68.1,MISS Hayward 27' 3PT Jump Shot
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:11:23,0:00:37,0:00:01,7,HOU,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Rockets Rebound
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:11:23,0:00:37,0:00:00,8,CHA,foul,,,,,,,,Christian Wood,,LaMelo Ball,,,l.b.foul,,,loose ball,,,,,,Ball L.B.FOUL (P1.T1) (S.Mehta)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:11:08,0:00:52,0:00:15,9,CHA,foul,,,,,,,,David Nwaba,,Jalen McDaniels,,,p.foul,,,personal,,,,,,McDaniels P.FOUL (P1.T2) (N.Sago)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:10:56,0:01:04,0:00:12,10,HOU,shot,,,,,,,,,,Josh Christopher,0,,,missed,,jump shot,11,-70,90,32.0,14.0,MISS Christopher 11' Pullup Jump Shot
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:10:54,0:01:06,0:00:02,11,CHA,rebound,,,,,,,,,,LaMelo Ball,,,,,,rebound defensive,,,,,,Ball REBOUND (Off:0 Def:1)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,3,0:10:48,0:01:12,0:00:06,12,HOU,foul,,,,,,,,Gordon Hayward,,Armoni Brooks,,,p.foul,,,personal,,,,,,Brooks P.FOUL (P1.T1) (J.Tiven)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,0,6,0:10:29,0:01:31,0:00:19,13,CHA,shot,Terry Rozier,,,,,,,,,Jalen McDaniels,3,,,made,,3pt jump shot,24,217,112,46.7,77.8,McDaniels 24' 3PT Jump Shot (3 PTS) (Rozier 1 AST)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,3,6,0:10:14,0:01:46,0:00:15,14,HOU,shot,Armoni Brooks,,,,,,,,,Christian Wood,3,,,made,,3pt jump shot,27,96,251,15.399999999999999,30.1,Wood 27' 3PT Jump Shot (3 PTS) (Brooks 1 AST)
22100501,2021-22 Regular Season,2021-12-27,Christian Wood,David Nwaba,Josh Christopher,Armoni Brooks,Eric Gordon,Mason Plumlee,LaMelo Ball,Gordon Hayward,Jalen McDaniels,Terry Rozier,1,3,8,0:09:59,0:02:01,0:00:15,15,CHA,shot,,,,,,,,,,Jalen McDaniels,2,,,made,,driving floating bank jump shot,8,-75,17,17.5,87.3,McDaniels 8' Driving Floating Bank Jump Shot (5 PTS)
