game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,0,0,0:12:00,0:00:00,0:00:00,2,WAS,jump ball,,Evan Mobley,Daniel Gafford,,,,,,,Evan Mobley,,Kevin Love,,,,jump ball,,,,,,Jump Ball Gafford vs. Mobley: Tip to Love
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,0,0,0:11:45,0:00:15,0:00:15,3,CLE,turnover,,,,,,,,,,Isaac Okoro,,,bad pass,,Daniel Gafford,bad pass,,,,,,Gafford STEAL (1 STL): Okoro Bad Pass Turnover (P1.T1)
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,0,3,0:11:38,0:00:22,0:00:07,4,WAS,shot,Brad Wanamaker,,,,,,,,,Kyle Kuzma,3,,,made,,3pt jump shot,24,233,36,48.3,85.4,Kuzma 24' 3PT Jump Shot (3 PTS) (Wanamaker 1 AST)
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,0,3,0:11:10,0:00:50,0:00:28,5,CLE,shot,,,,,,,,,,Kevin Pangos,0,,,missed,,layup,5,42,19,20.8,6.9,MISS Pangos 5' Driving Finger Roll Layup
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,2,3,0:11:03,0:00:57,0:00:07,6,CLE,shot,,,,,,,,,,Evan Mobley,2,,,made,,dunk,0,0,0,25.0,5.0,Mobley Putback Dunk (2 PTS)
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,2,3,0:11:03,0:00:57,0:00:00,7,CLE,rebound,,,,,,,,,,Evan Mobley,,,,,,rebound offensive,,,,,,Mobley REBOUND (Off:1 Def:0)
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,2,3,0:10:49,0:01:11,0:00:14,8,WAS,shot,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,3pt pullup jump shot,24,-235,13,1.5,87.7,MISS Caldwell-Pope 24' 3PT Pullup Jump Shot
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,2,3,0:10:47,0:01:13,0:00:02,9,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
22100527,2021-22 Regular Season,2021-12-30,Evan Mobley,Kevin Love,Isaac Okoro,Kevin Pangos,Lauri Markkanen,Daniel Gafford,Kyle Kuzma,Brad Wanamaker,Kentavious Caldwell-Pope,Bradley Beal,1,2,3,0:10:42,0:01:18,0:00:05,10,CLE,shot,,,,Kyle Kuzma,,,,,,Lauri Markkanen,0,,,missed,,cutting layup shot,5,-39,27,28.9,7.7,Kuzma BLOCK (1 BLK): MISS Markkanen 5' Cutting Layup Shot
