game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,0,0,0:12:00,0:00:00,0:00:00,2,CLE,jump ball,,Clint Capela,Jarrett Allen,,,,,,,Clint Capela,,Trae Young,,,,jump ball,,,,,,Jump Ball Allen vs. Capela: Tip to Young
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,0,0:11:47,0:00:13,0:00:13,3,ATL,shot,Trae Young,,,,,,,,,Clint Capela,2,,,made,,dunk,0,1,5,24.9,5.5,Capela 1' Alley Oop Dunk (2 PTS) (Young 1 AST)
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,0,0:11:21,0:00:39,0:00:26,4,CLE,shot,,,,,,,,,,Lauri Markkanen,0,,,missed,,jump shot,17,71,151,32.1,73.9,MISS Markkanen 17' Pullup Jump Shot
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,0,0:11:18,0:00:42,0:00:03,5,ATL,rebound,,,,,,,,,,Trae Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,0,0:11:07,0:00:53,0:00:11,6,ATL,shot,,,,,,,,,,Cam Reddish,0,,,missed,,3pt jump shot,25,-158,194,40.8,24.400000000000002,MISS Reddish 25' 3PT Jump Shot
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,0,0:11:05,0:00:55,0:00:02,7,CLE,rebound,,,,,,,,,,Evan Mobley,,,,,,rebound defensive,,,,,,Mobley REBOUND (Off:0 Def:1)
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,2,0:10:55,0:01:05,0:00:10,8,CLE,shot,,,,,,,,,,Jarrett Allen,2,,,made,,layup,1,0,-6,25.0,89.6,Allen 1' Layup (2 PTS)
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,2,0:10:55,0:01:05,0:00:00,9,ATL,foul,,,,,,,,Jarrett Allen,,Clint Capela,,,s.foul,,,shooting,,,,,,Capela S.FOUL (P1.T1) (C.Aubry)
22100533,2021-22 Regular Season,2021-12-31,Clint Capela,Trae Young,Cam Reddish,Skylar Mays,Wes Iwundu,Jarrett Allen,Lauri Markkanen,Evan Mobley,Kevin Pangos,Isaac Okoro,1,2,2,0:10:55,0:01:05,0:00:00,10,CLE,free throw,,,,,,,1,,1,Jarrett Allen,0,,,missed,,free throw 1/1,,,,,,MISS Allen Free Throw 1 of 1
