game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Omer Yurtseven,Damian Jones,,,,,,,Omer Yurtseven,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Jones vs. Yurtseven: Tip to Lowry
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:11:44,0:00:16,0:00:16,3,MIA,shot,,,,,,,,,,Tyler Herro,0,,,missed,,3pt jump shot,26,-145,210,39.5,26.0,MISS Herro 26' 3PT Jump Shot
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:11:37,0:00:23,0:00:07,4,SAC,rebound,,,,,,,,,,Tyrese Haliburton,,,,,,rebound defensive,,,,,,Haliburton REBOUND (Off:0 Def:1)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:11:31,0:00:29,0:00:06,5,SAC,turnover,,,,,,,,,,Damian Jones,,,,,Caleb Martin,lost ball,,,,,,Jones Lost Ball Turnover (P1.T1): Martin STEAL (1 STL)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:11:29,0:00:31,0:00:02,6,MIA,turnover,,,,,,,,,,Omer Yurtseven,,,bad pass,,,bad pass,,,,,,Yurtseven Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:11:14,0:00:46,0:00:15,7,SAC,shot,,,,,,,,,,De'Aaron Fox,0,,,missed,,3pt jump shot,24,233,58,48.3,83.2,MISS Fox 24' 3PT Jump Shot
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:11:11,0:00:49,0:00:03,8,MIA,rebound,,,,,,,,,,Omer Yurtseven,,,,,,rebound defensive,,,,,,Yurtseven REBOUND (Off:0 Def:1)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:11:00,0:01:00,0:00:11,9,MIA,shot,,,,,,,,,,Tyler Herro,0,,,missed,,fadeaway jumper,11,-72,86,32.2,13.6,MISS Herro 11' Fadeaway Jumper
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:10:56,0:01:04,0:00:04,10,SAC,rebound,,,,,,,,,,Marvin Bagley III,,,,,,rebound defensive,,,,,,Bagley III REBOUND (Off:0 Def:1)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,0,0:10:50,0:01:10,0:00:06,11,MIA,foul,,,,,,,,Damian Jones,,Omer Yurtseven,,,s.foul,,,shooting,,,,,,Yurtseven S.FOUL (P1.T1) (K.Scott)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,1,0:10:50,0:01:10,0:00:00,12,SAC,free throw,,,,,,,1,,2,Damian Jones,1,,,made,,free throw 1/2,,,,,,Jones Free Throw 1 of 2 (1 PTS)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,1,0:10:50,0:01:10,0:00:00,13,SAC,free throw,,,,,,,2,,2,Damian Jones,0,,,missed,,free throw 2/2,,,,,,MISS Jones Free Throw 2 of 2
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,1,0:10:47,0:01:13,0:00:03,14,SAC,rebound,,,,,,,,,,Marvin Bagley III,,,,,,rebound offensive,,,,,,Bagley III REBOUND (Off:1 Def:1)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,1,0:10:46,0:01:14,0:00:01,15,SAC,shot,,,,,,,,,,Marvin Bagley III,0,,,missed,,hook shot,6,-53,29,19.7,86.1,MISS Bagley III 6' Hook Shot
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,0,1,0:10:44,0:01:16,0:00:02,16,MIA,rebound,,,,,,,,,,Tyler Herro,,,,,,rebound defensive,,,,,,Herro REBOUND (Off:0 Def:1)
22100548,2021-22 Regular Season,2022-01-02,Omer Yurtseven,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Damian Jones,Tyrese Haliburton,De'Aaron Fox,Marvin Bagley III,Harrison Barnes,1,2,1,0:10:27,0:01:33,0:00:17,17,MIA,shot,Kyle Lowry,,,,,,,,,Omer Yurtseven,2,,,made,,dunk,1,0,7,25.0,5.7,Yurtseven 1' Alley Oop Dunk (2 PTS) (Lowry 1 AST)
