game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Dwight Powell,Isaiah Roby,,,,,,,Dwight Powell,,Luka Doncic,,,,jump ball,,,,,,Jump Ball Roby vs. Powell: Tip to Doncic
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,0,0,0:11:40,0:00:20,0:00:20,3,OKC,foul,,,,,,,,Luka Doncic,,Ty Jerome,,,p.foul,,,personal,,,,,,Jerome P.FOUL (P1.T1) (D.Mosher)
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,0,0,0:11:30,0:00:30,0:00:10,4,OKC,violation,,,,,,,,,,Isaiah Roby,,,,,,kicked ball,,,,,,Roby Violation:Kicked Ball (L.Wood)
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,2,0,0:11:24,0:00:36,0:00:06,5,DAL,shot,,,,,,,,,,Jalen Brunson,2,,,made,,jump shot,14,-132,43,38.2,9.3,Brunson 14' Pullup Jump Shot (2 PTS)
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,2,0,0:11:00,0:01:00,0:00:24,6,OKC,shot,,,,,,,,,,Aleksej Pokusevski,0,,,missed,,jump shot,4,-42,14,20.8,87.6,MISS Pokusevski 4' Pullup Jump Shot
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,2,0,0:10:58,0:01:02,0:00:02,7,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,2,0,0:10:48,0:01:12,0:00:10,8,DAL,turnover,,,,,,,,,,Luka Doncic,,,bad pass,,Josh Giddey,bad pass,,,,,,Giddey STEAL (1 STL): Doncic Bad Pass Turnover (P1.T1)
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,2,0,0:10:47,0:01:13,0:00:01,9,DAL,foul,,,,,,,,Josh Giddey,,Maxi Kleber,,,personal take foul,,,personal take,,,,,,Kleber Personal Take Foul (P1.T1) (L.Wood)
22100550,2021-22 Regular Season,2022-01-02,Dwight Powell,Luka Doncic,Jalen Brunson,Maxi Kleber,Dorian Finney-Smith,Isaiah Roby,Ty Jerome,Aleksej Pokusevski,Josh Giddey,Aaron Wiggins,1,2,2,0:10:39,0:01:21,0:00:08,10,OKC,shot,,,,,,,,,,Josh Giddey,2,,,made,,jump shot,11,-104,41,14.6,84.9,Giddey 11' Step Back Jump Shot (2 PTS)
