game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,0,0,0:12:00,0:00:00,0:00:00,2,NOP,jump ball,,Rudy Gobert,Jonas Valanciunas,,,,,,,Rudy Gobert,,Royce O'Neale,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Gobert: Tip to O'Neale
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,0,0,0:11:44,0:00:16,0:00:16,3,NOP,foul,,,,,,,,Rudy Gobert,,Jonas Valanciunas,,,p.foul,,,personal,,,,,,Valanciunas P.FOUL (P1.T1) (L.Holtkamp)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,0,0:11:33,0:00:27,0:00:11,4,UTA,shot,,,,,,,,,,Donovan Mitchell,3,,,made,,3pt step back jump shot,25,184,173,6.599999999999998,22.3,Mitchell 25' 3PT Step Back Jump Shot (3 PTS)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,2,0:11:09,0:00:51,0:00:24,5,NOP,shot,,,,,,,,,,Jonas Valanciunas,2,,,made,,turnaround fadeaway,12,25,114,27.5,77.6,Valanciunas 12' Turnaround Fadeaway (2 PTS)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,2,0:10:52,0:01:08,0:00:17,6,UTA,shot,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,jump shot,13,-74,110,32.4,16.0,MISS Bogdanovic 13' Turnaround Jump Shot
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,2,0:10:49,0:01:11,0:00:03,7,NOP,rebound,,,,,,,,,,Jonas Valanciunas,,,,,,rebound defensive,,,,,,Valanciunas REBOUND (Off:0 Def:1)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,2,0:10:32,0:01:28,0:00:17,8,NOP,turnover,,,,,,,,,,Jonas Valanciunas,,,bad pass,,Donovan Mitchell,bad pass,,,,,,Valanciunas Bad Pass Turnover (P1.T1): Mitchell STEAL (1 STL)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,2,0:10:28,0:01:32,0:00:04,9,UTA,shot,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,3pt running jump shot,26,210,162,4.0,21.2,MISS Bogdanovic 27' 3PT Running Jump Shot
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,2,0:10:24,0:01:36,0:00:04,10,NOP,rebound,,,,,,,,,,Josh Hart,,,,,,rebound defensive,,,,,,Hart REBOUND (Off:0 Def:1)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,2,0:10:20,0:01:40,0:00:04,11,UTA,violation,,,,,,,,,,Mike Conley,,,,,,kicked ball,,,,,,Conley Violation:Kicked Ball (C.Kirkland)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,5,0:10:14,0:01:46,0:00:06,12,NOP,shot,Jonas Valanciunas,,,,,,,,,Devonte' Graham,3,,,made,,3pt jump shot,27,119,243,36.9,64.7,Graham 27' 3PT Jump Shot (3 PTS) (Valanciunas 1 AST)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,5,0:09:55,0:02:05,0:00:19,13,UTA,shot,,,,,,,,,,Mike Conley,0,,,missed,,jump shot,20,-72,189,32.2,23.900000000000002,MISS Conley 20' Pullup Jump Shot
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,5,0:09:52,0:02:08,0:00:03,14,NOP,rebound,,,,,,,,,,Jonas Valanciunas,,,,,,rebound defensive,,,,,,Valanciunas REBOUND (Off:0 Def:2)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:43,0:02:17,0:00:09,15,NOP,shot,,,,,,,,,,Jonas Valanciunas,3,,,made,,3pt jump shot,24,-112,211,13.799999999999999,67.9,Valanciunas 24' 3PT Jump Shot (5 PTS)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:27,0:02:33,0:00:16,16,UTA,shot,,,,,,,,,,Mike Conley,0,,,missed,,floating jump shot,7,-4,74,25.4,12.4,MISS Conley 7' Floating Jump Shot
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:25,0:02:35,0:00:02,17,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:0)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:24,0:02:36,0:00:01,18,NOP,foul,,,,,,,,Rudy Gobert,,Jonas Valanciunas,,,s.foul,,,shooting,,,,,,Valanciunas S.FOUL (P2.T2) (C.Kirkland)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:24,0:02:36,0:00:00,19,UTA,free throw,,,,,,,1,,2,Rudy Gobert,0,,,missed,,free throw 1/2,,,,,,MISS Gobert Free Throw 1 of 2
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:24,0:02:36,0:00:00,20,UTA,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:24,0:02:36,0:00:00,21,UTA,free throw,,,,,,,2,,2,Rudy Gobert,0,,,missed,,free throw 2/2,,,,,,MISS Gobert Free Throw 2 of 2
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Willy Hernangomez,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:24,0:02:36,0:00:00,22,NOP,substitution,,,,,Willy Hernangomez,Jonas Valanciunas,,,,Jonas Valanciunas,,,,,,sub,,,,,,SUB: Hernangomez FOR Valanciunas
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Willy Hernangomez,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:22,0:02:38,0:00:02,23,NOP,rebound,,,,,,,,,,Herbert Jones,,,,,,rebound defensive,,,,,,Jones REBOUND (Off:0 Def:1)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Willy Hernangomez,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:09:01,0:02:59,0:00:21,24,NOP,shot,,,,,,,,,,Devonte' Graham,0,,,missed,,3pt step back jump shot,28,212,177,46.2,71.3,MISS Graham 28' 3PT Step Back Jump Shot
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Willy Hernangomez,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:08:58,0:03:02,0:00:03,25,NOP,rebound,,,,,,,,,,Willy Hernangomez,,,,,,rebound offensive,,,,,,Hernangomez REBOUND (Off:1 Def:0)
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Willy Hernangomez,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:08:54,0:03:06,0:00:04,26,NOP,shot,,,,,,,,,,Brandon Ingram,0,,,missed,,jump shot,13,130,25,38.0,86.5,MISS Ingram 13' Pullup Jump Shot
22100557,2021-22 Regular Season,2022-01-03,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Bojan Bogdanovic,Mike Conley,Willy Hernangomez,Josh Hart,Devonte' Graham,Herbert Jones,Brandon Ingram,1,3,8,0:08:50,0:03:10,0:00:04,27,UTA,rebound,,,,,,,,,,Mike Conley,,,,,,rebound defensive,,,,,,Conley REBOUND (Off:0 Def:1)
