game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Joel Embiid,Mo Bamba,,,,,,,Joel Embiid,,Seth Curry,,,,jump ball,,,,,,Jump Ball Bamba vs. Embiid: Tip to Curry
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,0,0,0:11:46,0:00:14,0:00:14,3,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,hook shot,11,-42,106,29.2,15.600000000000001,MISS Harris 11' Driving Hook Shot
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,0,0,0:11:41,0:00:19,0:00:05,4,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:1)
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,0,3,0:11:30,0:00:30,0:00:11,5,ORL,shot,Cole Anthony,,,,,,,,,Mo Bamba,3,,,made,,3pt jump shot,24,-62,237,18.8,65.3,Bamba 24' 3PT Jump Shot (3 PTS) (Anthony 1 AST)
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,3,0:11:15,0:00:45,0:00:15,6,PHI,shot,Seth Curry,,,,,,,,,Furkan Korkmaz,2,,,made,,driving layup,1,0,11,25.0,6.1,Korkmaz 1' Driving Layup (2 PTS) (Curry 1 AST)
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:11:05,0:00:55,0:00:10,7,ORL,shot,Wendell Carter Jr.,,,,,,,,,Gary Harris,3,,,made,,3pt jump shot,24,-136,198,11.399999999999999,69.2,Harris 24' 3PT Jump Shot (3 PTS) (Carter Jr. 1 AST)
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:48,0:01:12,0:00:17,8,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,3pt jump shot,26,-179,191,42.900000000000006,24.1,MISS Harris 26' 3PT Jump Shot
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:45,0:01:15,0:00:03,9,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:2)
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:34,0:01:26,0:00:11,10,ORL,shot,,,,,,,,,,Cole Anthony,0,,,missed,,jump shot,8,-45,71,20.5,81.9,MISS Anthony 8' Pullup Jump Shot
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:31,0:01:29,0:00:03,11,ORL,rebound,,,,,,,,,,Mo Bamba,,,,,,rebound offensive,,,,,,Bamba REBOUND (Off:1 Def:0)
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:28,0:01:32,0:00:03,12,ORL,shot,,,,,,,,,,Cole Anthony,0,,,missed,,3pt jump shot,23,-219,69,3.099999999999998,82.1,MISS Anthony 3PT Jump Shot
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:23,0:01:37,0:00:05,13,ORL,rebound,,,,,,,,,,Gary Harris,,,,,,rebound offensive,,,,,,Harris REBOUND (Off:1 Def:0)
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:21,0:01:39,0:00:02,14,ORL,shot,,,,,,,,,,Gary Harris,0,,,missed,,driving reverse layup,3,31,-1,28.1,89.1,MISS Harris 3' Driving Reverse Layup
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:19,0:01:41,0:00:02,15,ORL,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,MAGIC Rebound
22100568,2021-22 Regular Season,2022-01-05,Joel Embiid,Seth Curry,Tobias Harris,Furkan Korkmaz,Danny Green,Mo Bamba,Wendell Carter Jr.,Cole Anthony,Gary Harris,Franz Wagner,1,2,6,0:10:17,0:01:43,0:00:02,16,PHI,foul,,,,,,,,Wendell Carter Jr.,,Joel Embiid,,,s.foul,,,shooting,,,,,,Embiid S.FOUL (P1.T1) (S.Wall)
