game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Jakob Poeltl,Robert Williams III,,,,,,,Jakob Poeltl,,Keldon Johnson,,,,jump ball,,,,,,Jump Ball Williams III vs. Poeltl: Tip to Johnson
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,0,0:11:40,0:00:20,0:00:20,3,SAS,shot,,,,,,,,,,Derrick White,0,,,missed,,3pt jump shot,25,-138,211,38.8,26.1,MISS White 25' 3PT Jump Shot
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,0,0:11:36,0:00:24,0:00:04,4,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,0,0:11:22,0:00:38,0:00:14,5,SAS,foul,,,,,,,,Jayson Tatum,,Devin Vassell,,,p.foul,,,personal,,,,,,Vassell P.FOUL (P1.T1) (B.Taylor)
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,2,0:11:13,0:00:47,0:00:09,6,BOS,shot,Marcus Smart,,,,,,,,,Jaylen Brown,2,,,made,,layup,5,39,28,28.9,86.2,Brown 5' Driving Finger Roll Layup (2 PTS) (Smart 1 AST)
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,2,0:11:07,0:00:53,0:00:06,7,SAS,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,Spurs Timeout: Regular (Reg.1 Short 0)
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,2,0:11:05,0:00:55,0:00:02,8,SAS,turnover,,,,,,,,,,Devin Vassell,,,bad pass,,Jaylen Brown,bad pass,,,,,,Brown STEAL (1 STL): Vassell Bad Pass Turnover (P1.T1)
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,2,0:11:01,0:00:59,0:00:04,9,BOS,shot,,,,,,,,,,Jaylen Brown,0,,,missed,,layup,6,-21,55,22.9,83.5,MISS Brown 6' Running Finger Roll Layup
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,2,0:10:59,0:01:01,0:00:02,10,BOS,rebound,,,,,,,,,,Robert Williams III,,,,,,rebound offensive,,,,,,Williams III REBOUND (Off:1 Def:0)
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,0,4,0:10:59,0:01:01,0:00:00,11,BOS,shot,,,,,,,,,,Robert Williams III,2,,,made,,dunk,0,0,0,25.0,89.0,Williams III Tip Dunk Shot (2 PTS)
22100570,2021-22 Regular Season,2022-01-05,Jakob Poeltl,Keldon Johnson,Derrick White,Devin Vassell,Dejounte Murray,Robert Williams III,Al Horford,Jayson Tatum,Jaylen Brown,Marcus Smart,1,2,4,0:10:47,0:01:13,0:00:12,12,SAS,shot,Dejounte Murray,,,,,,,,,Devin Vassell,2,,,made,,driving floating jump shot,7,-18,67,26.8,11.7,Vassell 7' Driving Floating Jump Shot (2 PTS) (Murray 1 AST)
