game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Clint Capela,Damian Jones,,,,,,,Clint Capela,,Delon Wright,,,,jump ball,,,,,,Jump Ball Jones vs. Capela: Tip to Wright
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:11:40,0:00:20,0:00:20,3,ATL,shot,,,,,,,,,,Danilo Gallinari,0,,,missed,,3pt jump shot,25,-213,139,46.3,18.9,MISS Gallinari 25' 3PT Jump Shot
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:11:34,0:00:26,0:00:06,4,ATL,rebound,,,,,,,,,,Timothe Luwawu-Cabarrot,,,,,,rebound offensive,,,,,,Luwawu-Cabarrot REBOUND (Off:1 Def:0)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:11:33,0:00:27,0:00:01,5,ATL,shot,,,,,,,,,,Timothe Luwawu-Cabarrot,0,,,missed,,jump shot,13,49,116,20.1,16.6,MISS Luwawu-Cabarrot 13' Jump Shot
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:11:31,0:00:29,0:00:02,6,SAC,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:1)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:11:24,0:00:36,0:00:07,7,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,,,Clint Capela,lost ball,,,,,,Fox Lost Ball Turnover (P1.T1): Capela STEAL (1 STL)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,0,0,0:11:20,0:00:40,0:00:04,8,SAC,foul,,,,,,,,Timothe Luwawu-Cabarrot,,De'Aaron Fox,,,s.foul,,,shooting,,,,,,Fox S.FOUL (P1.T1) (T.Maddox)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,1,0,0:11:20,0:00:40,0:00:00,9,ATL,free throw,,,,,,,1,,2,Timothe Luwawu-Cabarrot,1,,,made,,free throw 1/2,,,,,,Luwawu-Cabarrot Free Throw 1 of 2 (1 PTS)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,1,0,0:11:20,0:00:40,0:00:00,10,ATL,free throw,,,,,,,2,,2,Timothe Luwawu-Cabarrot,0,,,missed,,free throw 2/2,,,,,,MISS Luwawu-Cabarrot Free Throw 2 of 2
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,1,0,0:11:17,0:00:43,0:00:03,11,SAC,rebound,,,,,,,,,,Damian Jones,,,,,,rebound defensive,,,,,,Jones REBOUND (Off:0 Def:1)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,1,0,0:10:57,0:01:03,0:00:20,12,SAC,turnover,,,,,,,,,,Marvin Bagley III,,,bad pass,,Cam Reddish,bad pass,,,,,,Bagley III Bad Pass Turnover (P1.T2): Reddish STEAL (1 STL)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,1,0,0:10:52,0:01:08,0:00:05,13,ATL,shot,,,,,,,,,,Cam Reddish,0,,,missed,,layup,3,-22,15,27.2,6.5,MISS Reddish 3' Running Layup
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,1,0,0:10:50,0:01:10,0:00:02,14,ATL,rebound,,,,,,,,,,Clint Capela,,,,,,rebound offensive,,,,,,Capela REBOUND (Off:1 Def:0)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,3,0,0:10:49,0:01:11,0:00:01,15,ATL,shot,,,,,,,,,,Clint Capela,2,,,made,,layup,2,-4,23,25.4,7.300000000000001,Capela 2' Putback Layup (2 PTS)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,3,0,0:10:35,0:01:25,0:00:14,16,SAC,shot,,,,,,,,,,Tyrese Haliburton,0,,,missed,,jump shot,18,168,57,41.8,83.3,MISS Haliburton 18' Pullup Jump Shot
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,3,0,0:10:31,0:01:29,0:00:04,17,ATL,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:1)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,3,0,0:10:22,0:01:38,0:00:09,18,SAC,foul,,,,,,,,Delon Wright,,Damian Jones,,,s.foul,,,shooting,,,,,,Jones S.FOUL (P1.T2) (J.Goble)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,4,0,0:10:22,0:01:38,0:00:00,19,ATL,free throw,,,,,,,1,,2,Delon Wright,1,,,made,,free throw 1/2,,,,,,Wright Free Throw 1 of 2 (1 PTS)
22100577,2021-22 Regular Season,2022-01-05,Clint Capela,Delon Wright,Danilo Gallinari,Timothe Luwawu-Cabarrot,Cam Reddish,Damian Jones,Harrison Barnes,De'Aaron Fox,Marvin Bagley III,Tyrese Haliburton,1,5,0,0:10:22,0:01:38,0:00:00,20,ATL,free throw,,,,,,,2,,2,Delon Wright,1,,,made,,free throw 2/2,,,,,,Wright Free Throw 2 of 2 (2 PTS)
