game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Mitchell Robinson,Robert Williams III,,,,,,,Robert Williams III,,Marcus Smart,,,,jump ball,,,,,,Jump Ball Williams III vs. Robinson: Tip to Smart
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,0,2,0:11:44,0:00:16,0:00:16,3,BOS,shot,Jaylen Brown,,,,,,,,,Jayson Tatum,2,,,made,,driving layup,8,-59,60,19.1,83.0,Tatum 8' Driving Layup (2 PTS) (Brown 1 AST)
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,2,2,0:11:27,0:00:33,0:00:17,4,NYK,shot,Immanuel Quickley,,,,,,,,,Mitchell Robinson,2,,,made,,dunk,1,7,3,24.3,5.3,Robinson 1' Dunk (2 PTS) (Quickley 1 AST)
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,2,2,0:11:13,0:00:47,0:00:14,5,BOS,shot,,,,,,,,,,Al Horford,0,,,missed,,jump shot,20,-27,202,22.3,68.8,MISS Horford 20' Jump Shot
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,2,2,0:11:10,0:00:50,0:00:03,6,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound defensive,,,,,,Robinson REBOUND (Off:0 Def:1)
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,2,2,0:11:03,0:00:57,0:00:07,7,NYK,shot,,,,,,,,,,Alec Burks,0,,,missed,,3pt jump shot,25,17,248,23.3,29.8,MISS Burks 25' 3PT Jump Shot
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,2,2,0:11:00,0:01:00,0:00:03,8,NYK,rebound,,,,,,,,,,Mitchell Robinson,,,,,,rebound offensive,,,,,,Robinson REBOUND (Off:1 Def:1)
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,5,2,0:10:54,0:01:06,0:00:06,9,NYK,shot,Julius Randle,,,,,,,,,Immanuel Quickley,3,,,made,,3pt pullup jump shot,27,130,240,12.0,29.0,Quickley 27' 3PT Pullup Jump Shot (3 PTS) (Randle 1 AST)
22100595,2021-22 Regular Season,2022-01-08,Mitchell Robinson,Immanuel Quickley,Alec Burks,Julius Randle,RJ Barrett,Robert Williams III,Marcus Smart,Jayson Tatum,Jaylen Brown,Al Horford,1,5,4,0:10:32,0:01:28,0:00:22,10,BOS,shot,Al Horford,,,,,,,,,Jayson Tatum,2,,,made,,jump shot,18,86,159,33.6,73.1,Tatum 18' Pullup Jump Shot (4 PTS) (Horford 1 AST)
