game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,0,0:12:00,0:00:00,0:00:00,2,CHA,jump ball,,Bobby Portis,Mason Plumlee,,,,,,,Mason Plumlee,,Terry Rozier,,,,jump ball,,,,,,Jump Ball Plumlee vs. Portis: Tip to Rozier
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,0,0:11:36,0:00:24,0:00:24,3,CHA,shot,,,,,,,,,,LaMelo Ball,0,,,missed,,3pt jump shot,28,-169,224,8.099999999999998,66.6,MISS Ball 28' 3PT Jump Shot
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,2,0:11:29,0:00:31,0:00:07,4,CHA,shot,,,,,,,,,,Mason Plumlee,2,,,made,,dunk,0,0,0,25.0,89.0,Plumlee Tip Dunk Shot (2 PTS)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,2,0:11:29,0:00:31,0:00:00,5,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound offensive,,,,,,Plumlee REBOUND (Off:1 Def:0)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,2,0:11:11,0:00:49,0:00:18,6,MIL,shot,,,,,,,,,,Khris Middleton,0,,,missed,,3pt step back jump shot,26,-224,123,47.400000000000006,17.3,MISS Middleton 26' 3PT Step Back Jump Shot
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,2,0:11:08,0:00:52,0:00:03,7,CHA,rebound,,,,,,,,,,Gordon Hayward,,,,,,rebound defensive,,,,,,Hayward REBOUND (Off:0 Def:1)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,2,0:11:01,0:00:59,0:00:07,8,CHA,shot,,,,,,,,,,Miles Bridges,0,,,missed,,driving reverse layup,1,-12,8,23.8,88.2,MISS Bridges 1' Driving Reverse Layup
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,0,2,0:10:59,0:01:01,0:00:02,9,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,2,2,0:10:51,0:01:09,0:00:08,10,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,dunk,2,10,11,24.0,6.1,Antetokounmpo 1' Dunk (2 PTS)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,2,4,0:10:36,0:01:24,0:00:15,11,CHA,shot,Mason Plumlee,,,,,,,,,Gordon Hayward,2,,,made,,jump shot,21,-21,210,22.9,68.0,Hayward 21' Jump Shot (2 PTS) (Plumlee 1 AST)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,2,4,0:10:22,0:01:38,0:00:14,12,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,3pt jump shot,26,108,235,14.2,28.5,MISS Antetokounmpo 26' 3PT Jump Shot
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,2,4,0:10:19,0:01:41,0:00:03,13,CHA,rebound,,,,,,,,,,LaMelo Ball,,,,,,rebound defensive,,,,,,Ball REBOUND (Off:0 Def:1)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,2,4,0:10:13,0:01:47,0:00:06,14,CHA,shot,,,,,,,,,,LaMelo Ball,0,,,missed,,floating jump shot,4,-33,25,21.7,86.5,MISS Ball 4' Floating Jump Shot
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,2,4,0:10:10,0:01:50,0:00:03,15,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:2)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,2,4,0:10:10,0:01:50,0:00:00,16,CHA,foul,,,,,,,,Giannis Antetokounmpo,,Terry Rozier,,,p.foul,,,personal,,,,,,Rozier P.FOUL (P1.T1) (S.Twardoski)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,5,4,0:09:59,0:02:01,0:00:11,17,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Wesley Matthews,3,,,made,,3pt jump shot,26,-109,239,35.9,28.900000000000002,Matthews 26' 3PT Jump Shot (3 PTS) (Antetokounmpo 1 AST)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,5,4,0:09:52,0:02:08,0:00:07,18,CHA,turnover,,,,,,,,,,LaMelo Ball,,,traveling,,,traveling,,,,,,Ball Traveling Turnover (P1.T1)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,5,4,0:09:43,0:02:17,0:00:09,19,MIL,shot,,,,,,,,,,Jordan Nwora,0,,,missed,,3pt jump shot,27,-175,200,42.5,25.0,MISS Nwora 27' 3PT Jump Shot
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,5,4,0:09:39,0:02:21,0:00:04,20,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,5,4,0:09:33,0:02:27,0:00:06,21,CHA,shot,,,,,,,,,,LaMelo Ball,0,,,missed,,driving layup,2,-23,9,22.7,88.1,MISS Ball 2' Driving Layup
22100607,2021-22 Regular Season,2022-01-10,Bobby Portis,Khris Middleton,Giannis Antetokounmpo,Wesley Matthews,Jordan Nwora,Mason Plumlee,Terry Rozier,LaMelo Ball,Gordon Hayward,Miles Bridges,1,5,4,0:09:30,0:02:30,0:00:03,22,MIL,rebound,,,,,,,,,,Bobby Portis,,,,,,rebound defensive,,,,,,Portis REBOUND (Off:0 Def:1)
