game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,,Isaiah Stewart,,,,,,,,,,,,,jump ball,,,,,, 
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,0,0:11:58,0:00:02,0:00:02,3,PHX,violation,,,,,,,,,,Deandre Ayton,,,,,,jump ball,,,,,,Ayton Violation:Jump Ball (E.Scott)
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,0,0:11:44,0:00:16,0:00:14,4,DET,shot,,,,,,,,,,Saddiq Bey,0,,,missed,,floating jump shot,12,-78,87,17.2,80.3,MISS Bey 12' Floating Jump Shot
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,0,0:11:41,0:00:19,0:00:03,5,PHX,rebound,,,,,,,,,,Jae Crowder,,,,,,rebound defensive,,,,,,Crowder REBOUND (Off:0 Def:1)
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,0,0:11:23,0:00:37,0:00:18,6,PHX,shot,,,,,,,,,,Mikal Bridges,0,,,missed,,3pt jump shot,26,142,216,10.799999999999999,26.6,MISS Bridges 26' 3PT Jump Shot
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,0,0:11:20,0:00:40,0:00:03,7,DET,rebound,,,,,,,,,,Isaiah Stewart,,,,,,rebound defensive,,,,,,Stewart REBOUND (Off:0 Def:1)
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,0,2,0:11:13,0:00:47,0:00:07,8,DET,shot,,,,,,,,,,Cade Cunningham,2,,,made,,jump shot,16,123,106,37.3,78.4,Cunningham 16' Pullup Jump Shot (2 PTS)
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,2,2,0:11:00,0:01:00,0:00:13,9,PHX,shot,Chris Paul,,,,,,,,,Devin Booker,2,,,made,,jump shot,20,-98,178,34.8,22.8,Booker 20' Jump Shot (2 PTS) (Paul 1 AST)
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,2,4,0:10:41,0:01:19,0:00:19,10,DET,shot,,,,,,,,,,Cade Cunningham,2,,,made,,driving layup,3,-10,24,24.0,86.6,Cunningham 3' Driving Layup (4 PTS)
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,5,4,0:10:28,0:01:32,0:00:13,11,PHX,shot,Deandre Ayton,,,,,,,,,Devin Booker,3,,,made,,3pt jump shot,25,44,249,20.6,29.900000000000002,Booker 25' 3PT Jump Shot (5 PTS) (Ayton 1 AST)
22100617,2021-22 Regular Season,2022-01-16,Deandre Ayton,Jae Crowder,Mikal Bridges,Devin Booker,Chris Paul,Isaiah Stewart,Saddiq Bey,Cade Cunningham,Killian Hayes,Hamidou Diallo,1,5,6,0:10:08,0:01:52,0:00:20,12,DET,shot,,,,,,,,,,Killian Hayes,2,,,made,,driving layup,4,-32,32,21.8,85.8,Hayes 5' Driving Layup (2 PTS)
