game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Jusuf Nurkic,Robin Lopez,,,,,,,Robin Lopez,,Cole Anthony,,,,jump ball,,,,,,Jump Ball Lopez vs. Nurkic: Tip to Anthony
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,0,2,0:11:41,0:00:19,0:00:19,3,ORL,shot,,,,,,,,,,Robin Lopez,2,,,made,,hook shot,9,85,22,33.5,86.8,Lopez 9' Turnaround Hook Shot (2 PTS)
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,0,2,0:11:22,0:00:38,0:00:19,4,POR,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt jump shot,27,-140,228,39.0,27.8,MISS McCollum 27' 3PT Jump Shot
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,0,2,0:11:19,0:00:41,0:00:03,5,ORL,rebound,,,,,,,,,,Cole Anthony,,,,,,rebound defensive,,,,,,Anthony REBOUND (Off:0 Def:1)
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,0,2,0:11:07,0:00:53,0:00:12,6,ORL,shot,,,,Nassir Little,,,,,,Franz Wagner,0,,,missed,,driving floating jump shot,6,34,53,28.4,83.7,MISS Wagner 6' Driving Floating Jump Shot: Little BLOCK (1 BLK)
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,0,2,0:11:07,0:00:53,0:00:00,7,POR,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Trail Blazers Rebound
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,2,2,0:10:48,0:01:12,0:00:19,8,POR,shot,CJ McCollum,,,,,,,,,Jusuf Nurkic,2,,,made,,driving layup,3,-5,34,25.5,8.4,Nurkic 3' Driving Layup (2 PTS) (McCollum 1 AST)
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,2,2,0:10:30,0:01:30,0:00:18,9,ORL,shot,,,,,,,,,,Cole Anthony,0,,,missed,,3pt jump shot,25,-89,230,16.1,66.0,MISS Anthony 25' 3PT Jump Shot
22100661,2021-22 Regular Season,2022-01-17,Jusuf Nurkic,CJ McCollum,Nassir Little,Anfernee Simons,Robert Covington,Robin Lopez,Cole Anthony,Franz Wagner,Chuma Okeke,Gary Harris,1,2,2,0:10:27,0:01:33,0:00:03,10,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
