game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,0,0:12:00,0:00:00,0:00:00,2,DAL,jump ball,,Jeremiah Robinson-Earl,Kristaps Porzingis,,,,,,,Kristaps Porzingis,,Maxi Kleber,,,,jump ball,,,,,,Jump Ball Porzingis vs. Robinson-Earl: Tip to Kleber
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,0,0:11:48,0:00:12,0:00:12,3,DAL,shot,,,,Darius Bazley,,,,,,Dorian Finney-Smith,0,,,missed,,cutting layup shot,3,4,34,25.4,85.6,MISS Finney-Smith 3' Cutting Layup Shot: Bazley BLOCK (1 BLK)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,0,0:11:48,0:00:12,0:00:00,4,DAL,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,MAVERICKS Rebound
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,2,0:11:46,0:00:14,0:00:02,5,DAL,shot,Luka Doncic,,,,,,,,,Kristaps Porzingis,2,,,made,,jump shot,20,151,137,40.1,75.3,Porzingis 20' Jump Shot (2 PTS) (Doncic 1 AST)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,2,0:11:26,0:00:34,0:00:20,6,OKC,shot,,,,Luka Doncic,,,,,,Darius Bazley,0,,,missed,,driving layup,2,10,14,24.0,6.4,Doncic BLOCK (1 BLK): MISS Bazley 2' Driving Layup
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,2,0:11:23,0:00:37,0:00:03,7,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,5,0:11:20,0:00:40,0:00:03,8,DAL,shot,Jalen Brunson,,,,,,,,,Kristaps Porzingis,3,,,made,,3pt jump shot,25,-137,211,11.299999999999999,67.9,Porzingis 25' 3PT Jump Shot (5 PTS) (Brunson 1 AST)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,5,0:11:10,0:00:50,0:00:10,9,OKC,turnover,,,,,,,,,,Josh Giddey,,,bad pass,,Luka Doncic,bad pass,,,,,,Doncic STEAL (1 STL): Giddey Bad Pass Turnover (P1.T1)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,0,5,0:11:05,0:00:55,0:00:05,10,DAL,turnover,,,,,,,,,,Kristaps Porzingis,,,,,Darius Bazley,lost ball,,,,,,Porzingis Lost Ball Turnover (P1.T1): Bazley STEAL (1 STL)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,3,5,0:10:58,0:01:02,0:00:07,11,OKC,shot,Jeremiah Robinson-Earl,,,,,,,,,Luguentz Dort,3,,,made,,3pt jump shot,23,-233,26,48.3,7.6,Dort 3PT Jump Shot (3 PTS) (Robinson-Earl 1 AST)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,3,7,0:10:39,0:01:21,0:00:19,12,DAL,shot,Luka Doncic,,,,,,,,,Kristaps Porzingis,2,,,made,,hook shot,4,27,33,27.7,85.7,Porzingis 4' Driving Hook Shot (7 PTS) (Doncic 2 AST)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,3,7,0:10:19,0:01:41,0:00:20,13,OKC,shot,,,,,,,,,,Luguentz Dort,0,,,missed,,3pt jump shot,27,80,255,17.0,30.5,MISS Dort 27' 3PT Jump Shot
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,3,7,0:10:16,0:01:44,0:00:03,14,DAL,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:0 Def:1)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,3,10,0:10:00,0:02:00,0:00:16,15,DAL,shot,Luka Doncic,,,,,,,,,Maxi Kleber,3,,,made,,3pt jump shot,24,232,68,48.2,82.2,Kleber 24' 3PT Jump Shot (3 PTS) (Doncic 3 AST)
22100663,2021-22 Regular Season,2022-01-17,Jeremiah Robinson-Earl,Darius Bazley,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Kristaps Porzingis,Maxi Kleber,Dorian Finney-Smith,Luka Doncic,Jalen Brunson,1,3,10,0:09:44,0:02:16,0:00:16,16,OKC,shot,,,,Luka Doncic,,,,,,Darius Bazley,0,,,missed,,driving floating jump shot,6,10,63,24.0,11.3,Doncic BLOCK (2 BLK): MISS Bazley 6' Driving Floating Jump Shot
