game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,0,0,0:12:00,0:00:00,0:00:00,2,MIL,jump ball,,Steven Adams,Bobby Portis,,,,,,,Steven Adams,,Ja Morant,,,,jump ball,,,,,,Jump Ball Portis vs. Adams: Tip to Morant
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,0,0,0:11:34,0:00:26,0:00:26,3,MEM,shot,,,,,,,,,,Ziaire Williams,0,,,missed,,3pt jump shot,24,235,53,1.5,10.3,MISS Williams 24' 3PT Jump Shot
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,0,0,0:11:34,0:00:26,0:00:00,4,MEM,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Grizzlies Rebound
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,0,0,0:11:33,0:00:27,0:00:01,5,MEM,turnover,,,,,,,,,,,,,,,,shot clock,,,,,,Grizzlies Turnover: Shot Clock (T#1)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,0,2,0:11:21,0:00:39,0:00:12,6,MIL,shot,Giannis Antetokounmpo,,,,,,,,,George Hill,2,,,made,,cutting layup shot,2,12,11,26.2,87.9,Hill 2' Cutting Layup Shot (2 PTS) (G. Antetokounmpo 1 AST)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,2,2,0:11:16,0:00:44,0:00:05,7,MEM,shot,Ja Morant,,,,,,,,,Ziaire Williams,2,,,made,,cutting layup shot,4,6,38,24.4,8.8,Williams 4' Cutting Layup Shot (2 PTS) (Morant 1 AST)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,2,2,0:11:16,0:00:44,0:00:00,8,MIL,foul,,,,,,,,Ziaire Williams,,Grayson Allen,,,s.foul,,,shooting,,,,,,Allen S.FOUL (P1.T1) (B.Nansel)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,3,2,0:11:16,0:00:44,0:00:00,9,MEM,free throw,,,,,,,1,,1,Ziaire Williams,1,,,made,,free throw 1/1,,,,,,Williams Free Throw 1 of 1 (3 PTS)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,3,2,0:11:00,0:01:00,0:00:16,10,MIL,shot,,,,,,,,,,Bobby Portis,0,,,missed,,3pt jump shot,26,97,247,34.7,64.3,MISS Portis 27' 3PT Jump Shot
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,3,2,0:10:57,0:01:03,0:00:03,11,MEM,rebound,,,,,,,,,,Ja Morant,,,,,,rebound defensive,,,,,,Morant REBOUND (Off:0 Def:1)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,6,2,0:10:46,0:01:14,0:00:11,12,MEM,shot,John Konchar,,,,,,,,,Ja Morant,3,,,made,,3pt jump shot,28,104,257,14.6,30.700000000000003,Morant 28' 3PT Jump Shot (3 PTS) (Konchar 1 AST)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,6,2,0:10:30,0:01:30,0:00:16,13,MIL,shot,,,,Jaren Jackson Jr.,,,,,,Giannis Antetokounmpo,0,,,missed,,cutting layup shot,4,-13,38,23.7,85.2,MISS G. Antetokounmpo 4' Cutting Layup Shot: Jackson Jr. BLOCK (1 BLK)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,6,2,0:10:27,0:01:33,0:00:03,14,MEM,rebound,,,,,,,,,,John Konchar,,,,,,rebound defensive,,,,,,Konchar REBOUND (Off:0 Def:1)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:10:26,0:01:34,0:00:01,15,MEM,shot,Ja Morant,,,,,,,,,Ziaire Williams,2,,,made,,dunk,5,11,46,23.9,9.600000000000001,Williams 5' Running Alley Oop Dunk Shot (5 PTS) (Morant 2 AST)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:10:07,0:01:53,0:00:19,16,MIL,shot,,,,,,,,,,Khris Middleton,0,,,missed,,3pt jump shot,27,-62,264,18.8,62.599999999999994,MISS Middleton 27' 3PT Jump Shot
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:10:04,0:01:56,0:00:03,17,MEM,rebound,,,,,,,,,,John Konchar,,,,,,rebound defensive,,,,,,Konchar REBOUND (Off:0 Def:2)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:09:59,0:02:01,0:00:05,18,MEM,shot,,,,,,,,,,John Konchar,0,,,missed,,3pt jump shot,27,138,235,11.2,28.5,MISS Konchar 27' 3PT Jump Shot
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:09:55,0:02:05,0:00:04,19,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,G. Antetokounmpo REBOUND (Off:0 Def:1)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:09:48,0:02:12,0:00:07,20,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,bad pass,,,bad pass,,,,,,G. Antetokounmpo Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:09:39,0:02:21,0:00:09,21,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,3pt jump shot,25,-123,221,37.3,27.1,MISS Jackson Jr. 25' 3PT Jump Shot
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,8,2,0:09:34,0:02:26,0:00:05,22,MEM,rebound,,,,,,,,,,John Konchar,,,,,,rebound offensive,,,,,,Konchar REBOUND (Off:1 Def:2)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,10,2,0:09:34,0:02:26,0:00:00,23,MEM,shot,,,,,,,,,,John Konchar,2,,,made,,layup,0,0,0,25.0,5.0,Konchar Tip Layup Shot (2 PTS)
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,10,2,0:09:14,0:02:46,0:00:20,24,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,jump shot,16,-81,141,16.9,74.9,MISS G. Antetokounmpo 16' Pullup Jump Shot
22100674,2021-22 Regular Season,2022-01-19,Steven Adams,Ja Morant,Ziaire Williams,John Konchar,Jaren Jackson Jr.,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Khris Middleton,1,10,2,0:09:10,0:02:50,0:00:04,25,MEM,rebound,,,,,,,,,,Jaren Jackson Jr.,,,,,,rebound defensive,,,,,,Jackson Jr. REBOUND (Off:0 Def:1)
