game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,0,0,0:12:00,0:00:00,0:00:00,2,GSW,jump ball,,Goga Bitadze,Kevon Looney,,,,,,,Kevon Looney,,Andrew Wiggins,,,,jump ball,,,,,,Jump Ball Looney vs. Bitadze: Tip to Wiggins
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,0,0,0:11:38,0:00:22,0:00:22,3,GSW,shot,,,,,,,,,,Klay Thompson,0,,,missed,,3pt jump shot,,None,None,,,MISS Thompson 3PT Jump Shot
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,0,0,0:11:37,0:00:23,0:00:01,4,GSW,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,WARRIORS Rebound
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,0,2,0:11:34,0:00:26,0:00:03,5,GSW,shot,Stephen Curry,,,,,,,,,Klay Thompson,2,,,made,,cutting layup shot,5,None,None,,,Thompson 5' Cutting Layup Shot (2 PTS) (Curry 1 AST)
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,3,2,0:11:19,0:00:41,0:00:15,6,IND,shot,Chris Duarte,,,,,,,,,Goga Bitadze,3,,,made,,3pt jump shot,,None,None,,,Bitadze 28' 3PT Jump Shot (3 PTS) (Duarte 1 AST)
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,3,2,0:10:57,0:01:03,0:00:22,7,GSW,shot,,,,,,,,,,Klay Thompson,0,,,missed,,jump shot,20,None,None,,,MISS Thompson 20' Pullup Jump Shot
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,3,2,0:10:55,0:01:05,0:00:02,8,IND,rebound,,,,,,,,,,Goga Bitadze,,,,,,rebound defensive,,,,,,Bitadze REBOUND (Off:0 Def:1)
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,3,2,0:10:50,0:01:10,0:00:05,9,IND,foul,,,,,,,,Jonathan Kuminga,,Goga Bitadze,,,,,,offensive,,,,,,Bitadze OFF.Foul (P1) (K.Cutler)
22100683,2021-22 Regular Season,2022-01-20,Goga Bitadze,Chris Duarte,Justin Holiday,Keifer Sykes,Torrey Craig,Kevon Looney,Andrew Wiggins,Klay Thompson,Stephen Curry,Jonathan Kuminga,1,3,2,0:10:50,0:01:10,0:00:00,10,IND,turnover,,,,,,,,,,Goga Bitadze,,,offensive foul turnover,,,offensive foul,,,,,,Bitadze Offensive Foul Turnover (P1.T1)
