game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,Nikola Jokic,Isaiah Stewart,,,,,,,Isaiah Stewart,,Cory Joseph,,,,jump ball,,,,,,Jump Ball Stewart vs. Jokic: Tip to Joseph
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:44,0:00:16,0:00:16,3,DET,shot,Cade Cunningham,,,,,,,,,Saddiq Bey,3,,,made,,3pt jump shot,25,-239,67,1.0999999999999979,82.3,Bey 25' 3PT Jump Shot (3 PTS) (Cunningham 1 AST)
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:16,0:00:44,0:00:28,4,DEN,shot,,,,,,,,,,Austin Rivers,0,,,missed,,driving layup,4,40,8,21.0,5.8,MISS Rivers 4' Driving Layup
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:13,0:00:47,0:00:03,5,DEN,rebound,,,,,,,,,,Jeff Green,,,,,,rebound offensive,,,,,,Je. Green REBOUND (Off:1 Def:0)
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:13,0:00:47,0:00:00,6,DEN,shot,,,,,,,,,,Jeff Green,0,,,missed,,layup,0,0,0,25.0,5.0,MISS Je. Green Tip Layup Shot
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:11,0:00:49,0:00:02,7,DET,rebound,,,,,,,,,,Cade Cunningham,,,,,,rebound defensive,,,,,,Cunningham REBOUND (Off:0 Def:1)
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:02,0:00:58,0:00:09,8,DET,shot,,,,,,,,,,Cade Cunningham,0,,,missed,,jump shot,12,-82,94,16.799999999999997,79.6,MISS Cunningham 12' Pullup Jump Shot
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:01,0:00:59,0:00:01,9,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
22100714,2021-22 Regular Season,2022-01-25,Nikola Jokic,Austin Rivers,Jeff Green,Monte Morris,Aaron Gordon,Isaiah Stewart,Cory Joseph,Saddiq Bey,Cade Cunningham,Hamidou Diallo,1,0,3,0:11:01,0:00:59,0:00:00,10,DEN,shot,,,,,,,,,,Jeff Green,0,,,missed,,layup,2,16,14,23.4,6.4,MISS Je. Green 2' Layup
