game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:12:00,0:00:00,0:00:00,2,CLE,jump ball,,Bobby Portis,Jarrett Allen,,,,,,,Bobby Portis,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Allen vs. Portis: Tip to G. Antetokounmpo
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:11:32,0:00:28,0:00:28,3,MIL,shot,,,,,,,,,,Khris Middleton,0,,,missed,,3pt jump shot,26,178,195,7.199999999999999,24.5,MISS Middleton 26' 3PT Jump Shot
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:11:30,0:00:30,0:00:02,4,CLE,rebound,,,,,,,,,,Isaac Okoro,,,,,,rebound defensive,,,,,,Okoro REBOUND (Off:0 Def:1)
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:11:08,0:00:52,0:00:22,5,CLE,shot,,,,,,,,,,Dean Wade,0,,,missed,,3pt jump shot,24,-119,209,13.1,68.1,MISS Wade 24' 3PT Jump Shot
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:11:06,0:00:54,0:00:02,6,MIL,rebound,,,,,,,,,,Bobby Portis,,,,,,rebound defensive,,,,,,Portis REBOUND (Off:0 Def:1)
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:11:03,0:00:57,0:00:03,7,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,traveling,,,traveling,,,,,,G. Antetokounmpo Traveling Turnover (P1.T1)
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:10:47,0:01:13,0:00:16,8,CLE,shot,,,,,,,,,,Isaac Okoro,0,,,missed,,3pt jump shot,24,245,8,49.5,88.2,MISS Okoro 25' 3PT Jump Shot
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,0,0,0:10:43,0:01:17,0:00:04,9,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,G. Antetokounmpo REBOUND (Off:0 Def:1)
22100722,2021-22 Regular Season,2022-01-26,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Jrue Holiday,Jarrett Allen,Isaac Okoro,Dean Wade,Darius Garland,Evan Mobley,1,3,0,0:10:38,0:01:22,0:00:05,10,MIL,shot,Bobby Portis,,,,,,,,,Pat Connaughton,3,,,made,,3pt jump shot,23,-234,5,48.400000000000006,5.5,Connaughton 3PT Jump Shot (3 PTS) (Portis 1 AST)
