game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,0,0,0:12:00,0:00:00,0:00:00,2,PHX,jump ball,,Karl-Anthony Towns,Bismack Biyombo,,,,,,,Bismack Biyombo,,Chris Paul,,,,jump ball,,,,,,Jump Ball Biyombo vs. Towns: Tip to Paul
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,0,0,0:11:47,0:00:13,0:00:13,3,MIN,foul,,,,,,,,Mikal Bridges,,Anthony Edwards,,,s.foul,,,shooting,,,,,,Edwards S.FOUL (P1.T1) (S.Twardoski)
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,0,1,0:11:47,0:00:13,0:00:00,4,PHX,free throw,,,,,,,1,,2,Mikal Bridges,1,,,made,,free throw 1/2,,,,,,Bridges Free Throw 1 of 2 (1 PTS)
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,0,2,0:11:47,0:00:13,0:00:00,5,PHX,free throw,,,,,,,2,,2,Mikal Bridges,1,,,made,,free throw 2/2,,,,,,Bridges Free Throw 2 of 2 (2 PTS)
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,3,2,0:11:35,0:00:25,0:00:12,6,MIN,shot,Anthony Edwards,,,,,,,,,Jaylen Nowell,3,,,made,,3pt jump shot,26,-74,250,32.4,30.0,Nowell 26' 3PT Jump Shot (3 PTS) (Edwards 1 AST)
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,3,2,0:11:17,0:00:43,0:00:18,7,MIN,foul,,,,,,,,Bismack Biyombo,,Jaylen Nowell,,,s.foul,,,shooting,,,,,,Nowell S.FOUL (P1.T2) (M.Ervin)
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,3,3,0:11:17,0:00:43,0:00:00,8,PHX,free throw,,,,,,,1,,2,Bismack Biyombo,1,,,made,,free throw 1/2,,,,,,Biyombo Free Throw 1 of 2 (1 PTS)
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,3,3,0:11:17,0:00:43,0:00:00,9,PHX,free throw,,,,,,,2,,2,Bismack Biyombo,0,,,missed,,free throw 2/2,,,,,,MISS Biyombo Free Throw 2 of 2
22100743,2021-22 Regular Season,2022-01-28,Karl-Anthony Towns,Anthony Edwards,Jaylen Nowell,Jarred Vanderbilt,Jaden McDaniels,Bismack Biyombo,Chris Paul,Mikal Bridges,Devin Booker,Cameron Johnson,1,3,3,0:11:14,0:00:46,0:00:03,10,MIN,rebound,,,,,,,,,,Jarred Vanderbilt,,,,,,rebound defensive,,,,,,Vanderbilt REBOUND (Off:0 Def:1)
