game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Thomas Bryant,Steven Adams,,,,,,,Steven Adams,,Desmond Bane,,,,jump ball,,,,,,Jump Ball Adams vs. Bryant: Tip to Bane
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:33,0:00:27,0:00:27,3,MEM,shot,,,,,,,,,,Steven Adams,0,,,missed,,driving layup,3,-22,26,22.8,86.4,MISS Adams 3' Driving Layup
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:31,0:00:29,0:00:02,4,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:31,0:00:29,0:00:00,5,MEM,shot,,,,Thomas Bryant,,,,,,Steven Adams,0,,,missed,,layup,3,-4,31,24.6,85.9,MISS Adams 3' Putback Layup: Bryant BLOCK (1 BLK)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:31,0:00:29,0:00:00,6,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:2 Def:0)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:28,0:00:32,0:00:03,7,MEM,shot,,,,,,,,,,Desmond Bane,0,,,missed,,3pt jump shot,22,-225,-7,2.5,89.7,MISS Bane 3PT Jump Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:22,0:00:38,0:00:06,8,WAS,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:12,0:00:48,0:00:10,9,WAS,shot,,,,,,,,,,Kyle Kuzma,0,,,missed,,3pt jump shot,26,62,253,18.8,30.3,MISS Kuzma 26' 3PT Jump Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:11:09,0:00:51,0:00:03,10,MEM,rebound,,,,,,,,,,John Konchar,,,,,,rebound defensive,,,,,,Konchar REBOUND (Off:0 Def:1)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:10:57,0:01:03,0:00:12,11,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,hook shot,7,18,71,26.8,81.9,MISS Jackson Jr. 7' Turnaround Hook Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,0,0:10:54,0:01:06,0:00:03,12,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:3 Def:0)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,3,0:10:47,0:01:13,0:00:07,13,MEM,shot,,,,,,,,,,Ja Morant,3,,,made,,3pt pullup jump shot,25,-104,225,14.6,66.5,Morant 25' 3PT Pullup Jump Shot (3 PTS)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,3,0:10:28,0:01:32,0:00:19,14,WAS,shot,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,jump shot,18,59,172,19.1,22.2,MISS Caldwell-Pope 18' Pullup Jump Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,3,0:10:28,0:01:32,0:00:00,15,WAS,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Wizards Rebound
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,3,0:10:28,0:01:32,0:00:00,16,MEM,foul,,,,,,,,Thomas Bryant,,Steven Adams,,,l.b.foul,,,loose ball,,,,,,Adams L.B.FOUL (P1.T1) (J.Goble)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,3,0:10:21,0:01:39,0:00:07,17,WAS,shot,,,,,,,,,,Thomas Bryant,0,,,missed,,jump shot,12,-31,113,28.1,16.3,MISS Bryant 12' Jump Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,3,0:10:19,0:01:41,0:00:02,18,MEM,rebound,,,,,,,,,,John Konchar,,,,,,rebound defensive,,,,,,Konchar REBOUND (Off:0 Def:2)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,0,5,0:10:12,0:01:48,0:00:07,19,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,driving floating jump shot,9,22,83,27.2,80.7,Morant 9' Driving Floating Jump Shot (5 PTS)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,5,0:10:01,0:01:59,0:00:11,20,WAS,shot,Bradley Beal,,,,,,,,,Kentavious Caldwell-Pope,3,,,made,,3pt jump shot,24,-229,85,47.900000000000006,13.5,Caldwell-Pope 24' 3PT Jump Shot (3 PTS) (Beal 1 AST)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,7,0:09:46,0:02:14,0:00:15,21,MEM,shot,,,,,,,,,,Desmond Bane,2,,,made,,jump shot,19,105,161,35.5,72.9,Bane 19' Pullup Jump Shot (2 PTS)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,7,0:09:33,0:02:27,0:00:13,22,WAS,shot,,,,,,,,,,Spencer Dinwiddie,0,,,missed,,jump shot,15,97,120,15.299999999999999,17.0,MISS Dinwiddie 15' Pullup Jump Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,7,0:09:30,0:02:30,0:00:03,23,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:3 Def:1)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,7,0:09:24,0:02:36,0:00:06,24,MEM,shot,,,,,,,,,,John Konchar,0,,,missed,,3pt jump shot,25,-120,224,13.0,66.6,MISS Konchar 25' 3PT Jump Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,7,0:09:22,0:02:38,0:00:02,25,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:4 Def:1)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,9,0:09:18,0:02:42,0:00:04,26,MEM,shot,Steven Adams,,,,,,,,,Desmond Bane,2,,,made,,jump shot,14,59,125,30.9,76.5,Bane 14' Pullup Jump Shot (4 PTS) (Adams 1 AST)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,9,0:09:03,0:02:57,0:00:15,27,WAS,shot,,,,,,,,,,Thomas Bryant,0,,,missed,,cutting layup shot,2,22,8,22.8,5.8,MISS Bryant 2' Cutting Layup Shot
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,9,0:09:01,0:02:59,0:00:02,28,MEM,rebound,,,,,,,,,,Jaren Jackson Jr.,,,,,,rebound defensive,,,,,,Jackson Jr. REBOUND (Off:0 Def:1)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,9,0:08:53,0:03:07,0:00:08,29,WAS,foul,,,,,,,,John Konchar,,Thomas Bryant,,,s.foul,,,shooting,,,,,,Bryant S.FOUL (P1.T1) (J.Goble)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,10,0:08:53,0:03:07,0:00:00,30,MEM,free throw,,,,,,,1,,2,John Konchar,1,,,made,,free throw 1/2,,,,,,Konchar Free Throw 1 of 2 (1 PTS)
22100749,2021-22 Regular Season,2022-01-29,Thomas Bryant,Kyle Kuzma,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Steven Adams,Desmond Bane,John Konchar,Jaren Jackson Jr.,Ja Morant,1,3,10,0:08:53,0:03:07,0:00:00,31,MEM,free throw,,,,,,,2,,2,John Konchar,0,,,missed,,free throw 2/2,,,,,,MISS Konchar Free Throw 2 of 2
